"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Barbara Stanisława CHROBAK - nr na liście 1";"Krzysztof MARKOWSKI - nr na liście 2";"Janusz Kazimierz CIOŁCZYK - nr na liście 3";"Krzysztof Edward PEROŃ - nr na liście 4";"Jan BOSAK - nr na liście 5";"Anna Jadwiga SPORYSZKIEWICZ - nr na liście 6";"Andrzej Marek DUDA - nr na liście 7";"Paweł DRATWA - nr na liście 8";"Stanisław Antoni BORÓWKA - nr na liście 9";"Marcin Grzegorz GÓRALCZYK - nr na liście 10";"Anna Grażyna KAŁUŻA - nr na liście 11";"Ewa Bogusława PARADZIŃSKA - nr na liście 12";"Ewa Barbara JANIK - nr na liście 13";"Cezary Adam DOBROWOLSKI - nr na liście 14";"Agata Elżbieta BEBEŃCA - nr na liście 15";"Eliza Maria LABOCHA - nr na liście 16";"Tomasz Adam KMITA - nr na liście 17";"Stanisław DĄBROWA - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Ewa Danuta MALIK - nr na liście 1";"Waldemar Franciszek ANDZEL - nr na liście 2";"Robert Piotr WARWAS - nr na liście 3";"Danuta Czesława NOWICKA - nr na liście 4";"Maria MATERLA - nr na liście 5";"Marcin Henryk KOZIK - nr na liście 6";"Małgorzata Wioletta ZARYCHTA-SURÓWKA - nr na liście 7";"Zbigniew Józef PIĄTEK - nr na liście 8";"Bożena Grażyna SZYDLIK - nr na liście 9";"Kazimierz Czesław WILK - nr na liście 10";"Lena Marzena WARDENGA - nr na liście 11";"Maciej Daniel DERELA - nr na liście 12";"Beata Elżbieta CIEŚLIK - nr na liście 13";"Paweł Ludwik SZOPA - nr na liście 14";"Ewa Irena TRAWCZYŃSKA - nr na liście 15";"Zenon Zygmunt GŁĄB - nr na liście 16";"Łukasz CURYŁO - nr na liście 17";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Włodzimierz CZARZASTY - nr na liście 1";"Rafał Jan ADAMCZYK - nr na liście 2";"Anita Kornelia ZIEGLER-CHAMIELEC - nr na liście 3";"Wojciech Marcin NITWINKO - nr na liście 4";"Łukasz Karol LITEWKA - nr na liście 5";"Magdalena Monika KOT - nr na liście 6";"Wacław Michał CHUDZIKIEWICZ - nr na liście 7";"Marta DZIUBKA - nr na liście 8";"Adrian Paweł KUŹNICKI - nr na liście 9";"Ewa Katarzyna PÓŁTORAK - nr na liście 10";"Małgorzata ŁUBEK - nr na liście 11";"Marcin Rafał GŁADKOWSKI - nr na liście 12";"Anna Ewa FILIK - nr na liście 13";"Aleksandra Maria GRANAT - nr na liście 14";"Damian Leszek ŁUKASIK - nr na liście 15";"Urszula CZAJER - nr na liście 16";"Łukasz Rafał CIASTOŃ - nr na liście 17";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Jerzy Jan JANOSKA - nr na liście 1";"Marcin Czesław KOLCZYK - nr na liście 2";"Waldemar SIKORA - nr na liście 3";"Grzegorz Ryszard OLEKSIEWICZ - nr na liście 4";"Artur Karol JAKÓBIK - nr na liście 5";"Olga Kinga KLARCZYŃSKA - nr na liście 6";"Monika Mirella KRZYŻAK - nr na liście 7";"Jagoda Magda KOCLĘGA - nr na liście 8";"Renata Aleksandra CYGAN - nr na liście 9";"Ryszard Zbigniew MIZDRA - nr na liście 10";"Wojciech Andrzej GRABOWSKI - nr na liście 11";"Dominika Agnieszka SURMIK - nr na liście 12";"Robert Paweł CIEŚLIK - nr na liście 13";"Małgorzata Halina DĄBROWSKA - nr na liście 14";"Magdalena Ilona LOREK - nr na liście 15";"Ewelina Magdalena GOREL - nr na liście 16";"Sylwia OSIAL - nr na liście 17";"Krzysztof Adam PAŁKA - nr na liście 18";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Wojciech Paweł SAŁUGA - nr na liście 1";"Barbara DOLNIAK - nr na liście 2";"Mateusz Andrzej BOCHENEK - nr na liście 3";"Anna Ewa NEMŚ - nr na liście 4";"Marek Romuald WĘGRZYNOWICZ - nr na liście 5";"Bożena Irena ŁAPAJ - nr na liście 6";"Maciej Artur KLIMEK - nr na liście 7";"Teresa Mieczysława KOSMALA-GĄSIOR - nr na liście 8";"Marcin Jakub ZAPART - nr na liście 9";"Paweł SZCZEPANEK - nr na liście 10";"Ryszard Tadeusz MILEJ - nr na liście 11";"Jarosław Jacek SOCHACKI - nr na liście 12";"Renata Janina SOLIPIWKO - nr na liście 13";"Ewa Barbara SKOTALCZYK - nr na liście 14";"Marcin Bernard JANECZEK - nr na liście 15";"Małgorzata Agata OCHĘDUSZKO-LUDWIK - nr na liście 16";"Elżbieta Joanna LIEGMANN - nr na liście 17";"Jolanta Izabela MOĆKO - nr na liście 18"
"84f7-60d1-73e9-7f37-26a8-5a0f-8950-2393";"241601";"32";"1";"miasto";"stały";"Miejski Ośrodek Kultury (parter-korytarz), ul. Adama Mickiewicza 2, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"650";"725";"228";"422";"0";"2";"0";"0";"0";"0";"0";"0";"0";"421";"0";"0";"421";"3";"3";"0";"0";"418";"16";"9";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"2";"0";"0";"0";"1";"1";"167";"70";"47";"5";"25";"2";"4";"1";"2";"5";"3";"1";"0";"0";"0";"0";"0";"2";"77";"55";"3";"1";"1";"0";"6";"0";"5";"1";"0";"0";"0";"2";"2";"0";"0";"1";"22";"11";"2";"0";"0";"1";"1";"1";"1";"0";"0";"0";"0";"2";"1";"2";"0";"0";"0";"136";"5";"39";"9";"65";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"13";"0";"0";"0"
"5d25-37ca-21ce-ab5f-cc27-8afe-6399-d845";"241601";"32";"2";"miasto";"stały";"Miejski Ośrodek Kultury (parter-sala gimnastyczna), ul. Adama Mickiewicza 2, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"1051";"1156";"382";"669";"1";"0";"0";"0";"0";"0";"0";"0";"0";"669";"0";"0";"669";"6";"5";"1";"0";"663";"38";"8";"2";"0";"7";"1";"0";"2";"0";"13";"1";"0";"1";"1";"0";"0";"0";"0";"2";"227";"114";"42";"17";"31";"2";"6";"0";"6";"1";"0";"1";"1";"1";"1";"0";"1";"3";"106";"63";"12";"6";"4";"4";"4";"1";"1";"8";"0";"0";"0";"1";"0";"0";"1";"1";"45";"32";"0";"0";"0";"1";"2";"1";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1";"2";"247";"7";"49";"10";"156";"2";"1";"0";"0";"0";"0";"1";"3";"0";"0";"18";"0";"0";"0"
"c142-7a9d-e128-aaa7-7fc7-076e-c07c-a7c3";"241601";"32";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1 (świetlica), ul. Wojska Polskiego 4, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"1200";"1313";"441";"759";"4";"4";"0";"0";"0";"0";"0";"0";"0";"759";"0";"1";"758";"12";"10";"2";"0";"746";"34";"11";"0";"1";"6";"0";"2";"0";"2";"8";"0";"3";"0";"0";"0";"0";"0";"1";"0";"261";"121";"56";"13";"39";"4";"6";"3";"4";"4";"1";"0";"0";"1";"0";"0";"0";"9";"131";"84";"8";"7";"2";"0";"14";"0";"0";"8";"0";"0";"0";"1";"0";"3";"1";"3";"48";"26";"5";"0";"1";"1";"0";"3";"4";"0";"0";"1";"1";"1";"0";"3";"0";"0";"2";"272";"10";"61";"13";"154";"7";"0";"1";"0";"0";"0";"0";"1";"0";"0";"24";"0";"0";"1"
"6ed7-d23d-a6d1-eec9-8a59-a28b-d2ed-2d40";"241601";"32";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1 (sala gimnastyczna), ul. Wojska Polskiego 4, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"1000";"1111";"326";"674";"3";"0";"0";"0";"0";"0";"0";"0";"0";"674";"0";"0";"674";"8";"2";"6";"0";"666";"35";"8";"0";"0";"5";"0";"0";"2";"2";"6";"3";"0";"1";"0";"1";"0";"1";"2";"4";"204";"93";"37";"12";"30";"8";"5";"3";"3";"1";"2";"0";"1";"3";"3";"0";"0";"3";"125";"80";"6";"4";"3";"2";"9";"1";"1";"11";"0";"2";"2";"3";"0";"0";"1";"0";"56";"35";"3";"2";"1";"1";"1";"2";"0";"0";"0";"5";"0";"0";"0";"1";"0";"3";"2";"246";"10";"49";"21";"133";"5";"1";"0";"0";"1";"4";"0";"5";"2";"0";"15";"0";"0";"0"
"9bf6-b3d2-e011-e646-45bf-f019-6a8f-d47e";"241601";"32";"5";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Wiedzy 3, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"1101";"1227";"331";"770";"4";"4";"0";"0";"0";"0";"0";"0";"0";"769";"0";"0";"769";"10";"5";"5";"0";"759";"25";"8";"1";"3";"2";"1";"0";"1";"1";"5";"0";"0";"0";"0";"0";"1";"1";"0";"1";"287";"133";"59";"12";"48";"5";"8";"0";"4";"4";"4";"0";"0";"3";"1";"0";"0";"6";"122";"82";"7";"10";"3";"1";"5";"1";"1";"6";"0";"0";"0";"0";"1";"3";"1";"1";"50";"32";"2";"1";"0";"2";"1";"0";"1";"1";"1";"1";"1";"1";"0";"1";"1";"0";"4";"275";"12";"46";"3";"197";"0";"1";"0";"0";"0";"0";"1";"6";"1";"0";"6";"0";"0";"2"
"9571-2161-766d-ae26-8baa-40da-ca1c-6f89";"241601";"32";"6";"miasto";"stały";"Budynek byłej Szkoły Podstawowej nr 3, ul. Siewierska 44, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"750";"840";"246";"504";"0";"5";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"4";"4";"0";"0";"499";"25";"9";"3";"1";"3";"0";"0";"0";"0";"3";"0";"1";"1";"2";"0";"0";"0";"1";"1";"187";"79";"49";"9";"25";"3";"3";"1";"2";"3";"0";"2";"1";"0";"1";"0";"2";"7";"86";"45";"5";"5";"4";"2";"9";"0";"0";"11";"2";"1";"0";"0";"0";"0";"1";"1";"27";"22";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"174";"15";"33";"5";"97";"5";"0";"1";"0";"0";"6";"0";"0";"0";"1";"9";"1";"1";"0"
"3899-8ec0-d770-895d-070b-7364-47d5-ea37";"241601";"32";"7";"miasto";"stały";"Remiza OSP, ul. Mikołaja Kopernika 66, 42-480 Poręba";"m. Poręba";"zawierciański";"śląskie";"550";"608";"155";"395";"2";"0";"0";"0";"0";"0";"0";"0";"0";"395";"0";"0";"395";"2";"1";"1";"0";"393";"36";"6";"2";"1";"1";"0";"0";"0";"1";"22";"0";"0";"0";"0";"0";"0";"0";"0";"3";"213";"108";"57";"12";"18";"5";"0";"1";"4";"2";"0";"1";"0";"1";"0";"1";"2";"1";"30";"17";"1";"1";"0";"3";"3";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"0";"18";"13";"0";"0";"0";"0";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"96";"3";"25";"10";"51";"3";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0"
"7a9c-dfb5-c549-362f-4da1-4993-63c4-1320";"241601";"32";"8";"miasto";"zakład karny";"Zakład Karny Wojkowice-Oddział Zewnętrzny w Ciągowicach, ul. Wojska Polskiego 10, 42-450 Łazy";"m. Poręba";"zawierciański";"śląskie";"275";"246";"190";"85";"0";"0";"0";"0";"0";"0";"0";"0";"0";"85";"0";"0";"85";"2";"2";"0";"0";"83";"10";"1";"1";"2";"0";"1";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"1";"17";"9";"1";"0";"0";"1";"1";"1";"1";"0";"2";"0";"0";"0";"1";"0";"0";"0";"13";"3";"2";"0";"1";"0";"2";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"3";"17";"3";"1";"2";"1";"0";"3";"1";"1";"2";"1";"0";"0";"0";"0";"0";"0";"1";"1";"26";"2";"5";"1";"7";"1";"0";"2";"1";"1";"0";"0";"0";"2";"2";"0";"2";"0";"0"
"313c-67df-6421-eea1-2bed-0c1b-fef7-562b";"241602";"32";"1";"miasto";"stały";"Przedszkole Integracyjne Nr 3, ul. Ks. Kardynała Stefana Wyszyńskiego 5, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"950";"1065";"242";"708";"1";"2";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"6";"4";"2";"0";"702";"38";"10";"5";"0";"15";"0";"0";"3";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"2";"291";"110";"50";"12";"83";"3";"2";"3";"4";"7";"3";"2";"2";"4";"1";"2";"0";"3";"131";"80";"9";"7";"1";"4";"9";"0";"0";"12";"2";"1";"1";"0";"2";"2";"1";"0";"44";"26";"0";"2";"1";"5";"0";"1";"3";"2";"0";"1";"0";"1";"0";"2";"0";"0";"0";"198";"15";"40";"6";"120";"2";"0";"1";"1";"0";"1";"0";"10";"0";"1";"1";"0";"0";"0"
"8978-f956-b9e5-caae-bfe0-021a-0c05-fc1b";"241602";"32";"2";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Powstańców Śląskich 18, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"850";"910";"256";"594";"1";"0";"0";"0";"0";"0";"0";"0";"0";"594";"0";"0";"594";"4";"2";"2";"0";"590";"29";"15";"0";"1";"9";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"203";"84";"32";"4";"67";"1";"0";"1";"3";"0";"0";"0";"2";"7";"2";"0";"0";"0";"120";"75";"7";"4";"0";"4";"11";"0";"2";"13";"1";"0";"1";"0";"0";"2";"0";"0";"38";"22";"2";"1";"1";"0";"0";"1";"4";"0";"0";"0";"0";"1";"1";"0";"0";"0";"5";"200";"6";"32";"3";"144";"1";"0";"2";"0";"1";"0";"0";"8";"3";"0";"0";"0";"0";"0"
"a21f-2c93-6b91-d490-47ab-b1ff-a624-ba80";"241602";"32";"3";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Powstańców Śląskich 18, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"950";"1058";"251";"699";"0";"1";"1";"1";"0";"0";"0";"0";"1";"700";"1";"0";"700";"8";"6";"2";"0";"692";"33";"3";"1";"0";"18";"0";"0";"1";"3";"0";"0";"0";"0";"1";"2";"0";"0";"0";"4";"241";"92";"26";"13";"98";"2";"2";"1";"1";"1";"1";"0";"0";"1";"0";"2";"1";"0";"127";"73";"12";"3";"0";"3";"12";"0";"2";"14";"2";"0";"0";"0";"1";"0";"1";"4";"56";"33";"3";"2";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"2";"0";"0";"12";"235";"5";"49";"5";"145";"0";"3";"0";"1";"0";"0";"0";"21";"0";"2";"0";"1";"1";"2"
"c727-a889-bad5-abe5-9772-8c2f-bb39-fdc5";"241602";"32";"4";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Ignacego Daszyńskiego 2, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"1000";"1084";"290";"710";"1";"3";"0";"0";"0";"0";"0";"0";"0";"710";"0";"0";"710";"7";"7";"0";"0";"703";"41";"7";"1";"0";"25";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"4";"253";"93";"44";"17";"80";"0";"3";"2";"4";"2";"1";"0";"0";"1";"1";"2";"1";"2";"129";"70";"8";"7";"2";"1";"13";"0";"3";"21";"2";"0";"0";"0";"1";"0";"0";"1";"49";"30";"0";"1";"0";"1";"0";"1";"8";"0";"0";"1";"1";"0";"1";"0";"0";"0";"5";"231";"9";"52";"7";"146";"1";"0";"1";"0";"0";"0";"0";"14";"0";"1";"0";"0";"0";"0"
"6fc4-c2e1-7cd8-097c-7113-3270-dab2-db19";"241602";"32";"5";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Ignacego Paderewskiego 49, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"1350";"1475";"510";"840";"0";"9";"0";"0";"0";"0";"0";"0";"0";"840";"0";"0";"840";"6";"5";"1";"0";"834";"63";"10";"1";"0";"43";"0";"0";"2";"1";"0";"1";"0";"0";"2";"0";"0";"1";"1";"1";"329";"126";"46";"24";"84";"6";"9";"2";"3";"10";"2";"0";"2";"2";"1";"2";"2";"8";"151";"89";"18";"3";"0";"3";"9";"0";"0";"14";"2";"1";"1";"3";"3";"4";"0";"1";"59";"36";"2";"1";"1";"4";"2";"0";"1";"1";"0";"2";"0";"1";"1";"0";"1";"1";"5";"232";"11";"54";"7";"143";"1";"1";"0";"1";"0";"0";"0";"10";"0";"0";"1";"0";"0";"3"
"367d-b5bc-35ba-83d0-023d-3df7-4521-bb2e";"241602";"32";"6";"miasto";"stały";"II Liceum Ogólnokształcące, ul. Ignacego Daszyńskiego 2, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"700";"733";"222";"478";"0";"6";"0";"0";"0";"0";"0";"0";"0";"478";"0";"0";"478";"4";"2";"2";"0";"474";"35";"7";"0";"2";"17";"0";"0";"2";"1";"0";"0";"0";"0";"1";"1";"0";"1";"0";"3";"161";"61";"21";"10";"56";"0";"6";"2";"0";"2";"1";"1";"0";"0";"0";"1";"0";"0";"114";"79";"9";"4";"1";"1";"11";"0";"2";"3";"0";"1";"0";"0";"2";"0";"1";"0";"26";"22";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"138";"6";"30";"3";"91";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"2"
"994e-1fa5-a062-1e74-3164-ce81-d226-7fba";"241602";"32";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Marii Skłodowskiej-Curie 16, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"950";"1040";"235";"715";"2";"2";"0";"0";"0";"0";"0";"0";"0";"715";"0";"0";"715";"5";"3";"2";"0";"710";"42";"11";"2";"0";"22";"0";"1";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"234";"87";"27";"5";"84";"3";"11";"0";"4";"2";"1";"2";"2";"4";"0";"0";"0";"2";"132";"81";"9";"6";"1";"3";"8";"1";"2";"14";"1";"0";"0";"0";"0";"0";"5";"1";"55";"36";"2";"2";"0";"2";"0";"0";"3";"0";"1";"1";"1";"0";"0";"0";"0";"1";"6";"247";"8";"47";"5";"165";"1";"0";"2";"0";"0";"0";"0";"16";"0";"1";"2";"0";"0";"0"
"5c01-d348-460d-e974-8ccd-2fb0-badf-9930";"241602";"32";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Marii Skłodowskiej-Curie 16, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"950";"1024";"246";"704";"1";"3";"0";"0";"0";"0";"0";"0";"0";"704";"0";"0";"704";"4";"4";"0";"0";"700";"43";"6";"0";"0";"26";"0";"0";"2";"2";"0";"1";"1";"0";"1";"0";"0";"1";"0";"3";"261";"112";"26";"11";"78";"1";"10";"3";"1";"3";"0";"0";"3";"2";"0";"1";"2";"8";"141";"77";"21";"9";"3";"3";"4";"0";"2";"11";"1";"3";"0";"0";"0";"6";"1";"0";"59";"39";"0";"1";"1";"1";"0";"0";"4";"3";"0";"1";"0";"0";"0";"0";"0";"2";"7";"196";"14";"32";"2";"132";"1";"0";"0";"0";"1";"0";"0";"10";"0";"1";"2";"1";"0";"0"
"3ba6-50a4-c4c2-3763-811b-c1d4-80d7-0e35";"241602";"32";"9";"miasto";"stały";"Przedszkole Nr 1, ul. Ignacego Paderewskiego 57, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"1349";"1467";"506";"843";"0";"1";"0";"0";"0";"0";"0";"0";"0";"843";"0";"0";"843";"7";"5";"2";"0";"836";"42";"6";"1";"1";"27";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"4";"313";"146";"39";"8";"87";"4";"5";"1";"6";"2";"3";"1";"3";"3";"0";"1";"2";"2";"148";"88";"10";"7";"1";"4";"11";"0";"4";"7";"1";"0";"1";"1";"6";"1";"2";"4";"72";"53";"4";"4";"0";"2";"0";"0";"2";"0";"0";"4";"0";"0";"0";"0";"0";"0";"3";"261";"7";"49";"4";"176";"1";"2";"1";"0";"1";"0";"0";"16";"1";"0";"2";"0";"1";"0"
"1bb8-8d81-3b4b-cd2b-87a0-1839-8303-e0b5";"241602";"32";"10";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej Żerkowice, ul. Aleksandra Fredry 1, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"700";"749";"224";"476";"0";"1";"0";"0";"0";"0";"0";"0";"0";"476";"0";"0";"476";"1";"1";"0";"0";"475";"57";"10";"0";"0";"23";"0";"2";"0";"5";"0";"2";"1";"1";"0";"0";"0";"1";"0";"12";"209";"88";"22";"8";"70";"0";"1";"1";"1";"4";"3";"1";"2";"1";"2";"0";"1";"4";"71";"45";"6";"2";"1";"0";"9";"1";"3";"1";"0";"0";"0";"0";"0";"2";"0";"1";"30";"22";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"1";"2";"108";"11";"18";"0";"73";"0";"1";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0"
"e74c-0898-7886-4d5b-8e3b-d46b-16ed-2643";"241602";"32";"11";"miasto";"stały";"Remiza Ochotniczej Straży Pożarnej Bzów, ul. Poległych 27, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"650";"723";"169";"481";"0";"1";"1";"1";"0";"0";"0";"0";"1";"482";"1";"0";"482";"5";"4";"1";"0";"477";"12";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"3";"202";"72";"47";"5";"66";"2";"0";"1";"2";"2";"1";"1";"0";"0";"0";"2";"1";"0";"61";"39";"8";"1";"0";"0";"8";"0";"0";"3";"1";"0";"0";"0";"0";"0";"1";"0";"85";"81";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"117";"5";"9";"0";"102";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"a2ff-eff4-ad80-7d2b-c4bc-d010-5a24-789f";"241602";"32";"12";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Filaretów 9, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"950";"1034";"271";"679";"0";"5";"0";"0";"0";"0";"0";"0";"0";"679";"0";"0";"679";"2";"1";"1";"0";"677";"40";"15";"1";"0";"14";"0";"0";"2";"1";"1";"1";"0";"1";"2";"1";"0";"0";"0";"1";"319";"133";"46";"13";"80";"2";"4";"2";"6";"1";"9";"2";"2";"4";"3";"0";"6";"6";"71";"46";"11";"2";"0";"1";"9";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"67";"55";"1";"0";"1";"0";"3";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"2";"2";"180";"5";"60";"1";"107";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"0";"1";"0";"2"
"a71c-f29a-3b7c-66e4-f7b8-cab5-56d3-691a";"241602";"32";"13";"miasto";"stały";"Szkoła Podstawowa Nr 13, ul. Filaretów 9, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"1020";"1114";"354";"666";"0";"0";"0";"0";"0";"0";"0";"0";"0";"665";"0";"0";"665";"7";"7";"0";"0";"658";"46";"4";"1";"2";"25";"2";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"1";"7";"289";"130";"33";"13";"63";"3";"8";"1";"2";"7";"20";"3";"1";"0";"0";"2";"1";"2";"91";"55";"6";"1";"2";"1";"13";"1";"3";"5";"1";"1";"0";"0";"0";"2";"0";"0";"70";"54";"0";"1";"1";"1";"2";"0";"6";"2";"0";"1";"0";"0";"0";"1";"0";"0";"1";"162";"6";"27";"4";"104";"1";"3";"2";"1";"0";"0";"0";"11";"0";"2";"0";"0";"0";"1"
"a5bd-7b0d-c071-beb5-2429-1940-2c27-eedb";"241602";"32";"14";"miasto";"stały";"Przedszkole Nr 4, ul. Konstantego Ildefonsa Gałczyńskiego 5, 42-400 Zawiercie";"m. Zawiercie";"zawierciański";"śląskie";"820";"898";"227";"593";"0";"2";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"4";"4";"0";"0";"589";"51";"8";"1";"0";"28";"1";"1";"0";"1";"0";"1";"4";"0";"0";"0";"0";"0";"1";"5";"220";"62";"30";"16";"68";"5";"13";"2";"0";"6";"2";"0";"0";"4";"0";"0";"4";"8";"95";"55";"7";"6";"0";"1";"5";"0";"2";"12";"2";"0";"0";"0";"0";"3";"0";"2";"38";"28";"1";"1";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"3";"0";"185";"7";"34";"2";"127";"0";"2";"0";"0";"1";"2";"0";"4";"1";"2";"0";"1";"1";"1"
