"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dorota CZUDOWSKA";"Tymoteusz Dominik MYRDA";"Elżbieta Krystyna STĘPIEŃ"
"80ff-a5af-0749-5896-e9df-cbda-b6aa-c926";"020301";"3";"19";"miasto";"stały";"Przedszkole Publiczne nr 20, ul. Herkulesa 4, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1600";"1777";"469";"1131";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1131";"0";"0";"1131";"20";"4";"16";"0";"1111";"504";"167";"440"
"8c1d-b28a-0fc8-3d7d-35e1-0eb5-ab10-087d";"020301";"3";"20";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Ignacego Daszyńskiego 11, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1800";"1952";"618";"1182";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1182";"0";"0";"1182";"34";"5";"29";"0";"1148";"519";"172";"457"
"ea0e-192e-12ba-787f-184f-2a70-f1b5-58f6";"020301";"3";"21";"miasto";"stały";"Przedszkole Publiczne nr 7, ul. Stanisława Moniuszki 4a, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1200";"1253";"554";"646";"0";"4";"0";"0";"0";"0";"0";"0";"0";"646";"0";"0";"646";"22";"4";"18";"0";"624";"293";"109";"222"
"82c2-f559-0578-abcc-32e1-ad5f-6dc5-836b";"020301";"3";"22";"miasto";"stały";"Szkoła Podstawowa nr 7, ul. Ignacego Daszyńskiego 11, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1700";"1809";"602";"1098";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1098";"0";"0";"1098";"17";"8";"9";"0";"1081";"500";"178";"403"
"b12b-06a4-c760-51ee-4013-db26-cd7c-3def";"020301";"3";"23";"miasto";"stały";"Zespół Placówek Szkolno-Wychowawczych, ul. Sportowa 1, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1100";"1228";"325";"775";"1";"2";"0";"0";"0";"0";"0";"0";"0";"775";"0";"0";"775";"6";"1";"5";"0";"769";"315";"137";"317"
"02ec-7ea9-b2bb-b644-82af-4e16-da0f-84aa";"020301";"3";"24";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Mieczysława Niedziałkowskiego 10, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1300";"1411";"482";"818";"1";"3";"1";"1";"0";"0";"0";"0";"1";"819";"1";"0";"819";"9";"0";"9";"0";"810";"368";"129";"313"
"d24a-1d31-4e9e-6b2a-397a-9655-8990-9bd9";"020301";"3";"25";"miasto";"stały";"Miejskie Centrum Wspierania Rodziny, ul. Folwarczna 7, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"801";"924";"148";"653";"1";"0";"0";"0";"0";"0";"0";"0";"0";"653";"0";"0";"653";"7";"2";"5";"0";"646";"239";"104";"303"
"83ec-45a7-04a4-3568-448e-d369-775b-f7d0";"020301";"3";"26";"miasto";"stały";"Szkoła Podstawowa nr 13, ul. Akacjowa 10, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1100";"1210";"406";"694";"1";"4";"0";"0";"0";"0";"0";"0";"0";"694";"0";"0";"694";"15";"4";"11";"0";"679";"323";"138";"218"
"b314-b86d-d586-b894-63b6-f50a-2841-178d";"020301";"3";"27";"miasto";"stały";"Szkoła Podstawowa nr 14, ul. Królewska 12, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"2000";"2122";"633";"1367";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1367";"0";"0";"1367";"28";"8";"20";"0";"1339";"630";"231";"478"
"bc3b-05c8-1539-c9b3-ea35-e2a5-a2ba-f203";"020301";"3";"28";"miasto";"stały";"Przedszkole Publiczne nr 17, ul. Królewska 14, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"405";"457";"78";"327";"0";"1";"0";"0";"0";"0";"0";"0";"0";"327";"0";"0";"327";"9";"3";"6";"0";"318";"108";"62";"148"
"8563-76d0-50ef-3619-afde-6043-3e20-9157";"020301";"3";"29";"miasto";"stały";"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1700";"1840";"512";"1188";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1188";"0";"0";"1188";"14";"7";"7";"0";"1174";"543";"211";"420"
"ea42-556e-84c5-f3cc-98cb-2400-1510-ea93";"020301";"3";"30";"miasto";"stały";"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1200";"1338";"374";"826";"0";"4";"0";"0";"0";"0";"0";"0";"0";"826";"0";"0";"826";"13";"3";"10";"0";"813";"352";"139";"322"
"c664-9bbd-f015-2cf7-1cc6-20e1-4f2c-1c57";"020301";"3";"31";"miasto";"stały";"Szkoła Podstawowa nr 3, Plac Mieszka I 22, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1200";"1251";"475";"725";"0";"2";"0";"0";"0";"0";"0";"0";"0";"725";"0";"0";"725";"18";"9";"9";"0";"707";"290";"162";"255"
"04f4-5a65-bcb9-df17-8273-b31e-4c9e-7779";"020301";"3";"32";"miasto";"stały";"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1100";"1228";"329";"771";"2";"1";"0";"0";"0";"0";"0";"0";"0";"770";"0";"1";"769";"12";"5";"7";"0";"757";"312";"140";"305"
"554c-b603-f9ff-9229-0f21-0623-34e3-09fb";"020301";"3";"33";"miasto";"stały";"Przedszkole Publiczne nr 21, ul. Jagiellońska 37, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"1202";"1318";"444";"758";"0";"2";"0";"0";"0";"0";"0";"0";"0";"758";"0";"0";"758";"15";"5";"10";"0";"743";"357";"136";"250"
"a07b-2d17-995a-5e0f-4cca-5346-56d0-8b71";"020301";"3";"34";"miasto";"zakład karny";"Zakład Karny w Głogowie, ul. Lipowa 21, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"450";"293";"267";"183";"0";"0";"0";"0";"0";"0";"0";"0";"0";"183";"0";"0";"183";"5";"0";"5";"0";"178";"64";"32";"82"
"92ef-6f6a-984e-aadb-447f-35de-61ec-354d";"020301";"3";"35";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Magnolia"" w Głogowie, ul. Neptuna 22/24, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"150";"105";"92";"58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"9";"0";"9";"0";"49";"34";"7";"8"
"9c09-5220-a11b-7897-acb3-dda2-b317-0ed8";"020301";"3";"36";"miasto";"zakład leczniczy";"Głogowski Szpital Powiatowy sp. z o. o., ul. Tadeusza Kościuszki 15, 67-200 Głogów";"m. Głogów";"głogowski";"dolnośląskie";"358";"258";"325";"33";"0";"4";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"0";"0";"0";"0";"33";"18";"4";"11"
"d9f7-98e5-aa8b-8bab-e00c-a4ff-7884-653c";"020302";"3";"1";"wieś";"stały";"Świetlica Wiejska, Ruszowice ul. Tęczowa 55, 67-210 Głogów";"gm. Głogów";"głogowski";"dolnośląskie";"1100";"1233";"316";"784";"0";"1";"0";"0";"0";"0";"0";"0";"0";"784";"0";"0";"784";"11";"4";"7";"0";"773";"299";"139";"335"
"38a9-cda6-4e85-6974-c50b-67b4-a1ac-f51f";"020302";"3";"2";"wieś";"stały";"Szkoła Podstawowa w Przedmościu, Przedmoście ul. Szkolna 3, 67-210 Głogów";"gm. Głogów";"głogowski";"dolnośląskie";"1100";"1168";"380";"720";"0";"1";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"14";"2";"12";"0";"706";"390";"123";"193"
"d504-15b7-37c8-306f-d0d8-dc09-ff25-80e5";"020302";"3";"3";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Serbach, Serby ul. Ogrodowa 18, 67-210 Głogów";"gm. Głogów";"głogowski";"dolnośląskie";"1700";"1885";"490";"1210";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1210";"0";"0";"1210";"19";"2";"17";"0";"1191";"573";"227";"391"
"b703-29e2-0a9d-2a39-3efc-4566-5455-5fb4";"020302";"3";"4";"wieś";"stały";"Szkoła Podstawowa w Wilkowie, Wilków ul. Głogowska 5 a, 67-200 Głogów";"gm. Głogów";"głogowski";"dolnośląskie";"901";"951";"347";"554";"0";"3";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"11";"4";"7";"0";"543";"309";"87";"147"
"c8f2-d869-6a0d-5821-d3c5-d0b4-e11e-c949";"020303";"3";"1";"wieś";"stały";"Szkoła Podstawowa, Jaczów ul. Główna 20, 67-210 Głogów";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"1399";"1491";"393";"1006";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1006";"0";"0";"1006";"17";"4";"13";"0";"989";"465";"207";"317"
"0b52-d413-0511-1200-4387-410b-f5e8-dd6c";"020303";"3";"2";"wieś";"stały";"Szkoła Podstawowa, ul. Głogowska 19, 67-222 Jerzmanowa";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"900";"940";"267";"633";"2";"3";"0";"0";"0";"0";"0";"0";"0";"633";"0";"0";"633";"16";"4";"12";"0";"617";"223";"134";"260"
"5b52-4781-2e9b-4d5e-7f00-c1ca-aa76-6f25";"020303";"3";"3";"wieś";"stały";"Świetlica Wiejska, Kurowice 42A, 67-210 Głogów";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"700";"792";"202";"498";"1";"0";"0";"0";"0";"0";"0";"0";"0";"497";"0";"0";"497";"11";"7";"4";"0";"486";"210";"99";"177"
"82fa-b982-6a7f-525b-5022-310e-d128-d2f3";"020303";"3";"4";"wieś";"stały";"Świetlica Wiejska, Bądzów 39A, 67-222 Jerzmanowa";"gm. Jerzmanowa";"głogowski";"dolnośląskie";"600";"630";"241";"359";"1";"6";"0";"0";"0";"0";"0";"0";"0";"359";"0";"0";"359";"5";"1";"4";"0";"354";"185";"66";"103"
"0064-581f-0f8a-d476-6832-1f72-1418-5e13";"020304";"3";"1";"wieś";"stały";"Zespół Szkolno-Przedszkolny w Kotli Szkoła Podstawowa im. Kornela Makuszyńskiego, ul. Szkolna 2, 67-240 Kotla";"gm. Kotla";"głogowski";"dolnośląskie";"1300";"1470";"567";"733";"0";"8";"0";"0";"0";"0";"0";"0";"0";"733";"0";"0";"733";"18";"4";"14";"0";"715";"382";"138";"195"
"267f-931d-bcbf-f6d0-11cb-c005-03a7-b75d";"020304";"3";"2";"wieś";"stały";"Budynek komunalny, Chociemyśl 23, 67-240 Kotla";"gm. Kotla";"głogowski";"dolnośląskie";"400";"426";"189";"211";"0";"1";"0";"0";"0";"0";"0";"0";"0";"211";"0";"0";"211";"5";"1";"4";"0";"206";"134";"36";"36"
"9522-eecd-275b-292e-67dd-043a-f175-145e";"020304";"3";"3";"wieś";"stały";"Budynek komunalny, Sobczyce 38, 67-240 Kotla";"gm. Kotla";"głogowski";"dolnośląskie";"600";"627";"246";"354";"0";"0";"0";"0";"0";"0";"0";"0";"0";"354";"0";"0";"354";"7";"0";"7";"0";"347";"195";"64";"88"
"d00f-64ec-06ae-7ccb-7c3e-4968-07eb-fae6";"020304";"3";"4";"wieś";"stały";"Sala wiejska, Głogówko 21, 67-240 Kotla";"gm. Kotla";"głogowski";"dolnośląskie";"400";"484";"121";"279";"1";"1";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"8";"0";"8";"0";"271";"132";"32";"107"
"b32d-332b-0577-da1b-dd34-e05c-2f57-86db";"020304";"3";"5";"wieś";"stały";"Sala wiejska, Skidniów 9, 67-240 Kotla";"gm. Kotla";"głogowski";"dolnośląskie";"400";"391";"260";"140";"0";"0";"0";"0";"0";"0";"0";"0";"0";"140";"0";"0";"140";"5";"1";"4";"0";"135";"76";"23";"36"
"5b1c-923f-ee04-bccf-6a2a-d74a-c9e6-b678";"020305";"3";"1";"wieś";"stały";"Gminny Ośrodek Kultury, Białołęka 12, 67-221 Białołęka";"gm. Pęcław";"głogowski";"dolnośląskie";"1001";"1090";"466";"535";"0";"1";"0";"0";"0";"0";"0";"0";"0";"535";"0";"0";"535";"28";"3";"25";"0";"507";"320";"72";"115"
"4abc-0338-33a4-2512-8882-05de-57eb-a1a7";"020305";"3";"2";"wieś";"stały";"Świetlica Wiejska, Piersna 26, 67-221 Białołęka";"gm. Pęcław";"głogowski";"dolnośląskie";"600";"642";"267";"333";"0";"0";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"20";"1";"19";"0";"313";"229";"40";"44"
"c512-b303-55f1-4a90-d5c3-ba81-3cc3-93b9";"020306";"3";"1";"wieś";"stały";"Szkoła Podstawowa, Nielubia 80, 67-231 Żukowice";"gm. Żukowice";"głogowski";"dolnośląskie";"1199";"1365";"483";"716";"3";"2";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"14";"2";"12";"0";"702";"400";"125";"177"
"8bd3-a5f9-3097-1a96-d8f8-b4b2-2d67-9986";"020306";"3";"2";"wieś";"stały";"Szkoła Podstawowa, Brzeg Głogowski 27, 67-231 Żukowice";"gm. Żukowice";"głogowski";"dolnośląskie";"1200";"1316";"512";"688";"2";"3";"0";"0";"0";"0";"0";"0";"0";"688";"0";"0";"688";"23";"9";"14";"0";"665";"303";"148";"214"
"4587-44cb-9f64-79b0-c097-5a4c-9a01-4089";"020901";"3";"1";"miasto";"stały";"Miejski Ośrodek Kultury, Sportu i Rekreacji w Chojnowie, ul. Małachowskiego 7, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"1200";"1299";"477";"723";"0";"4";"0";"0";"0";"0";"0";"0";"0";"723";"0";"1";"722";"15";"4";"11";"0";"707";"323";"111";"273"
"4025-532b-0121-904f-66d4-3c6b-58b0-bdf9";"020901";"3";"2";"miasto";"stały";"Szkoła Podstawowa nr 3 w Chojnowie, ul. Kościuszki 30, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"1900";"2025";"838";"1062";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1062";"0";"0";"1062";"18";"5";"13";"0";"1044";"536";"116";"392"
"053d-086c-d4b5-e533-a36d-9723-2842-6295";"020901";"3";"3";"miasto";"stały";"Dom Schrama w Chojnowie, ul. Rynek 20, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"1699";"1884";"706";"993";"1";"4";"1";"1";"0";"0";"0";"0";"1";"994";"1";"0";"994";"28";"8";"20";"0";"966";"469";"162";"335"
"3792-0017-78b7-818d-238a-a454-d30a-6aef";"020901";"3";"4";"miasto";"stały";"Miejska Biblioteka Publiczna w Chojnowie, pl. Zamkowy 2, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"1100";"1189";"435";"665";"1";"5";"0";"0";"0";"0";"0";"0";"0";"665";"0";"0";"665";"11";"2";"9";"0";"654";"287";"121";"246"
"7e5b-6184-7a58-0528-1337-2fe4-d541-d613";"020901";"3";"5";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Chojnowie (mały budynek), ul. Kilińskiego 23, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"1499";"1584";"606";"893";"1";"1";"0";"0";"0";"0";"0";"0";"0";"893";"0";"0";"893";"29";"4";"25";"0";"864";"400";"140";"324"
"5802-b56e-9c39-b844-2e49-9023-8288-a6ea";"020901";"3";"6";"miasto";"stały";"Szkoła Podstawowa Nr 4 w Chojnowie (duży budynek), ul. Kilińskiego 23, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"2099";"2233";"777";"1322";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1322";"0";"0";"1322";"24";"4";"20";"0";"1298";"543";"185";"570"
"42ab-4523-8639-4c8e-e6ef-d7d1-dcab-9cb4";"020901";"3";"7";"miasto";"dom pomocy społecznej";"Dolnośląski Ośrodek Pielęgnacyjno-Rehabilitacyjny ""Niebieski Parasol"", ul. Szpitalna 20, 59-225 Chojnów";"m. Chojnów";"legnicki";"dolnośląskie";"40";"26";"25";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"2";"2";"0";"0";"13";"9";"0";"4"
"b27a-5a2d-a21f-5fb1-06ec-30c6-0f8b-ac31";"020902";"3";"1";"wieś";"stały";"Świetlica Wiejska w Białej, Biała 85, 59-225 Chojnów";"gm. Chojnów";"legnicki";"dolnośląskie";"1100";"1197";"366";"734";"0";"4";"0";"0";"0";"0";"0";"0";"0";"734";"0";"0";"734";"16";"1";"15";"0";"718";"405";"116";"197"
"2ce5-5149-78cf-7b7f-7955-d0dd-e9eb-f75f";"020902";"3";"2";"wieś";"stały";"Zespół Szkolno-Przedszkolny, Rokitki 32 A, 59-225 Chojnów";"gm. Chojnów";"legnicki";"dolnośląskie";"895";"977";"367";"528";"0";"0";"0";"0";"0";"0";"0";"0";"0";"528";"0";"0";"528";"18";"16";"2";"0";"510";"335";"60";"115"
"7256-e192-1492-15b5-2d38-e046-a68e-62ed";"020902";"3";"3";"wieś";"stały";"Świetlica Wiejska, Witków 34 B, 59-225 Chojnów";"gm. Chojnów";"legnicki";"dolnośląskie";"1100";"1200";"432";"668";"0";"2";"0";"0";"0";"0";"0";"0";"0";"668";"0";"0";"668";"11";"2";"9";"0";"657";"383";"79";"195"
"3566-cf2d-778b-e046-c69b-09f4-0b76-0369";"020902";"3";"4";"wieś";"stały";"Szkoła Podstawowa, Krzywa 52, 59-225 Chojnów";"gm. Chojnów";"legnicki";"dolnośląskie";"399";"480";"169";"230";"0";"1";"0";"0";"0";"0";"0";"0";"0";"230";"0";"0";"230";"0";"0";"0";"0";"230";"104";"46";"80"
