"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Dawid Adam KOSTEMPSKI";"Henryk Krzysztof MERCIK";"Leon SWACZYNA";"Dorota Jolanta TOBISZOWSKA"
"1c9f-e314-8b75-8912-b308-f034-1413-639f";"246301";"74";"25";"miasto";"stały";"Zespół Szkół Technicznych Nr 2, ul. Powstańców 6a, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"950";"1033";"334";"616";"1";"5";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"6";"1";"5";"0";"610";"120";"222";"99";"169"
"cbfc-a0b3-0956-bfc8-7a30-b0ec-f534-6d4f";"246301";"74";"26";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ludwika Urbanowicza 2, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1350";"1488";"385";"965";"3";"6";"1";"1";"0";"0";"0";"0";"1";"966";"1";"0";"966";"16";"6";"10";"0";"950";"199";"341";"153";"257"
"07b5-4bb1-5443-8567-7d58-0526-d07f-ec6c";"246301";"74";"27";"miasto";"stały";"Centrum Kształcenia Zawodowego i Ustawicznego, ul. Ludwika Urbanowicza 2, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1756";"377";"1223";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1223";"0";"0";"1223";"22";"6";"16";"0";"1201";"250";"470";"121";"360"
"9c71-0c0d-624b-f026-fb30-4f3b-71eb-8606";"246301";"74";"28";"miasto";"stały";"Zespół Szkół Gastronomiczno-Usługowych, ul. Katowicka 64, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1734";"550";"1050";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1050";"0";"0";"1050";"20";"10";"10";"0";"1030";"235";"321";"138";"336"
"4dc7-75d8-c17f-5c3c-fd82-2816-0a34-da10";"246301";"74";"29";"miasto";"stały";"Szkoła Podstawowa Nr 29, ul. Lwowska 36, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1550";"1666";"510";"1040";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1040";"0";"0";"1040";"16";"3";"13";"0";"1024";"231";"367";"135";"291"
"a0e3-20a5-3da6-0514-68bb-068c-7207-998e";"246301";"74";"30";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Ryszki 55, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1400";"1528";"396";"1004";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1004";"0";"0";"1004";"14";"9";"5";"0";"990";"218";"362";"122";"288"
"0a7b-f842-fe03-f59c-482e-6782-6f2b-5ac5";"246301";"74";"31";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. Ryszki 55, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1448";"1554";"298";"1150";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1149";"0";"0";"1149";"21";"6";"15";"0";"1128";"225";"408";"133";"362"
"4825-3119-fc00-0e57-6ea7-0b1d-17eb-557d";"246301";"74";"32";"miasto";"stały";"Klub ""Pokolenie"" Chorzowskiej Spółdzielni Mieszkaniowej, ul. Młodzieżowa 29, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1300";"1430";"182";"1118";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1118";"0";"0";"1118";"24";"11";"13";"0";"1094";"205";"421";"130";"338"
"32f7-10e8-1fb7-0567-2d34-6c22-3c69-d464";"246301";"74";"33";"miasto";"stały";"Klub ""Pokolenie"" Chorzowskiej Spółdzielni Mieszkaniowej, ul. Młodzieżowa 29, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1312";"319";"880";"1";"7";"0";"0";"0";"0";"0";"0";"0";"880";"0";"0";"880";"7";"0";"7";"0";"873";"161";"330";"100";"282"
"c5ac-ede6-dbab-99b4-fe6c-ab57-9f73-3f48";"246301";"74";"34";"miasto";"stały";"Zespół Szkół Technicznych Nr 1, ul. Sportowa 23, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1350";"1500";"330";"1020";"0";"5";"0";"0";"0";"0";"0";"0";"0";"1020";"0";"0";"1020";"15";"6";"9";"0";"1005";"218";"349";"110";"328"
"849d-ed42-4e67-dde7-2625-25d2-7183-8d19";"246301";"74";"35";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Wolności 133, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1500";"1644";"597";"903";"1";"1";"0";"0";"0";"0";"0";"0";"0";"903";"0";"0";"903";"19";"3";"16";"0";"884";"205";"267";"129";"283"
"e128-391e-8240-67b2-70d2-0b1f-5954-7824";"246301";"74";"36";"miasto";"stały";"Szkoła Podstawowa Nr 21, ul. Wolności 133, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1500";"1643";"610";"890";"2";"8";"0";"0";"0";"0";"0";"0";"0";"890";"0";"0";"890";"19";"7";"12";"0";"871";"189";"290";"141";"251"
"0835-1c1a-56dc-710d-d8aa-175d-6c23-2f1e";"246301";"74";"37";"miasto";"stały";"Centrum Aktywizacji Społecznej, ul. Powstańców 70/3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1250";"1370";"379";"871";"1";"5";"0";"0";"0";"0";"0";"0";"0";"871";"0";"0";"871";"15";"3";"12";"0";"856";"138";"331";"109";"278"
"5dd5-88e0-19d2-a65b-a7a9-7c6f-d81f-a9c0";"246301";"74";"38";"miasto";"stały";"Centrum Aktywizacji Społecznej, ul. Powstańców 70/3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1000";"1108";"441";"559";"0";"1";"1";"1";"0";"0";"0";"1";"0";"559";"0";"0";"559";"7";"2";"5";"0";"552";"89";"156";"103";"204"
"85ee-2e60-e639-1e6c-2236-39f7-35ac-c29c";"246301";"74";"39";"miasto";"stały";"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1325";"484";"716";"0";"4";"0";"0";"0";"0";"0";"0";"0";"716";"0";"0";"716";"16";"3";"13";"0";"700";"141";"191";"123";"245"
"9373-dde2-15dc-0741-e9bc-b697-b114-a4ae";"246301";"74";"40";"miasto";"stały";"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1249";"1364";"642";"607";"0";"5";"0";"0";"0";"0";"0";"0";"0";"607";"0";"0";"607";"14";"4";"10";"0";"593";"98";"149";"114";"232"
"bb5b-6e43-7686-50a5-1a20-17b3-d638-f5d2";"246301";"74";"41";"miasto";"stały";"Szkoła Podstawowa Nr 37, ul. Ratuszowa 20, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1450";"1565";"378";"1072";"0";"4";"2";"2";"0";"0";"0";"0";"2";"1074";"2";"0";"1074";"13";"4";"9";"0";"1061";"215";"335";"174";"337"
"cd6f-b6c8-b526-ebc9-3d11-2526-05e7-9fa9";"246301";"74";"42";"miasto";"stały";"Szkoła Podstawowa Specjalna Nr 33, ul. Dyrekcyjna 3, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1350";"1467";"574";"776";"1";"4";"1";"1";"0";"0";"0";"0";"1";"777";"1";"0";"777";"19";"4";"15";"0";"758";"143";"246";"136";"233"
"c063-8c67-7c34-898c-e59c-4259-6534-0659";"246301";"74";"43";"miasto";"stały";"Szkoła Podstawowa Nr 34, ul. Kaliny 55, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1050";"1146";"480";"570";"0";"0";"0";"0";"0";"0";"0";"0";"0";"570";"0";"0";"570";"16";"1";"15";"0";"554";"128";"136";"115";"175"
"6551-9aa9-6521-9105-c935-2b76-aaae-95a0";"246301";"74";"44";"miasto";"stały";"Szkoła Podstawowa Nr 34, ul. Kaliny 55, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1150";"1276";"331";"819";"2";"3";"0";"0";"0";"0";"0";"0";"0";"819";"0";"0";"819";"14";"1";"13";"0";"805";"148";"251";"112";"294"
"10ff-3efb-9a90-9c2c-d355-a063-f58c-0adf";"246301";"74";"45";"miasto";"stały";"Szkoła Podstawowa Nr 32, ul. Kaliny 61, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1400";"1511";"374";"1026";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1026";"0";"0";"1026";"16";"8";"8";"0";"1010";"217";"371";"120";"302"
"c2bb-e8d5-c970-2f75-1978-08ad-ae88-660e";"246301";"74";"46";"miasto";"stały";"Akademicki Zespól Szkół Ogólnokształcących Nr 2, ul. Farna 5 - 7, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1100";"1205";"314";"786";"0";"5";"0";"0";"0";"0";"0";"0";"0";"786";"0";"0";"786";"11";"3";"8";"0";"775";"177";"259";"98";"241"
"9dcb-c3e7-7007-0980-b06c-87ff-488a-b682";"246301";"74";"47";"miasto";"stały";"Akademicki Zespól Szkół Ogólnokształcących Nr 2, ul. Farna 5 - 7, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1100";"1185";"399";"701";"1";"2";"1";"1";"0";"0";"0";"0";"1";"702";"1";"0";"702";"17";"2";"15";"0";"685";"115";"231";"103";"236"
"a8f6-2937-a9d8-6732-699d-5b79-d67d-04e2";"246301";"74";"48";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. ks. J. Czempiela 52, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1200";"1328";"325";"875";"1";"4";"0";"0";"0";"0";"0";"0";"0";"875";"0";"0";"875";"12";"1";"11";"0";"863";"170";"261";"124";"308"
"dc9e-aaae-91a1-2dc4-4071-1447-836b-f139";"246301";"74";"49";"miasto";"stały";"Szkoła Podstawowa Nr 18, ul. ks. J. Czempiela 52, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1150";"1269";"344";"806";"1";"8";"0";"0";"0";"0";"0";"0";"0";"806";"0";"0";"806";"14";"4";"10";"0";"792";"140";"321";"105";"226"
"c0b6-8c18-07c4-e32b-dd71-98b7-16ea-d77f";"246301";"74";"50";"miasto";"stały";"Przedszkole Nr 16 Integracyjne, ul. Brzozowa 9, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1769";"337";"1263";"5";"3";"0";"0";"0";"0";"0";"0";"0";"1263";"0";"0";"1263";"18";"3";"15";"0";"1245";"289";"387";"165";"404"
"2dab-41b6-040a-7dbb-475e-7a6c-1833-8fd2";"246301";"74";"51";"miasto";"stały";"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1600";"1727";"485";"1115";"0";"6";"0";"0";"0";"0";"0";"0";"0";"1115";"0";"0";"1115";"20";"3";"17";"0";"1095";"260";"370";"139";"326"
"631d-8bf0-e32e-42c0-726e-a135-c976-065e";"246301";"74";"52";"miasto";"stały";"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1450";"1600";"563";"887";"1";"3";"0";"0";"0";"0";"0";"0";"0";"887";"0";"0";"887";"15";"2";"13";"0";"872";"208";"260";"163";"241"
"d59c-9115-095c-787d-d90e-0577-57bc-4f97";"246301";"74";"53";"miasto";"stały";"Szkoła Podstawowa Nr 12 z Oddziałami Integracyjnymi, ul. Skrajna 2, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"1450";"1588";"459";"991";"0";"3";"0";"0";"0";"0";"0";"0";"0";"991";"0";"0";"991";"17";"0";"17";"0";"974";"213";"279";"170";"312"
"501f-bc2b-48b1-0e53-06f5-247b-807a-54e0";"246301";"74";"54";"miasto";"dom pomocy społecznej";"Polski Związek Niewidomych Dom Pomocy Społecznej im. Kazimierza Jaworka, ul. Siemianowicka 101, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"160";"143";"92";"68";"0";"0";"0";"0";"0";"0";"0";"0";"0";"68";"0";"0";"68";"5";"0";"5";"0";"63";"10";"7";"3";"43"
"3e1e-d937-61d5-4b96-ccb8-adee-defe-4531";"246301";"74";"55";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej Św. Wincentego prowadzony przez Zgromadzenie Sióstr Miłosierdzia Św. Wincentego a Paulo, ul. Powstańców 45, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"91";"64";"67";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"0";"0";"0";"0";"24";"3";"4";"1";"16"
"d6ef-b110-f87c-9a66-5a92-0254-4c5c-5455";"246301";"74";"56";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej „Nadzieja”, ul. Wandy 64, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"60";"58";"16";"44";"0";"0";"0";"0";"0";"0";"0";"0";"0";"44";"0";"0";"44";"17";"10";"7";"0";"27";"3";"9";"3";"12"
"dd10-c35c-1c59-d8ca-396a-639e-23bb-a54d";"246301";"74";"57";"miasto";"dom pomocy społecznej";"BETAMED Medical Active Care, ul. Racławicka 20A, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"105";"70";"93";"12";"0";"1";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"12";"0";"0";"0";"0";"12";"2";"5";"1";"4"
"fde8-a8e7-8122-0961-f9fd-9d1c-2ab8-a1de";"246301";"74";"58";"miasto";"zakład leczniczy";"Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół Szpitali Miejskich, ul. Strzelców Bytomskich 11, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"394";"277";"275";"119";"0";"4";"0";"0";"0";"0";"0";"0";"0";"119";"0";"0";"119";"5";"1";"4";"0";"114";"25";"33";"7";"49"
"da29-9f5a-3209-9692-60fd-3a2e-cd09-500a";"246301";"74";"59";"miasto";"zakład leczniczy";"Szpital Specjalistyczny, ul. Zjednoczenia 10, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"130";"89";"92";"38";"0";"1";"0";"0";"0";"0";"0";"0";"0";"38";"0";"0";"38";"2";"0";"2";"0";"36";"9";"5";"9";"13"
"e681-b561-a635-1519-01c6-2bc1-e7cb-739c";"246301";"74";"60";"miasto";"dom pomocy społecznej";"„AMICUS” sp. z o. o. Zakład Pielęgnacyjno-Opiekuńczy NZOZ, ul. Szpitalna 25, 41-506 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"60";"47";"36";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"24";"0";"0";"24";"5";"0";"5";"0";"19";"5";"8";"2";"4"
"b32e-2636-d98e-4aff-688d-3e65-5df1-6b04";"246301";"74";"61";"miasto";"dom pomocy społecznej";"Ośrodek św. Florian Caritas Archidiecezji Katowickiej, ul. Harcerska 3, 41-500 Chorzów";"m. Chorzów";"Chorzów";"śląskie";"51";"49";"9";"42";"0";"0";"0";"0";"0";"0";"0";"0";"0";"42";"0";"0";"42";"0";"0";"0";"0";"42";"3";"7";"10";"22"
