"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Magdalena Maria KOCHAN";"Edward KOSMAL"
"3e6b-4ce5-93fc-1a60-f5d2-01de-60f1-79a2";"320402";"98";"11";"miasto";"stały";"Szkoła Podstawowa nr 3, Goleniów ul. Jodłowa 33, 72-100 Goleniow";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1197";"1318";"358";"839";"0";"4";"0";"0";"0";"0";"0";"0";"0";"839";"0";"0";"839";"23";"3";"20";"0";"816";"521";"295"
"b22e-38aa-e0db-aa4b-b4ec-7a33-d20a-7199";"320402";"98";"12";"wieś";"stały";"Szkoła Podstawowa, ul. Szkolna 2, 72-113 Krępsko";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1230";"1356";"516";"714";"0";"6";"0";"0";"0";"0";"0";"0";"0";"714";"0";"0";"714";"31";"6";"25";"0";"683";"465";"218"
"6030-efe1-7700-d1a3-837f-9939-75d6-7b89";"320402";"98";"13";"wieś";"stały";"Zespół Szkół Publicznych, Białuń ul. Sielankowa 4, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1300";"1437";"477";"823";"0";"5";"0";"0";"0";"0";"0";"0";"0";"823";"0";"0";"823";"17";"6";"11";"0";"806";"477";"329"
"e617-74f9-d620-0be3-c0a8-011e-2d64-43b4";"320402";"98";"14";"wieś";"stały";"Zespół Szkół Publicznych, Mosty 4, 72-132 Mosty";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1120";"1218";"488";"632";"0";"1";"0";"0";"0";"0";"0";"0";"0";"632";"0";"0";"632";"22";"10";"12";"0";"610";"361";"249"
"2c5b-aec7-cdf4-04c1-b048-d5a4-9a5b-4b14";"320402";"98";"15";"miasto";"stały";"Klub Stara Hydrofornia, ul. Bolesława Krzywoustego 16, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1097";"1332";"352";"745";"0";"0";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"28";"9";"19";"0";"717";"440";"277"
"9b05-c76a-ede5-c771-5018-5249-bfc0-2440";"320402";"98";"16";"wieś";"stały";"Szkoła Podstawowa, ul. Piastowska 11, 72-123 Kliniska Wielkie";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1650";"1810";"475";"1175";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1175";"0";"0";"1175";"36";"8";"28";"0";"1139";"712";"427"
"3863-4fdb-fb8c-968d-a6e8-b3a7-dc2f-d1f1";"320402";"98";"17";"wieś";"stały";"Szkoła Podstawowa, ul. Lipowa 14, 72-105 Lubczyna";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1229";"1343";"521";"708";"1";"1";"0";"0";"0";"0";"0";"0";"0";"708";"0";"0";"708";"28";"0";"28";"0";"680";"429";"251"
"1f1f-bbf8-7ad9-7a03-d996-928e-d6c2-77ed";"320402";"98";"18";"wieś";"stały";"Przedszkole Niepubliczne ""Kacper"", ul. Wierzbowa 2, 70-896 Załom";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1300";"1452";"369";"931";"0";"4";"0";"0";"0";"0";"0";"0";"0";"931";"0";"0";"931";"36";"9";"27";"0";"895";"567";"328"
"34ce-0efb-ed4f-c915-c29a-3d1d-0060-3698";"320402";"98";"19";"miasto";"zakład leczniczy";"Szpitalne Centrum Medyczne Sp. z o. o., ul. Nowogardzka 2, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"117";"95";"86";"31";"0";"3";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"1";"0";"1";"0";"30";"16";"14"
"f509-e6ae-a9f9-2a7c-1630-9205-8372-d0f8";"320402";"98";"20";"miasto";"zakład karny";"Zakład Karny, ul. Grenadierów 66, 72-100 Goleniów";"gm. Goleniów";"goleniowski";"zachodniopomorskie";"1000";"846";"525";"475";"0";"0";"0";"0";"0";"0";"0";"0";"0";"475";"0";"0";"475";"22";"7";"15";"0";"453";"338";"115"
"a326-86be-8520-7d7a-5256-55d6-d3e2-803c";"320403";"98";"1";"wieś";"stały";"Szkoła Podstawowa w Dębicach, Dębice 29, 72-130 Maszewo";"gm. Maszewo";"goleniowski";"zachodniopomorskie";"1568";"1731";"867";"701";"0";"3";"0";"0";"0";"0";"0";"0";"0";"701";"0";"0";"701";"21";"3";"18";"0";"680";"337";"343"
"629b-c988-9291-ecbe-5608-8773-3d73-d31d";"320403";"98";"2";"miasto";"stały";"Ośrodek Kultury i Sportu, ul. Szkolna 1a, 72-130 Maszewo";"gm. Maszewo";"goleniowski";"zachodniopomorskie";"1165";"1293";"457";"708";"1";"6";"0";"0";"0";"0";"0";"0";"0";"706";"0";"0";"706";"14";"2";"12";"0";"692";"424";"268"
"8152-d51c-d758-b6b8-b198-1f15-e7dd-3e10";"320403";"98";"3";"miasto";"stały";"Szkoła Podstawowa im. Adama Mickiewicza, ul. Szkolna 14, 72-130 Maszewo";"gm. Maszewo";"goleniowski";"zachodniopomorskie";"1158";"1262";"503";"655";"0";"4";"0";"0";"0";"0";"0";"0";"0";"655";"0";"0";"655";"33";"6";"27";"0";"622";"351";"271"
"0b0f-9bed-b656-bfa4-7dbd-2d99-52a8-5e43";"320403";"98";"4";"wieś";"stały";"Branżowa Szkoła I stopnia w Maszewie, ul. Jedności Narodowej 6, 72-130 Maszewo";"gm. Maszewo";"goleniowski";"zachodniopomorskie";"1240";"1362";"683";"557";"1";"4";"0";"0";"0";"0";"0";"0";"0";"557";"0";"0";"557";"17";"6";"11";"0";"540";"253";"287"
"465d-d309-e104-53f8-2b16-3279-c673-e60f";"320403";"98";"5";"wieś";"stały";"Szkoła Podstawowa w Rożnowie Nowogardzkim, Rożnowo Nowogardzkie 60, 72-130 Maszewo";"gm. Maszewo";"goleniowski";"zachodniopomorskie";"958";"1052";"452";"506";"0";"3";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"9";"2";"7";"0";"497";"221";"276"
"27df-200a-879c-43e5-edb3-ffaa-247c-366b";"320404";"98";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Bohaterów Warszawy 78, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1680";"1884";"551";"1129";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1129";"0";"0";"1129";"51";"15";"36";"0";"1078";"653";"425"
"54e3-fa59-7c9e-60ed-266c-be4e-865d-6776";"320404";"98";"2";"miasto";"stały";"Szkoła Podstawowa Nr 2, Stefana Żeromskiego 3, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1450";"1577";"472";"978";"0";"5";"0";"0";"0";"0";"0";"0";"0";"978";"0";"0";"978";"31";"7";"24";"0";"947";"575";"372"
"246c-7603-a40d-620b-e798-2c4b-2bb8-0d74";"320404";"98";"3";"miasto";"stały";"Przedszkole Miejskie Nr 3, Księcia Józefa Poniatowskiego 2a, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1320";"1437";"529";"791";"0";"8";"1";"1";"0";"0";"0";"0";"1";"792";"1";"0";"792";"42";"10";"32";"0";"750";"463";"287"
"dfbc-7cc9-a885-076d-1242-8d2b-a3d1-8f34";"320404";"98";"4";"miasto";"stały";"Ośrodek Pomocy Społecznej Zdrowotnej w Nowogardzie, 3 maja 6, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1250";"1358";"515";"735";"1";"2";"0";"0";"0";"0";"0";"0";"0";"735";"0";"0";"735";"35";"7";"28";"0";"700";"438";"262"
"44ec-f4c8-2e68-a3b3-b111-c19f-7ec9-b3a3";"320404";"98";"5";"miasto";"stały";"Nowogardzki Dom Kultury, Plac Wolności 7, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1570";"1740";"554";"1016";"4";"37";"0";"0";"0";"0";"0";"0";"0";"1016";"0";"0";"1016";"38";"9";"29";"0";"978";"604";"374"
"35a1-0196-4b95-d18a-b719-a632-7f39-cfd7";"320404";"98";"6";"miasto";"stały";"Przedszkole Miejskie Nr 4, Tadeusza Kościuszki 3, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1240";"1677";"137";"1103";"1";"15";"0";"0";"0";"0";"0";"0";"0";"1101";"0";"0";"1101";"43";"13";"30";"0";"1058";"758";"300"
"e905-1a7e-0338-8766-c604-7876-5318-8306";"320404";"98";"7";"miasto";"stały";"Szkoła Podstawowa Nr 1, Wojska Polskiego 6/36a, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1400";"1589";"499";"901";"2";"8";"0";"0";"0";"0";"0";"0";"0";"901";"0";"0";"901";"33";"5";"28";"0";"868";"561";"307"
"733d-97d8-3b1d-613b-38cf-25fc-9aab-c21e";"320404";"98";"8";"miasto";"stały";"Szkoła Podstawowa Nr 4, Gen. Józefa Bema 41, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1300";"1421";"523";"777";"0";"0";"0";"0";"0";"0";"0";"0";"0";"777";"0";"0";"777";"28";"4";"24";"0";"749";"482";"267"
"4ffa-9a5b-48ba-5a24-d3b7-1ff3-389e-cd09";"320404";"98";"9";"wieś";"stały";"Szkoła Podstawowa w Długołęce, Długołęka 16a, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"810";"923";"381";"429";"1";"2";"0";"0";"0";"0";"0";"0";"0";"429";"0";"0";"429";"20";"4";"16";"0";"409";"215";"194"
"dba9-cd6e-bd1f-3bec-dd38-88bb-a625-b96a";"320404";"98";"10";"wieś";"stały";"Szkoła Podstawowa w Wierzbęcinie, Wierzbięcin 50, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1260";"1393";"733";"527";"0";"1";"0";"0";"0";"0";"0";"0";"0";"527";"0";"0";"527";"23";"5";"18";"0";"504";"243";"261"
"ee1d-5f34-c4a6-3834-1109-53fa-8f2f-30be";"320404";"98";"11";"wieś";"stały";"Szkoła Podstawowa w Żabowie, Żabowo 17, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"940";"1032";"529";"411";"0";"1";"0";"0";"0";"0";"0";"0";"0";"411";"0";"0";"411";"9";"2";"7";"0";"402";"178";"224"
"5779-4120-3b37-9629-a922-0a84-b3ff-d641";"320404";"98";"12";"wieś";"stały";"Szkoła Podstawowa w Orzechowie, Orzechowo 24, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"740";"819";"419";"321";"0";"3";"0";"0";"0";"0";"0";"0";"0";"321";"0";"0";"321";"12";"1";"11";"0";"309";"151";"158"
"baeb-c44f-aa2c-dd32-be11-2250-876e-d60b";"320404";"98";"13";"wieś";"stały";"Szkoła Podstawowa w Strzelewie, Strzlewo 55a, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"520";"573";"292";"228";"0";"0";"0";"0";"0";"0";"0";"0";"0";"228";"0";"0";"228";"10";"1";"9";"0";"218";"113";"105"
"fc11-be78-18e7-809c-06fe-c8ec-00a0-8aa7";"320404";"98";"14";"wieś";"stały";"Szkoła Podstawowa w Błotnie, Błotno 27, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"1200";"1301";"618";"582";"1";"7";"0";"0";"0";"0";"0";"0";"0";"582";"0";"0";"582";"32";"4";"28";"0";"550";"265";"285"
"ffc7-d4a4-93d3-6d38-cd48-c5d7-3212-d24a";"320404";"98";"15";"miasto";"zakład leczniczy";"Samodzielny Publiczny Szpital Rejonowy w Nowogardzie, ul. Wojska Polskiego 7, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"25";"34";"8";"17";"0";"2";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"17";"0";"0";"0";"0";"17";"7";"10"
"b4d0-36ab-2b1b-bbb3-cc69-f3aa-6865-aa96";"320404";"98";"16";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Smużyny 2, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"75";"69";"42";"33";"0";"0";"0";"0";"0";"0";"0";"0";"0";"33";"0";"0";"33";"14";"1";"13";"0";"19";"7";"12"
"12af-b377-dcde-04b3-fa8a-55e1-b73a-d8fb";"320404";"98";"17";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, ul. Marsz. Józefa Piłsudskiego 9, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"30";"29";"1";"29";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"29";"9";"1";"8";"0";"20";"13";"7"
"1d84-1a33-b3b3-766e-dca2-599e-649d-2003";"320404";"98";"18";"miasto";"zakład karny";"Zakład Karny, ul. Zamkowa 7, 72-200 Nowogard";"gm. Nowogard";"goleniowski";"zachodniopomorskie";"780";"826";"424";"356";"0";"0";"0";"0";"0";"0";"0";"0";"0";"355";"0";"0";"355";"16";"2";"14";"0";"339";"232";"107"
"3da4-e52f-9b87-578a-6705-c892-bc7f-5bb8";"320405";"98";"1";"wieś";"stały";"Szkoła Podstawowa im. B. Malinowskiego, Osina 54, 72-221 Osina";"gm. Osina";"goleniowski";"zachodniopomorskie";"1350";"1474";"651";"699";"0";"2";"0";"0";"0";"0";"0";"0";"0";"699";"0";"0";"699";"31";"6";"25";"0";"668";"372";"296"
"3c76-4da8-ebed-c1ee-d927-a4e6-501a-1546";"320405";"98";"2";"wieś";"stały";"Świetlica wiejska, Węgorza 52, 72-221 Osina";"gm. Osina";"goleniowski";"zachodniopomorskie";"780";"871";"341";"439";"1";"1";"0";"0";"0";"0";"0";"0";"0";"439";"0";"0";"439";"20";"1";"19";"0";"419";"182";"237"
"e120-a2da-9111-af55-8934-7424-a4ca-7d3c";"320406";"98";"1";"wieś";"stały";"Szkoła Podstawowa, ul. Mieszka I 1, 72-110 Przybiernów";"gm. Przybiernów";"goleniowski";"zachodniopomorskie";"1796";"1987";"793";"1003";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1003";"0";"0";"1003";"25";"1";"24";"0";"978";"486";"492"
"ba02-118c-ddb5-0538-ec77-9e7f-3287-7bc8";"320406";"98";"2";"wieś";"stały";"Ośrodek Kultury, ul. Fabryczna 28, 72-121 Czarnogłowy";"gm. Przybiernów";"goleniowski";"zachodniopomorskie";"1190";"1310";"649";"541";"0";"5";"0";"0";"0";"0";"0";"0";"0";"541";"0";"0";"541";"16";"5";"11";"0";"525";"207";"318"
"e933-f795-fab5-daa3-60c3-2628-e963-230f";"320406";"98";"3";"wieś";"stały";"Wiejski Dom Spotkań i Animacji Społecznej, Budzieszewice 8, 72-122 Łoźnica";"gm. Przybiernów";"goleniowski";"zachodniopomorskie";"590";"640";"257";"333";"2";"0";"0";"0";"0";"0";"0";"0";"0";"333";"0";"0";"333";"15";"4";"11";"0";"318";"181";"137"
"6208-9daa-99a8-c31a-3562-8d22-1968-3a1a";"320407";"98";"1";"miasto";"stały";"Zespół Szkolno-Przedszkolny w Stepnicy, ul. Bolesława Krzywoustego 4, 72-112 Stepnica";"gm. Stepnica";"goleniowski";"zachodniopomorskie";"2070";"2287";"980";"1090";"2";"3";"0";"0";"0";"0";"0";"0";"0";"1088";"0";"0";"1088";"40";"9";"31";"0";"1048";"675";"373"
"ef15-0b94-9c26-e7ac-83fb-4bbe-41cf-ced5";"320407";"98";"2";"wieś";"stały";"Dom Kultury w Racimierzu, Racimierz ul. Niepodległości 6A, 72-111 Żarnowo";"gm. Stepnica";"goleniowski";"zachodniopomorskie";"899";"983";"480";"419";"0";"3";"0";"0";"0";"0";"0";"0";"0";"419";"0";"0";"419";"19";"4";"15";"0";"400";"217";"183"
"c341-6c1e-7467-076e-966f-2826-f4f5-f45d";"320407";"98";"3";"wieś";"stały";"Świetlica Wiejska w Kopicach, Kopice 6B, 72-112 Stepnica";"gm. Stepnica";"goleniowski";"zachodniopomorskie";"440";"487";"241";"199";"0";"1";"0";"0";"0";"0";"0";"0";"0";"199";"0";"0";"199";"6";"1";"5";"0";"193";"95";"98"
"93df-afad-c3ea-bfb6-c477-948d-2e1d-245c";"320501";"98";"1";"wieś";"stały";"Sala Wiejska w Brojcach, ul. Długa 43, 72-304 Brojce";"gm. Brojce";"gryficki";"zachodniopomorskie";"1800";"2009";"874";"926";"0";"3";"0";"0";"0";"0";"0";"0";"0";"922";"0";"0";"922";"31";"6";"25";"0";"891";"470";"421"
"7a6f-a084-e255-900f-a2d6-8bba-4d3a-eb45";"320501";"98";"2";"wieś";"stały";"Szkoła Podstawowa w Dargosławiu, Dargosław 32, 72-304 Brojce";"gm. Brojce";"gryficki";"zachodniopomorskie";"820";"915";"541";"279";"1";"0";"0";"0";"0";"0";"0";"0";"0";"279";"0";"0";"279";"17";"1";"16";"0";"262";"119";"143"
"a501-4021-a30f-181f-7282-8180-3f4c-7570";"320502";"98";"1";"miasto i wieś";"stały";"Spółdzielnia Mieszkaniowa Nad Regą, ul. Jana Dąbskiego 48, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1638";"1789";"615";"1023";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1022";"0";"0";"1022";"26";"6";"20";"0";"996";"662";"334"
"279e-bcd3-6df4-a6f7-eb5c-adfe-1fc9-7165";"320502";"98";"2";"wieś";"stały";"Szkoła Podstawowa, Budynek B, Trzygłów 24, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1090";"1194";"596";"494";"0";"2";"0";"0";"0";"0";"0";"0";"0";"494";"0";"0";"494";"26";"18";"8";"0";"468";"236";"232"
"41a1-36ae-2a8f-1d89-3cda-9b2b-3125-a2cc";"320502";"98";"3";"wieś";"stały";"Świetlica Wiejska, Świeszewo 27, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"660";"714";"342";"318";"0";"1";"0";"0";"0";"0";"0";"0";"0";"318";"0";"0";"318";"6";"2";"4";"0";"312";"207";"105"
"08f2-f0f6-eb6b-686c-4947-3824-d8a6-63c0";"320502";"98";"4";"wieś";"stały";"Szkoła Podstawowa, Górzyca 20, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"640";"696";"336";"304";"0";"0";"0";"0";"0";"0";"0";"0";"0";"304";"0";"0";"304";"17";"2";"15";"0";"287";"145";"142"
"9e7a-7f32-bfa8-e7a0-6766-9ae4-e578-981a";"320502";"98";"5";"wieś";"stały";"Szkoła Podstawowa, Prusinowo 10, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"840";"918";"386";"454";"1";"4";"0";"0";"0";"0";"0";"0";"0";"454";"0";"0";"454";"26";"7";"19";"0";"428";"240";"188"
"2f9e-ac46-d932-1766-9362-e140-7fc6-2d9a";"320502";"98";"6";"wieś";"stały";"Świetlica Wiejska, Rybokarty 19, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"524";"585";"287";"237";"0";"5";"0";"0";"0";"0";"0";"0";"0";"237";"0";"0";"237";"12";"1";"11";"0";"225";"115";"110"
"7270-3b8a-97c0-b3a0-e130-4bbc-e7ee-6de2";"320502";"98";"7";"miasto";"stały";"Szkoła Podstawowa Nr 3, Budynek A (mała sala), Rodziewiczówny 6, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1550";"1690";"535";"1015";"1";"2";"0";"0";"0";"0";"0";"0";"0";"1015";"0";"0";"1015";"38";"15";"23";"0";"977";"605";"372"
"a325-d88c-68ca-dfe8-b238-8a26-3e1b-6ebf";"320502";"98";"8";"miasto";"stały";"Szkoła Podstawowa Nr 3, Budynek A (dawny OSIR), ul. Rodziewiczówny 2, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1700";"1810";"624";"1076";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1076";"0";"0";"1076";"39";"11";"28";"0";"1037";"650";"387"
"2483-e7c0-0701-363e-ce1a-118f-823a-e43f";"320502";"98";"9";"miasto i wieś";"stały";"Szkoła Podstawowa Nr 4, Budynek A (mała sala), ul. Sienkiewicza 10A, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1780";"1934";"724";"1056";"0";"8";"0";"0";"0";"0";"0";"0";"0";"1056";"0";"0";"1056";"31";"4";"27";"0";"1025";"669";"356"
"a25c-bab4-8d93-9c34-7e94-adb8-3e5f-d7ad";"320502";"98";"10";"miasto";"stały";"Szkoła Podstawowa Nr 4, Budynek A (hol wejścia głównego), Sienkiewicza 10A, 72-300 Gryfice";"gm. Gryfice";"gryficki";"zachodniopomorskie";"1400";"1529";"474";"926";"1";"10";"0";"0";"0";"0";"0";"0";"0";"926";"0";"0";"926";"29";"6";"23";"0";"897";"583";"314"
