"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Jan AUGUSTYN";"Adam Stanisław SZEJNFELD";"Jolanta Małgorzata TURCZYNOWICZ-KIERYŁŁO"
"ac75-5401-8e51-26e4-afb7-adfc-ca1c-363a";"300101";"88";"11";"miasto";"zakład leczniczy";"Budynek Szpitala w Chodzieży, ul. Strzelecka 32, 64-800 Chodzież";"m. Chodzież";"chodzieski";"wielkopolskie";"169";"152";"53";"116";"0";"0";"0";"0";"0";"0";"0";"0";"0";"116";"0";"0";"116";"7";"4";"3";"0";"109";"15";"47";"47"
"f509-9225-d4a0-493b-9212-66bf-9d41-a33c";"300102";"88";"1";"wieś";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich, os. Wierzbowe 7, 64-840 Budzyń";"gm. Budzyń";"chodzieski";"wielkopolskie";"1306";"1407";"381";"925";"1";"2";"0";"0";"0";"0";"0";"0";"0";"924";"0";"0";"924";"24";"2";"22";"0";"900";"160";"437";"303"
"c983-c8bb-0718-7170-e48e-c179-19b5-8a4e";"300102";"88";"2";"wieś";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich, ul. Rogozińska 52, 64-840 Budzyń";"gm. Budzyń";"chodzieski";"wielkopolskie";"1816";"1981";"596";"1220";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1220";"0";"0";"1220";"26";"5";"21";"0";"1194";"250";"565";"379"
"8d90-c8db-4beb-595e-1578-9606-5699-99f3";"300102";"88";"3";"wieś";"stały";"Gminny Ośrodek Kultury, ul. Władysława Łokietka 31, 64-840 Budzyń";"gm. Budzyń";"chodzieski";"wielkopolskie";"1110";"1225";"522";"588";"1";"0";"0";"0";"0";"0";"0";"0";"0";"588";"0";"0";"588";"12";"1";"11";"0";"576";"94";"259";"223"
"6290-089e-35d1-8ac4-186a-cc1f-dbe6-27e0";"300102";"88";"4";"wieś";"stały";"Budynek byłej Szkoły Podstawowej, Sokołowo Budzyńskie 28, 64-841 Sokołowo Budzyńskie";"gm. Budzyń";"chodzieski";"wielkopolskie";"654";"716";"365";"289";"0";"1";"0";"0";"0";"0";"0";"0";"0";"288";"0";"0";"288";"8";"0";"8";"0";"280";"53";"101";"126"
"33e3-6c20-9da0-11c9-a2e3-34a7-b0d8-7ecd";"300102";"88";"5";"wieś";"stały";"Wiejski Dom Kultury w Wyszynach, Wyszyny 23, 64-834 Wyszyny";"gm. Budzyń";"chodzieski";"wielkopolskie";"1038";"1118";"486";"552";"1";"2";"0";"0";"0";"0";"0";"0";"0";"552";"0";"0";"552";"23";"5";"18";"0";"529";"86";"226";"217"
"45ce-1690-7265-16b3-1dab-a5e2-bbf4-7e21";"300103";"88";"1";"wieś";"stały";"Świetlica Wiejska w Ratajach, Rataje Wichrowe Wzgórze 1, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"806";"879";"164";"642";"1";"4";"0";"0";"0";"0";"0";"0";"0";"642";"0";"0";"642";"18";"4";"14";"0";"624";"112";"352";"160"
"8c6f-b93b-85bd-168b-72dd-2bd0-04af-eabd";"300103";"88";"2";"wieś";"stały";"Świetlica Wiejska w Strzelcach, Strzelce 24, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"611";"662";"228";"383";"0";"0";"0";"0";"0";"0";"0";"0";"0";"383";"0";"0";"383";"16";"1";"15";"0";"367";"86";"178";"103"
"3624-9275-1f5f-9a93-0ad1-f085-071f-168b";"300103";"88";"3";"wieś";"stały";"Szkoła Podstawowa w Zacharzynie, Zacharzyn 142, 64-813 Zacharzyn";"gm. Chodzież";"chodzieski";"wielkopolskie";"866";"941";"351";"515";"1";"1";"0";"0";"0";"0";"0";"0";"0";"515";"0";"0";"515";"7";"0";"7";"0";"508";"108";"191";"209"
"544b-b31f-4f8a-017d-d96f-c56d-e36d-09f7";"300103";"88";"4";"wieś";"stały";"Świetlica Wiejska w Podaninie, Podanin 28, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"360";"398";"115";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"3";"0";"3";"0";"242";"42";"120";"80"
"ee59-eee4-877e-3c96-ca55-50ff-71a3-583a";"300103";"88";"5";"wieś";"stały";"Wiejski Klub Kultury w Stróżewie, Stróżewo 55A, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"500";"546";"200";"300";"0";"1";"0";"0";"0";"0";"0";"0";"0";"300";"0";"0";"300";"6";"3";"3";"0";"294";"44";"151";"99"
"f54a-b6f2-2d17-1b35-7ad0-6aa1-ba49-8dff";"300103";"88";"6";"wieś";"stały";"Szkoła Podstawowa w Oleśnicy, Oleśnica 5, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"304";"325";"109";"195";"0";"1";"0";"0";"0";"0";"0";"0";"0";"195";"0";"0";"195";"11";"3";"8";"0";"184";"34";"99";"51"
"637e-d308-8512-51c2-cda9-d68b-10a1-2d9e";"300103";"88";"7";"wieś";"stały";"Świetlica Wiejska w Nietuszkowie, Nietuszkowo 52, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"230";"254";"85";"145";"0";"2";"0";"0";"0";"0";"0";"0";"0";"145";"0";"0";"145";"2";"0";"2";"0";"143";"22";"60";"61"
"d33e-5fc5-7849-e42a-0e2f-09d9-d53b-467a";"300103";"88";"8";"wieś";"stały";"Wiejski Klub Kultury w Milczu, Milcz 73A, 64-800 Chodzież";"gm. Chodzież";"chodzieski";"wielkopolskie";"544";"600";"219";"325";"1";"0";"0";"0";"0";"0";"0";"0";"0";"325";"0";"0";"325";"6";"2";"4";"0";"319";"58";"143";"118"
"dbf5-f288-12ea-4206-8102-96fa-f01e-54e2";"300104";"88";"1";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury, ul. Powstańców Wielkopolskich 15, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"1540";"1679";"375";"1165";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1165";"0";"0";"1165";"29";"6";"23";"0";"1136";"232";"610";"294"
"aa57-7da5-6822-2148-917e-123c-79ca-83f1";"300104";"88";"2";"wieś";"stały";"Urząd Stanu Cywilnego, ul. Poznańska 8, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"1130";"1237";"404";"726";"3";"0";"0";"0";"0";"0";"0";"0";"0";"726";"0";"0";"726";"23";"5";"18";"0";"703";"97";"289";"317"
"0c53-8609-8a0e-4df0-eead-6948-7d09-fdb0";"300104";"88";"3";"wieś";"stały";"Świetlica Wiejska Dom Strażaka, Zbyszewice 2c, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"390";"422";"161";"229";"0";"3";"0";"0";"0";"0";"0";"0";"0";"229";"0";"0";"229";"3";"2";"1";"0";"226";"44";"72";"110"
"f777-1acd-ccc4-b620-0811-dc45-6f65-d0da";"300104";"88";"4";"wieś";"stały";"Spółdzielnia ""Adorol"", Adolfowo 22A, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"370";"408";"107";"263";"0";"0";"0";"0";"0";"0";"0";"0";"0";"263";"0";"0";"263";"8";"0";"8";"0";"255";"61";"128";"66"
"fa3d-a328-96d1-7439-6905-f2ff-35c2-9934";"300104";"88";"5";"wieś";"stały";"Szkoła Podstawowa, Lipiny 40, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"370";"401";"125";"245";"0";"0";"0";"0";"0";"0";"0";"0";"0";"245";"0";"0";"245";"16";"8";"8";"0";"229";"32";"81";"116"
"e313-155b-3ba7-32b3-f8c3-b96a-fe60-8bce";"300104";"88";"6";"wieś";"stały";"Miejsko-Gminna Biblioteka Publiczna w Margoninie, Filia w Radwankach, Radwanki 30b, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"460";"506";"170";"290";"0";"4";"0";"0";"0";"0";"0";"0";"0";"290";"0";"0";"290";"9";"1";"8";"0";"281";"42";"148";"91"
"49f8-1724-15d0-83ca-2f53-7726-7351-12db";"300104";"88";"7";"wieś";"stały";"Świetlica Wiejska, Próchnowo 30, 64-830 Margonin";"gm. Margonin";"chodzieski";"wielkopolskie";"250";"282";"72";"178";"0";"4";"0";"0";"0";"0";"0";"0";"0";"177";"0";"0";"177";"7";"0";"7";"0";"170";"29";"79";"62"
"7fe3-e141-79ba-c697-ffa8-ca8a-8add-611a";"300105";"88";"1";"miasto";"stały";"Gminne Przedszkole Publiczne, Plac Wolności 31, 64-820 Szamocin";"gm. Szamocin";"chodzieski";"wielkopolskie";"1421";"1530";"510";"911";"0";"15";"0";"0";"0";"0";"0";"0";"0";"911";"0";"0";"911";"21";"8";"13";"0";"890";"170";"400";"320"
"4eff-3ee6-a536-bce9-b10b-6194-864c-7cec";"300105";"88";"2";"miasto";"stały";"Szkoła Podstawowa w Szamocinie, ul. 19 Stycznia 29, 64-820 Szamocin";"gm. Szamocin";"chodzieski";"wielkopolskie";"1600";"1706";"624";"976";"2";"3";"0";"0";"0";"0";"0";"0";"0";"976";"0";"0";"976";"13";"6";"7";"0";"963";"210";"401";"352"
"e880-722d-87d4-b4ba-3d2c-1a07-a5b7-2407";"300105";"88";"3";"wieś";"stały";"Dom Kultury, Lipia Góra 88a, 64-820 Szamocin";"gm. Szamocin";"chodzieski";"wielkopolskie";"1141";"1245";"611";"530";"0";"0";"0";"0";"0";"0";"0";"0";"0";"530";"0";"0";"530";"20";"4";"16";"0";"510";"78";"153";"279"
"3b3c-5b4f-5b12-5538-fd21-426b-de05-459a";"300105";"88";"4";"wieś";"stały";"Świetlica Wiejska, Nałęcza 25a, 64-820 Szamocin";"gm. Szamocin";"chodzieski";"wielkopolskie";"469";"506";"239";"230";"0";"0";"0";"0";"0";"0";"0";"0";"0";"230";"0";"0";"230";"1";"0";"1";"0";"229";"33";"95";"101"
"d9a8-d6ea-e377-0b21-eb23-6dbf-e3e7-ef3d";"300105";"88";"5";"miasto";"stały";"Ośrodek Szkolenia i Wychowania OHP, ul. Szkolna 11, 64-820 Szamocin";"gm. Szamocin";"chodzieski";"wielkopolskie";"774";"831";"268";"506";"0";"3";"0";"0";"0";"0";"0";"0";"0";"506";"0";"0";"506";"12";"5";"7";"0";"494";"114";"206";"174"
"8773-c54c-6cba-06f4-2217-66ac-281f-4ee8";"300201";"88";"1";"miasto";"stały";"Przedszkole Miejskie Nr 2, os. Parkowe 10, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"1554";"1662";"471";"1083";"2";"6";"0";"0";"0";"0";"0";"0";"0";"1083";"0";"0";"1083";"24";"5";"19";"0";"1059";"169";"542";"348"
"a1e0-d1f3-9004-981c-0b21-5277-ad38-0bb2";"300201";"88";"2";"miasto";"stały";"Szkoła Podstawowa nr 2, ul. Wroniecka 136, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"1600";"1727";"520";"1080";"4";"8";"0";"0";"0";"0";"0";"0";"0";"1080";"0";"1";"1079";"22";"3";"19";"0";"1057";"157";"550";"350"
"648a-514c-bea2-09b7-0d95-b6d1-f422-f853";"300201";"88";"3";"miasto";"stały";"Miejskie Centrum Kultury, ul. Kościuszki 60, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"1501";"1611";"648";"853";"1";"7";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"21";"4";"17";"0";"832";"141";"439";"252"
"933e-100e-09b3-d94d-6624-c8c9-cc1f-59c3";"300201";"88";"4";"miasto";"stały";"Przedszkole Miejskie Nr 1, ul. Rolna 2, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"1666";"1812";"416";"1250";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1250";"0";"0";"1250";"25";"7";"18";"0";"1225";"232";"615";"378"
"5814-d42c-d657-11ef-a4f1-6e29-175a-ee89";"300201";"88";"5";"miasto";"stały";"Muzem Ziemi Czarnkowskiej, ul. Wroniecka 32, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"1485";"1601";"472";"1013";"1";"3";"0";"0";"0";"0";"0";"0";"0";"1013";"0";"0";"1013";"27";"8";"19";"0";"986";"157";"528";"301"
"5ed7-9fb8-bac4-478e-57ab-471f-8d62-61d2";"300201";"88";"6";"miasto";"zakład leczniczy";"Szpital Powiatowy w Czarnkowie, ul. Kościuszki 94, 64-700 Czarnków";"m. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"40";"44";"32";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"8";"1";"0";"1";"0";"7";"1";"2";"4"
"6dc5-c7e3-baa2-f794-332f-3a07-65f7-5cad";"300202";"88";"1";"wieś";"stały";"Szkoła Podstawowa, Romanowo Dolne 123, 64-704 Romanowo Dolne";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"592";"653";"204";"388";"0";"2";"0";"0";"0";"0";"0";"0";"0";"388";"0";"0";"388";"12";"7";"5";"0";"376";"73";"136";"167"
"908b-c27e-9344-7a5c-e59b-612d-7a94-9e8e";"300202";"88";"2";"wieś";"stały";"Szkoła Podstawowa, Sarbia 1, 64-705 Sarbia";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"618";"683";"215";"403";"0";"0";"0";"0";"0";"0";"0";"0";"0";"403";"0";"0";"403";"8";"0";"8";"0";"395";"64";"139";"192"
"3c33-bda0-7baf-1d8e-7aa1-9be6-db48-8501";"300202";"88";"3";"wieś";"stały";"Szkoła Podstawowa im. Leśników Polskich, ul. Szkolna 2, 64-707 Gębice";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"782";"863";"316";"466";"0";"10";"0";"0";"0";"0";"0";"0";"0";"466";"0";"0";"466";"14";"1";"13";"0";"452";"50";"150";"252"
"20ee-b745-14c9-2b33-4bd1-2d89-243e-a206";"300202";"88";"4";"wieś";"stały";"Szkoła Podstawowa, ul. Radomska 22, 64-708 Huta";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"589";"648";"191";"398";"0";"3";"0";"0";"0";"0";"0";"0";"0";"398";"0";"0";"398";"10";"3";"7";"0";"388";"65";"172";"151"
"cc85-7de8-a07d-4f6d-4f32-201a-0348-f191";"300202";"88";"5";"wieś";"stały";"Szkoła Podstawowa, Śmieszkowo ul. Szkolna 38, 64-700 Czarnków";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"892";"987";"286";"606";"1";"3";"0";"0";"0";"0";"0";"0";"0";"606";"0";"0";"606";"10";"1";"9";"0";"596";"110";"271";"215"
"6a3e-27f9-cb71-c95b-6475-88c8-a580-f2b3";"300202";"88";"6";"wieś";"stały";"Sala Wiejska, Ciszkowo ul. Lipowa 7, 64-700 Czarnków";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"810";"893";"285";"525";"0";"1";"0";"0";"0";"0";"0";"0";"0";"525";"0";"0";"525";"11";"1";"10";"0";"514";"89";"204";"221"
"03ec-9b5d-5231-ed93-2a9d-cb5e-18d0-621b";"300202";"88";"7";"wieś";"stały";"Szkoła Podstawowa, Jędrzejewo 25, 64-713 Jędrzejewo";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"702";"759";"300";"402";"0";"2";"0";"0";"0";"0";"0";"0";"0";"402";"0";"0";"402";"15";"1";"14";"0";"387";"66";"185";"136"
"6222-a109-770d-4c4b-2e3d-2bb4-4701-7636";"300202";"88";"8";"wieś";"stały";"Sala Wiejska, Gajewo 51, 64-713 Jędrzejewo";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"922";"995";"492";"430";"0";"2";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"14";"4";"10";"0";"416";"77";"146";"193"
"8b9f-a080-5b4c-651a-7265-b0a9-6dbb-7fb0";"300202";"88";"9";"wieś";"stały";"Szkoła Podstawowa im. Powstańców Wielkopolskich 1918/1919, Kuźnica Czarnkowska ul. Szkolna 10, 64-700 Czarnków";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"975";"1081";"458";"517";"0";"3";"0";"0";"0";"0";"0";"0";"0";"517";"0";"0";"517";"8";"1";"7";"0";"509";"85";"233";"191"
"0722-c838-941f-17e7-db1b-a26d-4029-4d08";"300202";"88";"10";"wieś";"stały";"Szkoła Podstawowa, Romanowo Górne 72, 64-704 Romanowo Dolne";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"582";"639";"248";"334";"0";"0";"0";"0";"0";"0";"0";"0";"0";"334";"0";"0";"334";"7";"0";"7";"0";"327";"52";"123";"152"
"828c-ef6c-7e4c-addb-80f6-500a-94a7-3508";"300202";"88";"11";"wieś";"stały";"Świetlica Wiejska, Brzeźno ul. Czarnkowska 17, 64-700 Czarnków";"gm. Czarnków";"czarnkowsko-trzcianecki";"wielkopolskie";"563";"616";"221";"342";"0";"4";"0";"0";"0";"0";"0";"0";"0";"342";"0";"0";"342";"6";"2";"4";"0";"336";"58";"148";"130"
"1694-dffe-4422-b307-2971-6e44-3bc5-4271";"300203";"88";"1";"wieś";"stały";"Urząd Gminy Drawsko sala narad, ul. Powstańców Wielkopolskich 121, 64-733 Drawsko";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";"1177";"1284";"437";"740";"0";"2";"0";"0";"0";"0";"0";"0";"0";"740";"0";"0";"740";"21";"9";"12";"0";"719";"118";"298";"303"
"af63-358c-a5b0-630c-56ab-f69c-dfaa-7f3f";"300203";"88";"2";"wieś";"stały";"Sala Wiejska w Drawskim Młynie, Drawski Młyn ul. Szosa Dworcowa 2, 64-731 Drawsko";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";"729";"780";"248";"481";"0";"1";"0";"0";"0";"0";"0";"0";"0";"481";"0";"0";"481";"9";"2";"7";"0";"472";"85";"199";"188"
"d85f-d5b3-590e-8641-40b8-fa70-d7f2-97e0";"300203";"88";"3";"wieś";"stały";"Świetlica Wiejska w Piłce, Piłka 93a, 64-733 Drawsko";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";"532";"580";"232";"300";"1";"3";"0";"0";"0";"0";"0";"0";"0";"300";"0";"0";"300";"8";"1";"7";"0";"292";"36";"96";"160"
"731c-ca7c-33fc-e893-25ec-6057-e9f2-0b5f";"300203";"88";"4";"wieś";"stały";"Szkoła Podstawowa im. Józefa Noji w Pęckowie, Pęckowo ul. Powstańców Wielkopolskich 1, 64-733 Drawsko";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";"726";"798";"235";"491";"0";"0";"0";"0";"0";"0";"0";"0";"0";"490";"0";"0";"490";"14";"2";"12";"0";"476";"92";"146";"238"
"9bac-1d13-cefe-3c9d-21d6-c0e9-78bd-db2c";"300203";"88";"5";"wieś";"stały";"Szkoła Podstawowa w Chełście, Chełst 64, 64-733 Drawsko";"gm. Drawsko";"czarnkowsko-trzcianecki";"wielkopolskie";"1068";"1173";"452";"616";"1";"3";"0";"0";"0";"0";"0";"0";"0";"616";"0";"0";"616";"16";"1";"15";"0";"600";"88";"201";"311"
"93bd-6d9c-ed67-2efb-0cab-6f64-710d-89e9";"300204";"88";"1";"miasto";"stały";"Szkoła Podstawowa, ul. Wojska Polskiego 31, 64-761 Krzyż Wielkopolski";"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";"1962";"2144";"784";"1178";"4";"3";"0";"0";"0";"0";"0";"0";"0";"1177";"0";"0";"1177";"35";"8";"27";"0";"1142";"182";"571";"389"
"fae8-940e-c11a-7cb7-4a73-4061-884e-44bb";"300204";"88";"2";"miasto";"stały";"Miejsko-Gminny Ośrodek Kultury, ul. Wojska Polskiego 11, 64-761 Krzyż Wielkopolski";"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";"1569";"1710";"708";"861";"0";"1";"0";"0";"0";"0";"0";"0";"0";"861";"0";"0";"861";"21";"4";"17";"0";"840";"100";"373";"367"
"4624-2715-47c4-5ce9-c6cf-1d61-e548-987b";"300204";"88";"3";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Sienkiewicza 1, 64-761 Krzyż Wielkopolski";"gm. Krzyż Wielkopolski";"czarnkowsko-trzcianecki";"wielkopolskie";"1771";"1952";"699";"1072";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1072";"0";"0";"1072";"27";"14";"13";"0";"1045";"159";"518";"368"
