"Kod TERYT";"Rodzaj jednostki";"Gmina";"Powiat";"Województwo";"Komisje obwodowe otrzymały kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Dorota NIEDZIELA - nr na liście 1";"Marek Jan SOWA - nr na liście 2";"Adam Kajetan POTOCKI - nr na liście 3";"Adam Tomasz STYCZEŃ - nr na liście 4";"Mateusz Michał KLINOWSKI - nr na liście 5";"Ewa Beata WĄTROBA - nr na liście 6";"Michał CHOWANIEC - nr na liście 7";"Adam Jarosław LUBAŃSKI - nr na liście 8";"Ewa Magdalena WINCENCIAK-WALAS - nr na liście 9";"Kinga Agnieszka SKOWROŃSKA - nr na liście 10";"Marcin BRÓZDA - nr na liście 11";"Katarzyna Elżbieta BLIŹNIAK - nr na liście 12";"Szymon Tadeusz ARKIT - nr na liście 13";"Tomasz Zygmunt KLAJA - nr na liście 14";"Maria Wiesława MIRANOWICZ - nr na liście 15";"Tadeusz ŻABA - nr na liście 16";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Bartosz WILCZYŃSKI - nr na liście 1";"Emil Piotr KRAWCZYK - nr na liście 2";"Dariusz Bogdan CHMIEL - nr na liście 3";"Grzegorz Jan KUMANEK - nr na liście 4";"Marcin Jakub BAJER - nr na liście 5";"Jerzy CURZYDŁO - nr na liście 6";"Marta SALAWA - nr na liście 7";"Adam Aleksander CZACHUR - nr na liście 8";"Sylwia Małgorzata SIŁUSZYK - nr na liście 9";"Anna Katarzyna URBAŃSKA - nr na liście 10";"Tomasz MREŃCA - nr na liście 11";"Piotr Paweł BANET - nr na liście 12";"Katarzyna Anna SKWARCZYŃSKA - nr na liście 13";"Sylwia Jolanta JASTRZĘBSKA - nr na liście 14";"Katarzyna ZASŁONA-POLAK - nr na liście 15";"Tomasz KŁECZEK - nr na liście 16";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Józef BRYNKUS - nr na liście 1";"Józef KAŁA - nr na liście 2";"Dawid Julian HERBUT - nr na liście 3";"Grzegorz Roman ZAWADZKI - nr na liście 4";"Maria DĘBIŃSKA - nr na liście 5";"Katarzyna GOŁĄB - nr na liście 6";"Magdalena BOLEK - nr na liście 7";"Renata Barbara BEDRA - nr na liście 8";"Sylwia MICHALEC - nr na liście 9";"Marek Andrzej SIKORA - nr na liście 10";"Ewa Maria HYJEK - nr na liście 11";"Dorota PAJĄK - nr na liście 12";"Tomasz Marek JAKUBOWSKI - nr na liście 13";"Daniel Józef KIERPIEC - nr na liście 14";"Andrzej GÓRECKI - nr na liście 15";"Miłosz Maksymilian MOTYKA - nr na liście 16";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Rafał Paweł BOCHENEK - nr na liście 1";"Marek Władysław POLAK - nr na liście 2";"Zbigniew Stanisław BIERNAT - nr na liście 3";"Ewa Maria FILIPIAK - nr na liście 4";"Krzysztof Janusz KOZIK - nr na liście 5";"Sławomir Paweł HAJOS - nr na liście 6";"Władysław Michał KUROWSKI - nr na liście 7";"Zbigniew Władysław STARZEC - nr na liście 8";"Iwona Józefa GIBAS - nr na liście 9";"Wojciech Marcin KASPROWSKI - nr na liście 10";"Jolanta Maria MAJKA - nr na liście 11";"Filip Roman KACZYŃSKI - nr na liście 12";"Grażyna ŚWIERKOSZ - nr na liście 13";"Stanisława Marzena KASPRZYCKA - nr na liście 14";"Grażyna TROJANOWSKA - nr na liście 15";"Roman Wincenty DUDA - nr na liście 16";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Ryszard Kazimierz ŚMIAŁEK - nr na liście 1";"Katarzyna Małgorzata WÓJTOWICZ - nr na liście 2";"Tomasz Leszek ZAWADA - nr na liście 3";"Dominika Maria BROŻEK - nr na liście 4";"Paweł Stanisław JEZIERSKI - nr na liście 5";"Michał Grzegorz KOWALÓWKA - nr na liście 6";"Jan Zbigniew RAUCH - nr na liście 7";"Iwona Ewa STASIK - nr na liście 8";"Magdalena FILIPEK - nr na liście 9";"Maria Teresa KUC - nr na liście 10";"Władysław JANUSZYK - nr na liście 11";"Natalia Joanna LEGOŃ - nr na liście 12";"Jarosław Marek GUGULSKI - nr na liście 13";"Agnieszka TYMAN - nr na liście 14";"Dorota Ewa KAJDAS - nr na liście 15";"Jakub Jerzy JAGLARZ - nr na liście 16";"Liczba obwodów"
"120906";"gmina wiejska";"gm. Siepraw";"myślenicki";"małopolskie";6208;6924;1786;4422;3;19;0;0;0;0;0;0;0;4422;0;0;4422;31;20;11;0;4391;895;160;64;14;78;13;7;9;2;46;11;0;9;3;1;1;477;364;195;42;15;2;20;10;37;4;4;9;1;4;4;5;4;8;250;86;9;10;8;18;14;6;3;10;15;19;7;4;2;3;36;2654;1077;120;45;114;24;35;228;11;13;20;82;97;11;676;30;71;228;98;48;21;4;7;5;4;4;7;6;0;6;3;4;2;9;5
"120907";"gmina miejsko-wiejska";"gm. Sułkowice";"myślenicki";"małopolskie";10411;11476;3511;6900;1;44;0;0;0;0;0;0;0;6899;0;4;6895;104;55;49;0;6791;1134;291;132;36;406;33;18;25;9;103;15;13;7;2;3;2;39;561;282;66;30;9;27;15;38;9;15;16;3;9;11;7;4;20;554;153;21;22;20;33;26;17;6;23;116;9;32;15;8;19;34;4109;1268;305;265;363;103;106;788;72;50;22;81;241;17;42;37;349;433;152;85;34;41;11;11;6;20;18;11;6;9;6;10;4;9;9
"120908";"gmina wiejska";"gm. Tokarnia";"myślenicki";"małopolskie";6078;6669;1733;4345;7;18;0;0;0;0;0;0;0;4345;0;0;4345;43;34;9;0;4302;353;71;29;8;179;3;6;9;3;21;0;2;0;1;3;1;17;222;135;15;11;4;11;2;15;2;2;6;1;5;4;3;0;6;315;36;1;4;4;8;8;5;1;3;10;8;9;1;0;3;214;3282;837;267;63;140;59;169;472;13;24;15;567;200;10;86;29;331;130;43;26;8;9;3;3;3;2;14;3;1;3;1;6;1;4;6
"120909";"gmina wiejska";"gm. Wiśniowa";"myślenicki";"małopolskie";5135;5679;1447;3688;5;10;2;2;0;0;0;0;2;3690;2;0;3690;39;23;16;0;3651;344;62;53;22;115;7;4;4;2;52;3;2;1;1;1;0;15;283;140;21;16;3;50;5;9;4;7;8;1;4;2;7;2;4;216;87;4;10;3;9;14;5;6;6;4;8;9;5;1;7;38;2712;699;144;38;146;26;66;215;8;11;12;329;82;8;862;10;56;96;46;18;4;5;1;0;1;5;3;3;2;0;3;3;1;1;7
"121301";"gmina miejska";"m. Oświęcim";"oświęcimski";"małopolskie";27739;29967;8324;19414;61;92;1;1;0;0;0;0;1;19415;1;0;19415;161;98;63;0;19254;6567;2331;3640;58;26;38;49;86;20;13;125;13;28;18;70;12;40;1194;653;121;57;18;43;16;66;27;11;44;15;24;31;17;19;32;1137;275;496;35;33;44;46;27;23;17;17;8;45;27;13;16;15;7716;2477;371;818;345;228;32;42;2439;287;90;76;144;32;49;86;200;2640;846;329;100;69;709;81;13;36;49;30;152;21;31;30;118;26;25
"121302";"gmina miejsko-wiejska";"gm. Brzeszcze";"oświęcimski";"małopolskie";15210;16723;4212;10998;12;27;3;3;0;0;0;0;3;10998;3;0;10998;104;62;42;0;10894;2551;1083;942;41;13;11;39;42;7;5;34;15;265;7;21;6;20;632;345;83;25;16;35;12;26;8;7;16;6;12;12;3;8;18;864;180;267;19;108;28;20;18;69;25;13;5;36;15;9;14;38;5516;1530;388;250;145;257;16;22;210;2203;145;60;105;15;20;33;117;1331;621;216;66;53;145;23;10;21;28;14;34;10;10;12;48;20;12
"121303";"gmina miejsko-wiejska";"gm. Chełmek";"oświęcimski";"małopolskie";9276;10149;2838;6438;11;12;0;0;0;0;0;0;0;6438;0;0;6438;66;43;23;0;6372;2030;190;1366;26;6;8;11;9;4;4;347;2;11;33;7;0;6;410;197;45;19;29;10;8;32;9;3;15;4;7;8;11;4;9;272;66;65;12;11;16;14;17;9;10;7;2;17;8;0;10;8;3035;884;148;311;165;734;41;24;206;218;35;39;83;13;15;51;68;625;241;105;27;31;76;8;2;16;19;12;23;6;6;7;39;7;9
"121304";"gmina miejsko-wiejska";"gm. Kęty";"oświęcimski";"małopolskie";24263;26364;7140;17123;29;64;0;0;0;0;0;0;0;17120;0;7;17113;168;101;67;0;16945;4700;4050;326;40;14;66;42;36;8;10;32;9;14;2;21;5;25;1099;671;79;56;18;37;23;30;14;10;24;65;21;9;12;10;20;1358;309;569;30;41;48;55;41;15;24;30;9;47;21;54;32;33;8461;3122;1396;508;471;135;62;55;406;1128;103;94;342;43;26;79;491;1327;546;176;67;59;38;16;21;26;30;18;15;21;236;14;26;18;21
"121305";"gmina wiejska";"gm. Osiek";"oświęcimski";"małopolskie";5866;6461;1854;4012;8;17;0;0;0;0;0;0;0;4012;0;0;4012;55;33;22;0;3957;596;290;244;17;3;6;7;5;3;3;7;0;3;1;3;1;3;276;151;21;16;9;15;2;12;10;0;8;8;4;4;6;5;5;451;52;341;5;3;12;5;5;2;2;5;1;3;3;1;1;10;2338;854;313;277;81;72;12;13;247;207;80;23;73;7;13;11;55;296;126;41;13;9;34;4;3;5;10;6;11;5;9;4;11;5;4
"121306";"gmina wiejska";"gm. Oświęcim";"oświęcimski";"małopolskie";13485;14736;3370;10115;3;39;0;0;0;0;0;0;0;10115;0;0;10115;95;56;39;0;10020;2618;855;1508;30;15;18;11;38;12;5;49;4;33;7;15;3;15;597;307;82;39;19;20;9;23;6;7;25;5;9;16;10;8;12;726;129;392;18;26;25;26;10;12;19;12;5;18;10;8;6;10;4968;1856;218;650;123;238;23;20;1046;382;54;48;131;15;23;36;105;1111;301;112;32;34;488;31;3;6;21;5;16;5;8;6;24;19;16
"121307";"gmina wiejska";"gm. Polanka Wielka";"oświęcimski";"małopolskie";3099;3401;832;2267;1;5;0;0;0;0;0;0;0;2266;0;0;2266;31;20;11;0;2235;314;136;137;5;6;5;2;4;0;0;6;3;4;0;6;0;0;135;76;15;8;1;8;5;8;4;1;1;0;1;1;2;2;2;482;17;448;0;0;2;3;2;1;2;2;1;1;1;0;0;2;1176;535;68;157;25;24;7;9;119;104;43;6;30;3;2;5;39;128;48;26;7;1;22;1;3;1;5;2;1;0;2;2;4;3;3
"121308";"gmina wiejska";"gm. Przeciszów";"oświęcimski";"małopolskie";4949;5396;1579;3370;4;12;0;0;0;0;0;0;0;3370;0;0;3370;54;36;18;0;3316;715;219;375;7;7;9;8;15;1;2;14;1;8;5;40;0;4;197;114;23;9;1;16;2;6;2;1;1;1;5;5;3;6;2;384;57;249;8;9;15;7;4;2;6;2;2;5;2;3;5;8;1741;573;99;485;78;32;9;9;175;164;9;17;33;9;4;9;36;279;86;35;17;4;56;2;1;3;10;2;4;2;6;3;44;4;3
"121309";"gmina miejsko-wiejska";"gm. Zator";"oświęcimski";"małopolskie";6833;7439;2191;4642;3;49;0;0;0;0;0;0;0;4642;0;0;4642;57;41;16;0;4585;1099;183;428;12;6;46;16;8;5;1;14;3;3;3;361;2;8;312;139;65;22;11;13;10;9;4;1;4;3;5;13;5;4;4;324;79;125;15;5;4;22;11;3;18;5;0;11;4;3;8;11;2534;442;108;1370;110;106;12;8;69;142;11;14;69;20;3;6;44;316;119;61;17;13;21;13;5;7;6;0;11;3;2;8;23;7;11
"121501";"gmina miejska";"m. Jordanów";"suski";"małopolskie";3838;4153;1288;2550;7;16;0;0;0;0;0;0;0;2550;0;0;2550;34;27;7;0;2516;449;186;140;8;14;18;8;28;1;8;9;5;2;3;12;2;5;226;132;24;9;4;8;3;20;1;2;6;2;3;4;1;2;5;231;86;40;12;5;17;11;3;3;4;5;1;14;7;2;4;17;1384;386;82;62;201;19;387;9;41;23;5;15;57;15;12;7;63;226;122;36;11;8;11;2;0;3;6;3;3;0;6;5;5;5;4
"121502";"gmina miejska";"m. Sucha Beskidzka";"suski";"małopolskie";6987;7505;2290;4697;8;52;0;0;0;0;0;0;0;4697;0;2;4695;45;29;16;0;4650;1316;367;247;25;30;72;20;500;5;6;12;6;2;2;10;0;12;384;243;37;12;7;12;6;15;4;1;20;2;6;2;5;4;8;407;185;18;16;7;73;14;7;2;16;16;3;20;3;3;10;14;2107;594;271;50;134;42;474;10;9;44;4;16;175;49;37;31;167;436;196;74;22;18;6;32;31;11;9;12;4;5;0;5;6;5;7
"121503";"gmina wiejska";"gm. Budzów";"suski";"małopolskie";6150;6737;2382;3768;4;9;0;0;0;0;0;0;0;3768;0;0;3768;81;52;29;0;3687;359;139;76;17;7;32;11;45;7;2;2;12;4;1;1;0;3;316;177;30;23;10;8;6;19;3;5;15;1;3;5;1;2;8;324;93;40;28;4;31;13;8;2;11;15;5;41;8;4;7;14;2556;745;268;54;210;43;456;25;21;48;15;29;362;45;11;32;192;132;39;28;14;10;0;4;7;9;4;2;0;6;3;1;3;2;6
"121504";"gmina wiejska";"gm. Bystra-Sidzina";"suski";"małopolskie";4872;5334;2008;2864;5;30;0;0;0;0;0;0;0;2864;0;0;2864;36;27;9;0;2828;246;111;54;11;6;11;9;18;5;3;4;2;3;1;2;0;6;213;113;23;18;2;9;7;12;2;4;2;2;6;2;3;2;6;262;113;15;10;12;26;10;4;2;10;9;3;29;2;1;5;11;1973;294;88;39;84;15;1176;17;5;11;4;9;125;16;6;7;77;134;58;26;10;4;4;4;4;6;4;1;0;3;1;5;2;2;4
"121505";"gmina wiejska";"gm. Jordanów";"suski";"małopolskie";7856;8611;2868;4988;5;30;0;0;0;0;0;0;0;4987;0;0;4987;50;26;24;0;4937;406;190;76;16;12;13;15;25;12;10;8;4;11;1;5;0;8;340;205;33;18;3;18;3;23;3;6;6;2;5;2;5;3;5;339;114;41;8;17;27;22;8;5;6;8;2;20;2;1;20;38;3645;701;272;91;382;69;1228;20;33;33;14;41;259;30;16;22;434;207;82;38;19;9;4;3;5;4;14;4;3;2;6;5;4;5;7
"121506";"gmina miejsko-wiejska";"gm. Maków Podhalański";"suski";"małopolskie";11718;12645;3957;7761;6;61;0;0;0;0;0;0;0;7760;0;0;7760;98;52;46;0;7662;1257;523;340;40;33;64;14;141;13;9;18;9;10;2;9;2;30;593;344;44;40;10;21;9;19;7;2;56;7;5;6;11;4;8;622;183;16;21;20;194;23;19;5;23;15;7;31;12;2;10;41;4738;982;275;80;342;64;2030;20;14;36;15;29;489;103;16;23;220;452;191;71;43;24;11;18;17;27;10;8;2;7;1;7;4;11;12
"121507";"gmina wiejska";"gm. Stryszawa";"suski";"małopolskie";8729;9495;2854;5875;10;56;0;0;0;0;0;0;0;5875;0;0;5875;62;43;19;0;5813;841;364;147;33;33;60;31;108;1;5;9;5;7;2;3;6;27;424;213;54;41;6;16;6;17;3;5;27;8;3;7;8;5;5;419;153;22;27;17;42;26;16;5;17;30;4;36;5;2;6;11;3773;832;305;82;271;145;668;23;9;62;13;21;363;793;14;17;155;356;163;68;19;15;11;10;11;12;16;6;7;2;2;2;4;8;8
