"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście, której rejestracja została unieważniona";"Liczba głosów ważnych oddanych łącznie na wszystkie listy kandydatów";"Lista nr 1 - KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"Mirosław Stanisław SZEMLA - nr na liście 1";"Marian Albin ORMANIEC - nr na liście 2";"Małgorzata KIEREŚ - nr na liście 3";"Alicja OGIEGŁO - nr na liście 4";"Przemysław MAJOR - nr na liście 5";"Waldemar Michał SZENDERA - nr na liście 6";"Dawid Sylwester JARCO - nr na liście 7";"Ryszard Tadeusz WÓJCIK - nr na liście 8";"Halina Stefania WENGLORZ - nr na liście 9";"Tadeusz ŻYŁA - nr na liście 10";"Edward Stanisław KUĆKA - nr na liście 11";"Magdalena Ewa SZCZEPAŃCZYK-CHROBAK - nr na liście 12";"Justyna Barbara SOSNOWSKA - nr na liście 13";"Brygida Urszula BRZOSKA-KRAWCZYK - nr na liście 14";"Andrzej Bernard GRZYB - nr na liście 15";"Grzegorz Ryszard GAWĘDA - nr na liście 16";"Lucyna BUTOR - nr na liście 17";"Danuta Maria KOŻUSZNIK - nr na liście 18";"Lista nr 2 - KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"Stanisław SZWED - nr na liście 1";"Grzegorz Paweł PUDA - nr na liście 2";"Kazimierz Władysław MATUSZNY - nr na liście 3";"Przemysław Mieczysław DRABEK - nr na liście 4";"Magdalena Ewa WÓJCIK - nr na liście 5";"Grzegorz Krzysztof GAŻA - nr na liście 6";"Ryszard Arkadiusz MACURA - nr na liście 7";"Marcela Joanna KANAFEK-LEWANDOWSKA - nr na liście 8";"Barbara Lucyna ADAMSKA - nr na liście 9";"Konrad Tomasz ŁOŚ - nr na liście 10";"Adrian Kamil MIDOR - nr na liście 11";"Jarosław GOWIN - nr na liście 12";"Janusz Witold DZIEDZIC - nr na liście 13";"Agnieszka Magdalena BIEGUN - nr na liście 14";"Magdalena Elżbieta WAWRZECZKO - nr na liście 15";"Renata Anna MICHNIK - nr na liście 16";"Łukasz Grzegorz PASIERBEK - nr na liście 17";"Beata Iwona BIAŁOWĄS - nr na liście 18";"Lista nr 3 - KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"Przemysław Adam KOPERSKI - nr na liście 1";"Agnieszka Zofia LAMEK-KOCHANOWSKA - nr na liście 2";"Leszek Zbigniew CZYLOK - nr na liście 3";"Henryk SATŁAWA - nr na liście 4";"Leszek TYRNA - nr na liście 5";"Anna Maria CZAICKA - nr na liście 6";"Magdalena MADZIA - nr na liście 7";"Aleksandra Ewa BANOT - nr na liście 8";"Barbara Jolanta SŁONKA-GIBAS - nr na liście 9";"Władysław PINDEL - nr na liście 10";"Katarzyna Olga GASPARSKA - nr na liście 11";"Alicja ZALEWSKA - nr na liście 12";"Aleksandra Maria HASIOR - nr na liście 13";"Paulina Magdalena GRZYBEK - nr na liście 14";"Michał Jacek BRUDNY - nr na liście 15";"Paweł Piotr MIECH - nr na liście 16";"Artur Jerzy SIĄKAŁA - nr na liście 17";"Zbigniew Henryk NOSKOWSKI - nr na liście 18";"Lista nr 4 - KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"Bronisław Edward FOLTYN - nr na liście 1";"Robert Łukasz GRAJNY - nr na liście 2";"Wojciech Tomasz BIELEWICZ - nr na liście 3";"Maria STARZYŃSKA - nr na liście 4";"Artur SKŁODOWSKI - nr na liście 5";"Magdalena Barbara MILCZANOWSKA-SZWEDA - nr na liście 6";"Paweł Adam MAŁYSZ - nr na liście 7";"Marlena Maria WIEWIÓRA-BŁACHUT - nr na liście 8";"Cezary Józef CZAPIGA - nr na liście 9";"Patrycja Joanna KULA - nr na liście 10";"Andrzej Grzegorz POLAŃSKI - nr na liście 11";"Jolanta Maria CIEŚLAR - nr na liście 12";"Ronald Antoni MICHNIK - nr na liście 13";"Grażyna Katarzyna STRZAŁKOWSKA - nr na liście 14";"Dawid Józef RUDNICKI - nr na liście 15";"Katarzyna Elżbieta ŚNIEŻEK - nr na liście 16";"Paweł Teodor WALICZEK - nr na liście 17";"Lista nr 5 - KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"Mirosława NYKIEL - nr na liście 1";"Małgorzata Anna PĘPEK - nr na liście 2";"Mirosław Tadeusz SUCHOŃ - nr na liście 3";"Andrzej Jan MOLIN - nr na liście 4";"Edyta Teresa GŁOMBEK - nr na liście 5";"Gabriela Maria LAZAREK - nr na liście 6";"Dariusz Stanisław MICHASIÓW - nr na liście 7";"Rafał Paweł RYPLEWICZ - nr na liście 8";"Łukasz Antoni GIERTLER - nr na liście 9";"Marcin Rafał ŚLĘK - nr na liście 10";"Ewa KASZOK - nr na liście 11";"Jerzy Marcin PIJANOWSKI - nr na liście 12";"Karolina Józefa KRZYŻAK - nr na liście 13";"Beata Anna ŁUKOWICZ - nr na liście 14";"Bogdan Tomasz DESOŃ - nr na liście 15";"Bronisław JAFERNIK - nr na liście 16";"Dorota Maria PIEGZIK-IZYDORCZYK - nr na liście 17";"Maciej Tadeusz TOMCZYKIEWICZ - nr na liście 18"
"5fb2-dce1-e54c-34a6-f5da-f9d1-99ad-04be";"240301";"27";"9";"miasto";"stały";"Szkoła Podstawowa nr 2 z Oddziałami Integracyjnymi, Fryderyka Chopina (wejście od ulicy Karola Szymanowskiego 9) 37, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"904";"849";"365";"539";"0";"9";"0";"0";"0";"0";"0";"0";"0";"539";"0";"0";"539";"6";"1";"5";"0";"533";"27";"6";"2";"8";"2";"1";"0";"0";"2";"2";"0";"1";"1";"0";"0";"0";"0";"0";"2";"190";"68";"7";"5";"1";"7";"1";"73";"2";"1";"6";"0";"9";"3";"3";"2";"2";"0";"0";"83";"32";"2";"3";"1";"24";"0";"3";"4";"0";"0";"0";"0";"0";"4";"7";"0";"0";"3";"51";"24";"3";"1";"6";"3";"0";"4";"1";"0";"2";"2";"0";"0";"2";"1";"0";"2";"182";"67";"18";"12";"33";"1";"35";"7";"0";"0";"0";"2";"2";"3";"2";"0";"0";"0";"0"
"ab6c-8b62-2729-f983-3b96-0732-a476-b234";"240301";"27";"10";"miasto";"stały";"Szkoła Podstawowa Nr 2 z Oddziałami Integracyjnymi, Fryderyka Chopina 37, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1157";"1222";"386";"771";"2";"3";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"9";"9";"0";"0";"762";"45";"14";"0";"9";"0";"6";"0";"0";"1";"4";"2";"2";"0";"0";"0";"1";"0";"0";"6";"261";"89";"12";"7";"2";"7";"2";"113";"2";"4";"8";"1";"8";"1";"2";"0";"1";"1";"1";"168";"53";"18";"7";"2";"53";"2";"10";"7";"2";"0";"2";"3";"0";"2";"4";"2";"0";"1";"53";"26";"2";"1";"9";"5";"0";"5";"0";"0";"2";"0";"0";"0";"1";"1";"1";"0";"235";"101";"23";"20";"37";"3";"42";"0";"0";"0";"3";"2";"1";"2";"0";"0";"0";"0";"1"
"54c9-5234-8e18-924d-23b1-8b2a-48b9-ff0c";"240301";"27";"11";"miasto";"stały";"Przedszkole Nr 20, św. Jerzego 4, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1466";"1576";"438";"1028";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1028";"0";"0";"1028";"7";"3";"4";"0";"1021";"82";"31";"0";"12";"6";"2";"0";"2";"5";"7";"5";"1";"0";"2";"0";"0";"0";"1";"8";"357";"124";"11";"11";"5";"15";"9";"150";"3";"4";"3";"1";"12";"1";"0";"6";"1";"0";"1";"216";"88";"14";"8";"4";"67";"5";"10";"6";"0";"3";"3";"1";"2";"0";"4";"1";"0";"0";"74";"34";"5";"2";"7";"4";"1";"7";"1";"1";"1";"1";"3";"1";"2";"1";"1";"2";"292";"113";"31";"39";"34";"4";"55";"3";"2";"1";"1";"2";"2";"1";"0";"0";"0";"0";"4"
"b04c-986b-3e53-b74a-5666-e8f9-1ca0-bca0";"240301";"27";"12";"miasto";"stały";"Szkoła Podstawowa nr 1, Jana Matejki 3, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"961";"1045";"357";"604";"5";"14";"0";"0";"0";"0";"0";"0";"0";"604";"0";"0";"604";"5";"5";"0";"0";"599";"54";"19";"3";"9";"0";"11";"1";"0";"1";"6";"1";"0";"0";"2";"0";"0";"0";"0";"1";"182";"52";"4";"10";"2";"0";"3";"94";"2";"1";"1";"1";"7";"0";"0";"1";"3";"0";"1";"69";"19";"10";"2";"0";"15";"1";"6";"3";"0";"0";"0";"1";"0";"3";"3";"1";"1";"4";"53";"28";"2";"3";"4";"0";"1";"8";"1";"0";"2";"0";"1";"0";"1";"1";"0";"1";"241";"86";"16";"35";"35";"2";"49";"3";"3";"1";"4";"1";"3";"0";"1";"0";"0";"0";"2"
"5137-01f2-33e9-8198-d68e-1ac9-2838-3d9d";"240301";"27";"13";"miasto";"stały";"Urząd Miejski w Cieszynie, Rynek 1, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"647";"703";"210";"437";"0";"35";"0";"0";"0";"0";"0";"0";"0";"437";"0";"0";"437";"5";"4";"1";"0";"432";"32";"11";"0";"3";"0";"5";"0";"1";"0";"1";"0";"1";"0";"3";"0";"0";"0";"0";"7";"123";"33";"7";"7";"2";"2";"0";"56";"2";"2";"1";"0";"0";"4";"2";"2";"0";"0";"3";"69";"21";"26";"0";"0";"11";"1";"4";"1";"0";"0";"1";"1";"0";"1";"2";"0";"0";"0";"45";"23";"3";"1";"3";"5";"1";"3";"1";"0";"0";"0";"3";"0";"0";"0";"0";"2";"163";"63";"15";"16";"38";"3";"19";"2";"1";"0";"1";"1";"0";"2";"1";"1";"0";"0";"0"
"9112-493e-1055-b076-03e6-1191-eb10-2781";"240301";"27";"14";"miasto";"stały";"Urząd Miejski w Cieszynie, Jana Kochanowskiego 14, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1561";"1647";"515";"1046";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1046";"0";"0";"1046";"12";"5";"7";"0";"1034";"76";"23";"3";"9";"2";"5";"0";"1";"3";"10";"3";"1";"1";"0";"0";"0";"3";"0";"12";"349";"108";"6";"15";"4";"9";"3";"177";"4";"6";"3";"0";"4";"4";"2";"3";"1";"0";"0";"187";"64";"31";"3";"1";"49";"4";"9";"5";"2";"0";"0";"1";"1";"4";"11";"1";"1";"0";"57";"28";"0";"1";"2";"1";"2";"14";"0";"0";"3";"0";"2";"1";"2";"0";"0";"1";"365";"106";"29";"49";"67";"3";"75";"6";"1";"0";"5";"4";"3";"0";"3";"0";"1";"2";"11"
"5d55-c5a6-90e6-82d2-961d-30c1-2737-9350";"240301";"27";"15";"miasto";"stały";"Szkoła Podstawowa nr 4, Plac Wolności 7A, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1297";"1397";"452";"845";"1";"6";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"11";"7";"4";"0";"834";"60";"15";"3";"12";"2";"3";"0";"3";"0";"9";"1";"0";"0";"2";"0";"1";"0";"1";"8";"292";"78";"4";"11";"1";"8";"3";"171";"0";"1";"4";"0";"5";"0";"0";"2";"2";"0";"2";"152";"43";"24";"6";"2";"30";"3";"7";"9";"0";"2";"2";"2";"1";"1";"12";"6";"1";"1";"58";"29";"2";"1";"4";"3";"1";"10";"0";"2";"1";"1";"1";"1";"1";"0";"1";"0";"272";"100";"20";"18";"54";"0";"60";"9";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"c217-6b40-2843-83ac-2ac5-daab-a85e-61c3";"240301";"27";"16";"miasto";"stały";"Szkolne Schronisko Młodzieżowe, Błogocka 24, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1550";"1643";"531";"1019";"1";"7";"1";"1";"0";"0";"0";"0";"1";"1020";"1";"0";"1020";"8";"3";"5";"0";"1012";"65";"13";"0";"8";"0";"8";"1";"6";"0";"1";"4";"1";"0";"0";"0";"1";"0";"2";"20";"299";"87";"7";"8";"2";"7";"2";"156";"4";"2";"6";"1";"6";"3";"0";"2";"1";"0";"5";"199";"83";"21";"4";"5";"46";"0";"11";"7";"1";"1";"1";"4";"0";"2";"5";"5";"1";"2";"82";"40";"5";"2";"6";"3";"1";"9";"1";"0";"4";"0";"4";"2";"1";"1";"0";"3";"367";"109";"37";"57";"71";"1";"57";"17";"2";"1";"3";"4";"2";"3";"1";"0";"0";"0";"2"
"f8fd-4e5b-5542-c979-634f-ba4b-a7a4-4d97";"240301";"27";"17";"miasto";"stały";"Żłobki Miejskie Oddział Nr 1, ks. Jerzego Trzanowskiego 2, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1469";"1507";"613";"856";"0";"3";"0";"0";"0";"0";"0";"0";"0";"856";"0";"0";"856";"13";"10";"3";"0";"843";"68";"20";"4";"6";"1";"1";"0";"4";"1";"1";"5";"0";"0";"2";"0";"1";"2";"0";"20";"316";"71";"5";"21";"2";"7";"7";"179";"1";"2";"2";"0";"6";"4";"2";"1";"1";"1";"4";"153";"63";"9";"4";"3";"34";"1";"10";"17";"1";"1";"2";"2";"0";"3";"1";"1";"0";"1";"68";"25";"6";"2";"6";"7";"0";"15";"2";"1";"0";"0";"2";"0";"1";"0";"1";"0";"238";"83";"19";"47";"37";"3";"37";"1";"1";"1";"0";"1";"0";"2";"0";"0";"0";"1";"5"
"76b4-6f2c-8df4-3c71-a651-bca8-915d-77d3";"240301";"27";"18";"miasto";"stały";"Spółdzielnia Mieszkaniowa ""Cieszynianka"", Zofii Kossak-Szatkowskiej 6, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1900";"1806";"644";"1256";"0";"7";"0";"0";"0";"0";"0";"0";"0";"1256";"0";"0";"1256";"8";"3";"5";"0";"1248";"55";"10";"0";"11";"1";"6";"1";"0";"1";"4";"6";"1";"0";"0";"1";"0";"0";"1";"12";"439";"102";"11";"13";"1";"4";"5";"258";"2";"7";"6";"2";"12";"2";"2";"3";"5";"0";"4";"274";"96";"33";"5";"3";"80";"6";"14";"14";"0";"1";"1";"3";"1";"4";"4";"3";"1";"5";"65";"29";"4";"5";"6";"2";"0";"8";"0";"0";"3";"1";"3";"1";"1";"0";"2";"0";"415";"125";"42";"26";"77";"1";"107";"8";"2";"4";"6";"2";"5";"2";"3";"0";"0";"2";"3"
"d9b8-d320-3664-8812-d8bb-5efe-fb07-c21c";"240301";"27";"19";"miasto";"stały";"Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Janusza Korczaka, Generała Józefa Hallera 8, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1008";"1077";"273";"735";"1";"5";"1";"1";"0";"0";"0";"0";"1";"736";"1";"0";"736";"6";"2";"4";"0";"730";"58";"9";"0";"13";"0";"13";"1";"0";"2";"2";"0";"1";"1";"0";"0";"1";"0";"1";"14";"254";"50";"5";"10";"1";"8";"1";"166";"1";"2";"3";"1";"0";"2";"0";"2";"1";"1";"0";"160";"54";"17";"1";"3";"51";"2";"8";"9";"0";"0";"0";"3";"1";"2";"5";"3";"0";"1";"38";"14";"6";"3";"2";"1";"0";"7";"1";"1";"1";"2";"0";"0";"0";"0";"0";"0";"220";"73";"24";"19";"49";"5";"35";"3";"0";"1";"0";"2";"7";"1";"0";"0";"0";"0";"1"
"d5c4-c126-de5c-0060-9aaa-e28b-b80e-8d97";"240301";"27";"20";"miasto";"stały";"Ochotnicza Straż Pożarna, Generała Józefa Hallera 161, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"1774";"1683";"557";"1217";"1";"6";"0";"0";"0";"0";"0";"0";"0";"1217";"0";"0";"1217";"4";"2";"2";"0";"1213";"98";"20";"0";"6";"1";"3";"2";"1";"2";"6";"2";"0";"0";"4";"0";"1";"1";"2";"47";"353";"83";"9";"11";"4";"4";"2";"207";"1";"3";"7";"1";"12";"3";"1";"2";"2";"0";"1";"173";"60";"18";"2";"2";"52";"1";"7";"9";"2";"2";"2";"1";"2";"4";"2";"1";"2";"4";"84";"50";"2";"6";"3";"7";"2";"7";"0";"1";"2";"1";"0";"1";"1";"0";"0";"1";"505";"155";"59";"53";"124";"4";"72";"10";"3";"2";"9";"2";"2";"2";"1";"0";"0";"3";"4"
"73cd-3f8f-cbdf-c47e-c315-0fac-20c2-264b";"240301";"27";"21";"miasto";"zakład leczniczy";"Szpital Śląski, Bielska 4, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"552";"349";"454";"98";"0";"6";"0";"0";"0";"0";"0";"0";"0";"98";"0";"0";"98";"1";"1";"0";"0";"97";"8";"3";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"48";"19";"5";"3";"2";"2";"1";"6";"1";"0";"1";"0";"6";"1";"0";"1";"0";"0";"0";"15";"5";"3";"1";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"7";"4";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"19";"6";"0";"2";"5";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
"42d2-bd6c-fc6a-2a37-b960-525b-b99b-c1fe";"240301";"27";"22";"miasto";"dom pomocy społecznej";"Powiatowy Dom Pomocy Społecznej ""Pogodna Jesień"", Wojciecha Korfantego 1, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"154";"62";"123";"31";"0";"0";"0";"0";"0";"0";"0";"0";"0";"31";"0";"0";"31";"2";"2";"0";"0";"29";"4";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"21";"8";"2";"1";"1";"2";"0";"4";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"d893-3138-318f-5643-77d9-de40-f73a-b871";"240301";"27";"23";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Betania"", Katowicka 1, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"355";"137";"318";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"37";"0";"0";"37";"0";"0";"0";"0";"37";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"34";"5";"1";"0";"0";"0";"0";"28";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"70aa-bf69-405f-1fba-6d1d-9a78-5cfd-d1f9";"240301";"27";"24";"miasto";"dom pomocy społecznej";"Dom Spokojnej Starości, Adama Mickiewicza 13, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"153";"53";"127";"26";"0";"0";"0";"0";"0";"0";"0";"0";"0";"26";"0";"0";"26";"2";"1";"1";"0";"24";"4";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"17";"3";"1";"2";"0";"0";"0";"9";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8f48-9198-b397-fc12-6fd1-3f6e-f926-aa97";"240301";"27";"25";"miasto";"zakład karny";"Zakład Karny, Bolesława Chrobrego 2, 43-400 Cieszyn";"m. Cieszyn";"cieszyński";"śląskie";"562";"319";"402";"160";"0";"0";"0";"0";"0";"0";"0";"0";"0";"160";"0";"0";"160";"9";"6";"3";"0";"151";"11";"3";"0";"0";"3";"1";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"53";"17";"1";"2";"1";"8";"2";"0";"2";"5";"0";"0";"5";"1";"4";"0";"3";"0";"2";"22";"6";"4";"0";"2";"1";"0";"3";"1";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"13";"3";"0";"1";"2";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"1";"2";"52";"22";"8";"2";"0";"3";"3";"2";"0";"2";"2";"2";"1";"1";"3";"0";"0";"0";"1"
"5b80-7150-b276-86ef-5e9f-202a-7a12-837b";"240302";"27";"1";"miasto";"stały";"Szkoła Podstawowa Nr 3, Ustroń, Polana ul. Polańska 25, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1054";"1172";"373";"681";"2";"48";"0";"0";"0";"0";"0";"0";"0";"681";"0";"0";"681";"6";"3";"3";"0";"675";"45";"21";"1";"7";"1";"1";"0";"1";"1";"1";"3";"0";"3";"2";"0";"0";"0";"0";"3";"185";"101";"15";"12";"4";"4";"12";"11";"1";"4";"4";"0";"12";"0";"0";"0";"1";"1";"3";"134";"53";"6";"8";"0";"27";"4";"7";"3";"0";"0";"1";"6";"0";"0";"18";"0";"1";"0";"41";"13";"2";"1";"4";"1";"0";"8";"0";"0";"0";"2";"7";"0";"1";"0";"1";"1";"270";"90";"28";"21";"105";"1";"10";"2";"0";"0";"0";"2";"4";"1";"0";"0";"0";"1";"5"
"e749-bcb2-cabe-5a77-2e4f-ddf0-8aeb-8066";"240302";"27";"2";"miasto";"stały";"Państwowe Gospodarstwo Leśne Lasy Państwowe Nadleśnictwo, Ustroń, Poniwiec ul. 3 Maja 108, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"703";"745";"248";"455";"0";"14";"0";"0";"0";"0";"0";"0";"0";"455";"0";"0";"455";"0";"0";"0";"0";"455";"36";"11";"1";"7";"1";"0";"1";"1";"1";"1";"3";"0";"0";"2";"0";"0";"0";"1";"6";"79";"40";"6";"5";"3";"5";"0";"10";"2";"1";"1";"0";"2";"2";"0";"0";"1";"0";"1";"94";"37";"6";"4";"0";"10";"2";"5";"3";"0";"2";"3";"2";"1";"1";"16";"0";"2";"0";"29";"14";"1";"3";"2";"0";"0";"5";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"217";"74";"20";"21";"73";"1";"14";"5";"2";"0";"0";"0";"2";"1";"1";"0";"0";"3";"0"
"a1f4-d392-bc41-dc4e-e5c0-9172-0bbb-24c6";"240302";"27";"3";"miasto";"stały";"Przedszkole Nr 7, ul. K. I. Gałczyńskiego 16, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1853";"1990";"572";"1281";"8";"18";"2";"2";"0";"0";"0";"0";"2";"1283";"2";"0";"1283";"10";"1";"9";"0";"1273";"61";"11";"2";"29";"0";"0";"0";"1";"1";"2";"5";"0";"0";"1";"1";"2";"1";"3";"2";"408";"183";"32";"22";"4";"32";"0";"90";"5";"3";"9";"1";"13";"2";"3";"5";"1";"0";"3";"265";"89";"18";"6";"0";"33";"2";"5";"4";"1";"3";"3";"2";"0";"2";"91";"2";"2";"2";"78";"29";"3";"3";"5";"6";"0";"15";"2";"0";"2";"3";"6";"0";"2";"0";"0";"2";"461";"131";"61";"41";"178";"8";"19";"3";"1";"1";"5";"5";"2";"0";"0";"0";"0";"0";"6"
"f22b-4662-5cc5-045f-aba5-fcdb-3564-da2c";"240302";"27";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Partyzantów 2, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1354";"1435";"369";"985";"6";"198";"0";"0";"0";"0";"0";"0";"0";"984";"0";"0";"984";"5";"0";"5";"0";"979";"56";"19";"5";"9";"4";"0";"2";"0";"0";"0";"6";"1";"0";"1";"0";"0";"0";"0";"9";"303";"155";"22";"14";"6";"15";"1";"44";"4";"10";"2";"1";"16";"1";"3";"1";"0";"1";"7";"212";"101";"15";"4";"0";"21";"3";"8";"9";"0";"1";"1";"2";"1";"0";"39";"2";"1";"4";"58";"25";"4";"4";"0";"2";"0";"6";"3";"2";"1";"0";"5";"0";"1";"1";"0";"4";"350";"148";"49";"14";"95";"2";"9";"13";"1";"2";"3";"2";"2";"2";"2";"0";"0";"0";"6"
"8076-7bb7-2a0a-5099-e02c-4d37-7b53-025f";"240302";"27";"5";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Ignacego Daszyńskiego 31, 43-450 Ustroń";"m. Ustroń";"cieszyński";"śląskie";"1904";"2091";"557";"1347";"4";"86";"0";"0";"0";"0";"0";"0";"0";"1347";"0";"0";"1347";"13";"7";"6";"0";"1334";"74";"23";"2";"19";"1";"2";"0";"2";"1";"6";"7";"0";"1";"1";"0";"1";"0";"2";"6";"369";"146";"33";"10";"6";"15";"5";"80";"5";"7";"9";"1";"28";"2";"4";"6";"1";"3";"8";"246";"70";"16";"2";"5";"44";"6";"8";"1";"0";"4";"2";"4";"1";"4";"71";"2";"3";"3";"118";"59";"4";"1";"1";"1";"1";"17";"2";"1";"0";"1";"7";"2";"11";"2";"5";"3";"527";"154";"54";"40";"199";"8";"29";"4";"7";"2";"3";"5";"3";"2";"2";"2";"0";"0";"13"
