"Numer okręgu";"Nazwa";"Frekwencja";"% głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów z różnych list";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok nazwiska kandydata na liście której rejestracja została unieważniona";"% głosów ważnych";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI - ZPOW-601-6/19";"KOMITET WYBORCZY AKCJA ZAWIEDZIONYCH EMERYTÓW RENCISTÓW - ZPOW-601-21/19";"KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ - ZPOW-601-5/19";"KOMITET WYBORCZY POLSKIE STRONNICTWO LUDOWE - ZPOW-601-19/19";"KOMITET WYBORCZY PRAWICA - ZPOW-601-20/19";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ - ZPOW-601-9/19";"KOMITET WYBORCZY SKUTECZNI PIOTRA LIROYA-MARCA - ZPOW-601-17/19";"KOMITET WYBORCZY SOJUSZ LEWICY DEMOKRATYCZNEJ - ZPOW-601-1/19";"KOMITET WYBORCZY WYBORCÓW KOALICJA BEZPARTYJNI I SAMORZĄDOWCY - ZPOW-601-10/19";"KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA - ZPOW-601-15/19"
"28";"Okręg Wyborczy Nr 28";"61,22";"1,13";"65,67";"34,33";"0,00";"98,87";"22,63";"";"6,07";"8,68";"";"44,28";"";"15,59";"2,75";""
"29";"Okręg Wyborczy Nr 29";"59,18";"1,06";"57,03";"42,97";"0,00";"98,94";"32,61";"";"7,67";"5,99";"";"37,75";"";"13,38";"2,61";""
"30";"Okręg Wyborczy Nr 30";"60,41";"0,98";"57,71";"42,29";"0,00";"99,02";"27,71";"";"7,17";"5,64";"";"48,28";"";"9,68";"1,54";""
"31";"Okręg Wyborczy Nr 31";"64,00";"0,95";"56,04";"43,96";"0,00";"99,05";"37,20";"";"7,33";"4,37";"";"39,19";"";"11,92";"";""
"32";"Okręg Wyborczy Nr 32";"62,99";"0,90";"61,58";"38,42";"0,00";"99,10";"29,66";"";"6,45";"4,85";"";"37,13";"";"21,90";"";""
"33";"Okręg Wyborczy Nr 33";"57,70";"1,11";"62,90";"37,10";"0,00";"98,89";"16,65";"";"5,95";"9,88";"";"55,18";"1,45";"9,95";"0,95";""
"34";"Okręg Wyborczy Nr 34";"52,71";"1,78";"71,87";"28,13";"0,00";"98,22";"28,43";"";"5,66";"10,89";"";"40,86";"";"11,64";"2,52";""
"35";"Okręg Wyborczy Nr 35";"54,32";"1,47";"62,53";"37,47";"0,00";"98,53";"26,46";"";"6,97";"13,19";"";"38,82";"0,71";"13,84";"";""
"36";"Okręg Wyborczy Nr 36";"59,67";"1,61";"66,65";"33,35";"0,00";"98,39";"24,72";"";"6,57";"12,80";"";"42,48";"";"13,43";"";""
"37";"Okręg Wyborczy Nr 37";"59,08";"1,50";"70,20";"29,80";"0,00";"98,50";"20,48";"0,64";"6,74";"9,81";"";"47,29";"";"15,04";"";""
"38";"Okręg Wyborczy Nr 38";"59,11";"1,76";"70,77";"29,23";"0,00";"98,24";"30,60";"";"6,62";"13,86";"";"35,64";"";"13,28";"";""
"39";"Okręg Wyborczy Nr 39";"73,13";"0,80";"56,37";"43,63";"0,00";"99,20";"45,38";"";"6,61";"6,20";"";"25,33";"";"16,49";"";""
"40";"Okręg Wyborczy Nr 40";"55,46";"1,78";"70,61";"29,39";"0,00";"98,22";"32,31";"";"5,98";"9,43";"";"36,83";"";"15,44";"";""
"41";"Okręg Wyborczy Nr 41";"59,36";"1,22";"63,89";"36,11";"0,00";"98,78";"35,71";"";"6,53";"7,40";"";"35,11";"";"15,25";"";""
