"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Alicja Paulina CHYBICKA";"Marcin Rafał KRZYŻANOWSKI"
"cd05-4fde-aea0-a7d9-fc8d-16e3-a9e6-c830";"026401";"7";"17";"miasto";"stały";"Szkoła Podstawowa nr 68, ul. Szczęśliwa 28, 53-446 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1787";"474";"1125";"3";"13";"0";"0";"0";"0";"0";"0";"0";"1125";"0";"0";"1125";"35";"6";"29";"0";"1090";"697";"393"
"1bc5-7db7-b6eb-0489-aa19-b01a-9714-eeba";"026401";"7";"18";"miasto";"stały";"Szkoła Podstawowa nr 68, ul. Szczęśliwa 28, 53-446 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1516";"280";"1019";"2";"19";"0";"0";"0";"0";"0";"0";"0";"1019";"0";"0";"1019";"16";"5";"11";"0";"1003";"641";"362"
"fd7f-fef2-43b3-4a8c-e782-4c3f-2a1a-f6bf";"026401";"7";"19";"miasto";"stały";"Liceum Ogólnokształcące nr VII, ul. Jemiołowa 57, 53-426 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1474";"367";"933";"2";"25";"0";"0";"0";"0";"0";"0";"0";"933";"0";"0";"933";"35";"19";"16";"0";"898";"553";"345"
"4895-1319-2979-9b29-4265-d1b3-cb99-72a2";"026401";"7";"20";"miasto";"stały";"Szkoła Podstawowa nr 43 z Oddziałami Integracyjnymi, ul. Grochowa 36 - 38, 53-424 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1844";"336";"1264";"0";"51";"0";"0";"0";"0";"0";"0";"0";"1264";"0";"0";"1264";"37";"5";"32";"0";"1227";"732";"495"
"895b-56f8-df16-c26d-8d49-3e2c-9a07-6257";"026401";"7";"21";"miasto";"stały";"Szkoła Podstawowa nr 43 z Oddziałami Integracyjnymi, ul. Grochowa 36 - 38, 53-424 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1782";"375";"1226";"4";"15";"0";"0";"0";"0";"0";"0";"0";"1223";"0";"2";"1221";"41";"5";"36";"0";"1180";"680";"500"
"746c-d969-c19c-5ba1-71a9-5b90-7b7a-e7c4";"026401";"7";"22";"miasto";"stały";"Liceum Ogólnokształcące nr VII, ul. Jemiołowa 57, 53-426 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1768";"384";"1216";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1216";"0";"0";"1216";"33";"22";"11";"0";"1183";"798";"385"
"581e-7a8a-8f20-52b3-2b73-ab72-5c22-be0c";"026401";"7";"23";"miasto";"stały";"Liceum Ogólnokształcące nr VII, ul. Jemiołowa 57, 53-426 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1203";"312";"788";"6";"14";"0";"0";"0";"0";"0";"0";"0";"788";"0";"0";"788";"29";"13";"16";"0";"759";"463";"296"
"5680-704d-caf1-af8a-fea0-5484-9e50-9add";"026401";"7";"24";"miasto";"stały";"Szkoła Podstawowa nr 43 z Oddziałami Integracyjnymi, ul. Grochowa 36 - 38, 53-424 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2196";"238";"1562";"3";"28";"0";"0";"0";"0";"0";"0";"0";"1562";"0";"0";"1562";"55";"10";"45";"0";"1507";"1030";"477"
"8a47-3758-d578-8efd-3411-2e12-7135-9315";"026401";"7";"25";"miasto";"stały";"Przedszkole nr 141, al. Generała Józefa Hallera 77A, 53-325 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1700";"1861";"426";"1273";"1";"14";"0";"0";"0";"0";"0";"0";"0";"1273";"0";"0";"1273";"41";"4";"37";"0";"1232";"840";"392"
"d2b5-be38-d1eb-b8c8-47a4-849f-190a-d21a";"026401";"7";"26";"miasto";"stały";"Liceum Ogólnokształcące nr VII, ul. Krucza 49, 53-410 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1531";"272";"1028";"2";"26";"0";"0";"0";"0";"0";"0";"0";"1027";"0";"0";"1027";"39";"17";"22";"0";"988";"653";"335"
"a64e-a5c0-f4af-a3d7-ec2f-6bf2-77b1-2282";"026401";"7";"27";"miasto";"stały";"Liceum Ogólnokształcące nr VII, ul. Krucza 49, 53-410 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1598";"1863";"250";"1348";"4";"25";"1";"1";"0";"0";"0";"0";"1";"1349";"1";"1";"1348";"44";"15";"29";"0";"1304";"940";"364"
"c12d-89d8-2e58-a5a0-f36b-d186-7057-7bc2";"026401";"7";"28";"miasto";"stały";"Szkoła Podstawowa nr 109, al. Pracy 24, 53-232 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1496";"309";"989";"2";"22";"0";"0";"0";"0";"0";"0";"0";"990";"0";"1";"989";"26";"12";"14";"0";"963";"593";"370"
"9404-b5ed-76f3-fd1b-c00d-c894-9874-58a6";"026401";"7";"29";"miasto";"stały";"Szkoła Podstawowa nr 109, ul. Inżynierska 54, 53-230 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1711";"256";"1244";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"35";"10";"25";"0";"1209";"772";"437"
"ec75-d090-256f-3906-2ceb-3404-2d29-e540";"026401";"7";"30";"miasto";"stały";"Szkoła Podstawowa nr 109, ul. Inżynierska 54, 53-230 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"1901";"236";"1363";"0";"21";"0";"0";"0";"0";"0";"0";"0";"1363";"0";"0";"1363";"51";"22";"29";"0";"1312";"820";"492"
"e326-7ca5-71d3-d529-c5f9-18b5-cb75-94bc";"026401";"7";"31";"miasto";"stały";"Zespół Szkół Budowlanych, ul. Grabiszyńska 236, 53-235 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1842";"346";"1253";"1";"35";"0";"0";"0";"0";"0";"0";"0";"1253";"0";"0";"1253";"33";"5";"28";"0";"1220";"761";"459"
"c18f-12df-9780-7cc7-6037-3c51-9850-f732";"026401";"7";"32";"miasto";"stały";"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1800";"2059";"178";"1622";"2";"29";"1";"1";"0";"0";"0";"0";"1";"1615";"1";"0";"1615";"38";"14";"24";"0";"1577";"1236";"341"
"816a-c2a4-1ec2-3f9f-d769-2fee-640d-e404";"026401";"7";"33";"miasto";"stały";"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"2150";"2322";"230";"1920";"1";"25";"1";"1";"0";"0";"0";"0";"1";"1921";"1";"0";"1921";"49";"18";"31";"0";"1872";"1524";"348"
"b541-7064-cb66-3f01-589d-a205-0329-2d4c";"026401";"7";"69";"miasto";"stały";"Rada Osiedla Plac Grunwaldzki, ul. Mikołaja Sępa-Szarzyńskiego 51, 50-351 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1872";"404";"1196";"7";"35";"0";"0";"0";"0";"0";"0";"0";"1196";"0";"0";"1196";"24";"10";"14";"0";"1172";"690";"482"
"66f3-aec3-7c2d-dc60-b2a8-a43a-9f46-de99";"026401";"7";"70";"miasto";"stały";"Zespół Szkół nr 8, ul. Mikołaja Reja 3, 50-354 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1497";"1886";"185";"1312";"1";"66";"1";"1";"0";"0";"0";"0";"1";"1309";"1";"0";"1309";"52";"18";"34";"0";"1257";"811";"446"
"234c-2edb-ab92-c7ce-2dd2-0950-1738-fd87";"026401";"7";"71";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1599";"2058";"135";"1461";"1";"47";"1";"1";"0";"0";"0";"0";"1";"1464";"1";"1";"1463";"61";"13";"48";"0";"1402";"947";"455"
"65a0-64a9-462d-54c1-bab1-7097-6151-34d0";"026401";"7";"72";"miasto";"stały";"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1900";"238";"1362";"3";"46";"0";"0";"0";"0";"0";"0";"0";"1362";"0";"0";"1362";"40";"8";"32";"0";"1322";"936";"386"
"11f4-5a80-ffc7-6149-effd-8474-0e8e-3306";"026401";"7";"73";"miasto";"stały";"Dom Studencki ""Parawanowiec"", pl. Grunwaldzki 28, 50-363 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1399";"1687";"221";"1178";"2";"50";"0";"0";"0";"0";"0";"0";"0";"1178";"0";"0";"1178";"46";"15";"31";"0";"1132";"764";"368"
"0800-9b03-42c9-7676-5bf7-c01c-7f2a-4164";"026401";"7";"74";"miasto";"stały";"Dom Studencki ""Dwudziestolatka"", ul. Piastowska 1, 50-359 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1498";"1820";"328";"1170";"0";"44";"0";"0";"0";"0";"0";"0";"0";"1170";"0";"0";"1170";"41";"11";"30";"0";"1129";"699";"430"
"2308-9d7d-1a49-26db-25d2-9376-f0d7-8521";"026401";"7";"75";"miasto";"stały";"Szkoła Podstawowa nr 36, ul. Fryderyka Chopina 9B, 51-609 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1399";"1477";"244";"1155";"1";"26";"2";"2";"0";"0";"0";"0";"2";"1157";"2";"0";"1157";"28";"10";"18";"0";"1129";"786";"343"
"173b-1e85-ec2d-d908-4583-c47d-8ef3-50f9";"026401";"7";"76";"miasto";"stały";"Szkoła Podstawowa nr 36, ul. Fryderyka Chopina 9B, 51-609 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"950";"1066";"112";"838";"1";"20";"0";"0";"0";"0";"0";"0";"0";"838";"0";"0";"838";"27";"9";"18";"0";"811";"593";"218"
"be3e-597b-ce55-58d5-9997-87c3-4abf-9e2a";"026401";"7";"77";"miasto";"stały";"Liceum Ogólnokształcące nr II z Oddziałami Mistrzostwa Sportowego, ul. Parkowa 18 - 26, 51-616 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"600";"644";"139";"461";"0";"0";"0";"0";"0";"0";"0";"0";"0";"460";"0";"2";"458";"11";"3";"8";"0";"447";"335";"112"
"0c76-d6e7-c0de-4988-9e63-58bf-4bbb-fccc";"026401";"7";"78";"miasto";"stały";"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1600";"1777";"217";"1383";"1";"31";"0";"0";"0";"0";"0";"0";"0";"1383";"0";"0";"1383";"45";"11";"34";"0";"1338";"962";"376"
"0cf4-f917-e90d-8314-4b1e-004f-0143-bfdd";"026401";"7";"79";"miasto";"stały";"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1401";"1532";"297";"1104";"1";"12";"2";"2";"0";"0";"0";"0";"2";"1106";"2";"0";"1106";"18";"6";"12";"0";"1088";"797";"291"
"66d6-3c54-56bc-e3da-7c49-fba8-3200-8b2f";"026401";"7";"80";"miasto";"stały";"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1414";"297";"1003";"4";"9";"0";"0";"0";"0";"0";"0";"0";"1003";"0";"0";"1003";"32";"12";"20";"0";"971";"664";"307"
"2158-6010-03a0-3713-6fd1-d569-ee99-256b";"026401";"7";"81";"miasto";"stały";"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1605";"1764";"315";"1290";"3";"12";"0";"0";"0";"0";"0";"0";"0";"1290";"0";"0";"1290";"44";"13";"31";"0";"1246";"871";"375"
"832e-9ba1-b15b-ed93-4e4f-4680-ba78-7b55";"026401";"7";"82";"miasto";"stały";"Dom Studencki ""Arka"", ul. Karola Olszewskiego 25, 51-642 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1900";"2363";"57";"1843";"10";"47";"3";"3";"0";"0";"0";"0";"3";"1846";"3";"0";"1846";"69";"20";"49";"0";"1777";"1273";"504"
"8f17-3c8c-a134-d655-ce84-a120-58c4-9ea3";"026401";"7";"83";"miasto";"stały";"Dom Studencki ""Arka"", ul. Karola Olszewskiego 25, 51-642 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1798";"2156";"119";"1679";"1";"91";"1";"1";"0";"0";"0";"0";"1";"1680";"1";"0";"1680";"46";"11";"35";"0";"1634";"1150";"484"
"0cc6-8279-e87a-dcff-e94b-743b-6af7-76d2";"026401";"7";"84";"miasto";"stały";"Liceum Ogólnokształcące nr XI, ul. Spółdzielcza 2A, 51-662 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1097";"1240";"201";"896";"3";"22";"0";"0";"0";"0";"0";"0";"0";"896";"0";"0";"896";"27";"4";"23";"0";"869";"623";"246"
"2e67-be97-f5a8-c187-102c-e292-ccc0-daeb";"026401";"7";"85";"miasto";"stały";"Szkoła Podstawowa nr 91, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1799";"2088";"159";"1640";"0";"39";"1";"1";"0";"0";"0";"0";"1";"1641";"1";"0";"1641";"49";"11";"38";"0";"1592";"1077";"515"
"cdf6-b7b9-dd00-efe4-2b04-21c7-9aa8-2029";"026401";"7";"86";"miasto";"stały";"Szkoła Podstawowa nr 91, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1395";"1577";"211";"1184";"6";"21";"0";"0";"0";"0";"0";"0";"0";"1184";"0";"0";"1184";"30";"20";"10";"0";"1154";"781";"373"
"64f2-f897-e7ba-fe15-d0e6-7e7a-ebe8-d108";"026401";"7";"87";"miasto";"stały";"Rada Osiedla Biskupin-Sępolno-Dąbie-Bartoszowice, ul. Fryderyka Pautscha 4, 51-651 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1382";"160";"1040";"3";"14";"0";"0";"0";"0";"0";"0";"0";"1040";"0";"0";"1040";"29";"10";"19";"0";"1011";"756";"255"
"077f-065d-1773-e211-b884-baa6-1f94-99fe";"026401";"7";"88";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 72, ul. Trwała 17 - 19, 53-335 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1770";"200";"1300";"3";"28";"0";"0";"0";"0";"0";"0";"0";"1299";"0";"0";"1299";"48";"4";"44";"0";"1251";"813";"438"
"9e2d-02b5-673c-d053-dd28-767c-d5bc-db38";"026401";"7";"89";"miasto";"stały";"Technikum nr 18, ul. Ślężna 2 - 24, 53-302 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1701";"222";"1278";"2";"45";"1";"1";"0";"0";"0";"0";"1";"1279";"1";"0";"1279";"42";"10";"32";"0";"1237";"794";"443"
"22cc-ed44-3b28-a329-e085-db02-9dcb-d499";"026401";"7";"90";"miasto";"stały";"Technikum nr 18, ul. Ślężna 2 - 24, 53-302 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1300";"1521";"232";"1068";"3";"24";"2";"2";"0";"0";"0";"0";"2";"1070";"2";"0";"1070";"26";"6";"20";"0";"1044";"659";"385"
"78e9-f5d4-ddb1-021d-4a2e-3d58-17d4-c878";"026401";"7";"91";"miasto";"stały";"Szkoła Podstawowa nr 30, ul. Zaporoska 28, 53-523 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1699";"1881";"276";"1423";"1";"24";"0";"0";"0";"0";"0";"0";"0";"1423";"0";"0";"1423";"31";"15";"16";"0";"1392";"953";"439"
"47e3-067a-d861-e434-b61a-5a8a-c76e-2735";"026401";"7";"92";"miasto";"stały";"Centrum Kształcenia Ustawicznego Budynek-C, ul. Swobodna 73, 50-089 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1597";"1854";"214";"1383";"3";"31";"1";"1";"0";"0";"0";"0";"1";"1384";"1";"0";"1384";"25";"4";"21";"0";"1359";"854";"505"
"db28-d493-72e9-75f0-a123-925c-77bb-e171";"026401";"7";"93";"miasto";"stały";"Centrum Kształcenia Ustawicznego Budynek-B, ul. Swobodna 73, 50-089 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1100";"1267";"231";"869";"1";"23";"0";"0";"0";"0";"0";"0";"0";"869";"0";"0";"869";"29";"6";"23";"0";"840";"538";"302"
"ed10-c9e3-c600-5119-e280-fe36-4a9d-3ef5";"026401";"7";"94";"miasto";"stały";"Sportowa Szkoła Podstawowa nr 72, ul. Trwała 17 - 19, 53-335 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1597";"1810";"246";"1353";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1353";"0";"0";"1353";"40";"9";"31";"0";"1313";"881";"432"
"22c3-3da9-6f42-dace-6837-fb02-c107-a2ff";"026401";"7";"95";"miasto";"stały";"Zespół Szkół Ekonomiczno-Ogólnokształcących, ul. Drukarska 50, 53-312 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1682";"234";"1266";"4";"29";"1";"1";"0";"0";"0";"0";"1";"1265";"1";"0";"1265";"34";"11";"23";"0";"1231";"786";"445"
"5cd1-6ff2-b18d-9311-01d6-4378-2a65-62c3";"026401";"7";"96";"miasto";"stały";"Zespół Szkół Ekonomiczno-Ogólnokształcących, ul. Drukarska 50, 53-312 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1500";"1622";"266";"1234";"4";"46";"0";"0";"0";"0";"0";"0";"0";"1234";"0";"0";"1234";"38";"10";"28";"0";"1196";"781";"415"
"22eb-4553-41fd-02a0-ac77-42c5-906b-efc4";"026401";"7";"97";"miasto";"stały";"Liceum Ogólnokształcące nr VIII, ul. Jantarowa 5, 53-330 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1464";"221";"979";"3";"16";"0";"0";"0";"0";"0";"0";"0";"979";"0";"0";"979";"23";"4";"19";"0";"956";"652";"304"
"6fc3-9afe-3871-4316-75d9-8781-564c-8487";"026401";"7";"98";"miasto";"stały";"Liceum Ogólnokształcące nr VIII, ul. Jantarowa 5, 53-330 Wrocław";"m. Wrocław";"Wrocław";"dolnośląskie";"1200";"1434";"216";"984";"2";"20";"0";"0";"0";"0";"0";"0";"0";"984";"0";"0";"984";"44";"10";"34";"0";"940";"621";"319"
