"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Michał Tomasz KAMIŃSKI";"Konstanty RADZIWIŁŁ"
"f088-593c-b7d2-d005-fd6f-67ac-bc90-1366";"140503";"41";"2";"wieś";"stały";"Gminne Przedszkole w Cegłowie, Cegłów 22B, 96-314 Baranów";"gm. Baranów";"grodziski";"mazowieckie";"529";"590";"151";"378";"0";"2";"0";"0";"0";"0";"0";"0";"0";"378";"0";"1";"377";"19";"2";"17";"0";"358";"136";"222"
"8d83-e295-3865-7a39-bc8d-e566-bae2-5d26";"140503";"41";"3";"wieś";"stały";"Szkoła Podstawowa w Bożej Woli, Boża Wola 1 Maja 13, 96-314 Baranów";"gm. Baranów";"grodziski";"mazowieckie";"740";"851";"140";"600";"1";"9";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"16";"11";"5";"0";"583";"247";"336"
"e0b1-a0ec-cef3-9004-ccbb-97e8-e59c-0536";"140503";"41";"4";"wieś";"stały";"Szkoła Podstawowa w Kaskach, Kaski Królewska 23, 96-314 Baranów";"gm. Baranów";"grodziski";"mazowieckie";"1251";"1388";"448";"803";"1";"4";"0";"0";"0";"0";"0";"0";"0";"802";"0";"0";"802";"28";"4";"24";"0";"774";"315";"459"
"1f5d-15e5-4f60-5256-a969-9ab3-782d-4f03";"140504";"41";"1";"miasto";"stały";"Szkoła Podstawowa Nr 4, ul. Zielony Rynek 2, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1169";"1325";"285";"884";"0";"6";"0";"0";"0";"0";"0";"0";"0";"884";"0";"0";"884";"29";"8";"21";"0";"855";"472";"383"
"95d8-d164-880c-1516-a13f-7d6a-555c-8b8c";"140504";"41";"2";"miasto";"stały";"Szkoła Podstawowa Nr 4, Grodzisk Mazowiecki, Łąki ul. Zielony Rynek 2, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1194";"1348";"291";"903";"0";"9";"0";"0";"0";"0";"0";"0";"0";"903";"0";"0";"903";"24";"14";"10";"0";"879";"492";"387"
"1047-f719-f424-c236-afca-4f66-b1d0-41e2";"140504";"41";"3";"miasto";"stały";"Centrum Kultury, wejścia A, ul. Spółdzielcza 9, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1642";"1837";"364";"1278";"0";"11";"0";"0";"0";"0";"0";"0";"0";"1278";"0";"0";"1278";"44";"20";"24";"0";"1234";"765";"469"
"03b2-fdc1-200d-b047-9262-44bb-7939-f02d";"140504";"41";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5, ul. L. Zondka 6, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1140";"1279";"351";"789";"2";"9";"0";"0";"0";"0";"0";"0";"0";"789";"0";"0";"789";"20";"8";"12";"0";"769";"445";"324"
"bd33-19c6-175f-ad65-03e5-dc77-d600-5d21";"140504";"41";"5";"miasto";"stały";"Zespół Szkół nr 2, ul. Kilińskiego 8c, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1116";"1235";"303";"813";"1";"6";"0";"0";"0";"0";"0";"0";"0";"813";"0";"0";"813";"18";"9";"9";"0";"795";"455";"340"
"da15-ad3f-1ee2-0841-e106-9baf-16cc-de06";"140504";"41";"6";"miasto";"stały";"ZGM, ul. Sportowa 29, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1385";"1525";"385";"1000";"2";"4";"0";"0";"0";"0";"0";"0";"0";"999";"0";"0";"999";"39";"18";"21";"0";"960";"537";"423"
"674b-d380-e1d5-f317-a343-1062-248f-e97b";"140504";"41";"7";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Bartniaka 13a, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1211";"1311";"336";"875";"5";"2";"0";"0";"0";"0";"0";"0";"0";"875";"0";"0";"875";"39";"10";"29";"0";"836";"508";"328"
"30de-001d-417d-cf3c-485f-e13b-f516-8edc";"140504";"41";"8";"miasto";"stały";"Szkoła Podstawowa nr 6, ul. Sportowa 31, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1936";"2199";"350";"1586";"1";"5";"0";"0";"0";"0";"0";"0";"0";"1582";"0";"0";"1582";"53";"15";"38";"0";"1529";"983";"546"
"786a-d24b-ac7f-81a5-70c0-8ba6-8df9-2907";"140504";"41";"9";"miasto";"stały";"Przedszkole nr 7, ul. Kopernika 15, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1466";"1618";"348";"1118";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1117";"0";"0";"1117";"38";"4";"34";"0";"1079";"621";"458"
"ea4e-0f75-d9e4-9e89-d19c-70c5-73d0-dd3d";"140504";"41";"10";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Westfala 3, 05-827 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1420";"1601";"182";"1238";"2";"14";"0";"0";"0";"0";"0";"0";"0";"1235";"0";"0";"1235";"30";"26";"4";"0";"1205";"769";"436"
"e38d-6c18-f2df-b44f-af54-99f5-ef3b-7f52";"140504";"41";"11";"miasto";"stały";"Biblioteka Publiczna Filia Nr 2 Pawilon Kultury, ul. Westfala 3, 05-827 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1407";"1566";"258";"1149";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1147";"0";"0";"1147";"30";"17";"13";"0";"1117";"716";"401"
"f02b-2644-64a9-1fbf-4a45-5144-b2b8-eadc";"140504";"41";"12";"miasto";"stały";"Szkoła Podstawowa Nr 2 (oddziały przedszkolne), ul. Westfala 3, 05-827 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1499";"1701";"193";"1306";"1";"12";"0";"0";"0";"0";"0";"0";"0";"1306";"0";"0";"1306";"46";"19";"27";"0";"1260";"811";"449"
"94a8-1d3e-4e87-f2f6-e859-1069-7931-700e";"140504";"41";"13";"miasto";"stały";"Przedszkole nr 4 (sala wielofunkcyjna), ul. Górna 12, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"2109";"2383";"225";"1884";"7";"11";"0";"0";"0";"0";"0";"0";"0";"1884";"0";"0";"1884";"47";"23";"24";"0";"1837";"1208";"629"
"e22e-26f9-33eb-9158-af5d-5c55-fdb5-2d7a";"140504";"41";"14";"miasto";"stały";"Przedszkole Nr 4 (sala zajęciowa), ul. Górna 12, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"2067";"2329";"335";"1732";"0";"12";"0";"0";"0";"0";"0";"0";"0";"1732";"0";"0";"1732";"44";"14";"30";"0";"1688";"1074";"614"
"662b-16b7-6245-6134-0a41-f3a4-720c-e39b";"140504";"41";"15";"wieś";"stały";"Świetlica Sołectwa w Natolinie, Natolin 31, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1270";"1422";"341";"929";"1";"7";"0";"0";"0";"0";"0";"0";"0";"929";"0";"0";"929";"20";"3";"17";"0";"909";"498";"411"
"0866-f277-28a8-e500-d7c3-a69a-8135-e183";"140504";"41";"16";"wieś";"stały";"Świetlica Sołectwa w Chlebni, Chlebnia 57B, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"958";"1053";"359";"599";"1";"1";"0";"0";"0";"0";"0";"0";"0";"599";"0";"0";"599";"15";"2";"13";"0";"584";"249";"335"
"7e0f-f698-213f-afda-2154-d0cd-8dfb-8507";"140504";"41";"17";"wieś";"stały";"Świetlica Sołectwa w Kozerkach, Kozerki ul. Marsa 37, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1228";"1371";"279";"949";"0";"6";"0";"0";"0";"0";"0";"0";"0";"949";"0";"0";"949";"15";"3";"12";"0";"934";"589";"345"
"12f9-1b84-7017-e34d-f8f3-90b2-6e77-698b";"140504";"41";"18";"wieś";"stały";"Szkoła Podstawowa w Adamowiźnie (świetlica), Adamowizna ul. Osowiecka 33, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1158";"1282";"308";"849";"0";"0";"0";"0";"0";"0";"0";"0";"0";"849";"0";"0";"849";"27";"8";"19";"0";"822";"500";"322"
"8f08-22da-aead-3c56-bffd-bfd4-8caf-c7d3";"140504";"41";"19";"miasto";"stały";"Szkoła Podstawowa w Adamowiźnie (sala gimnastyczna), Adamowizna ul. Osowiecka 33, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1250";"1394";"244";"1005";"1";"21";"0";"0";"0";"0";"0";"0";"0";"1005";"0";"0";"1005";"28";"10";"18";"0";"977";"646";"331"
"9652-5b5b-232f-547e-8073-6655-f873-8e27";"140504";"41";"20";"wieś";"stały";"Świetlica Sołectwa w Kadach, Kady ul. Środkowa 71, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1071";"1215";"141";"930";"0";"8";"0";"0";"0";"0";"0";"0";"0";"928";"0";"0";"928";"30";"5";"25";"0";"898";"558";"340"
"efb1-45fc-d418-d6b5-20f9-c09d-f3e4-c3b8";"140504";"41";"21";"wieś";"stały";"Szkoła Podstawowa w Książenicach, Książenice aleja E. Marylskiego 3, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1796";"1815";"419";"1377";"0";"14";"0";"0";"0";"0";"0";"0";"0";"1375";"0";"0";"1375";"49";"21";"28";"0";"1326";"936";"390"
"106c-3b2f-9238-1315-ec14-0149-2445-a7f5";"140504";"41";"22";"wieś";"stały";"Świetlica Sołectwa w Kraśniczej Woli, Kraśnicza Wola 27A, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1051";"1157";"315";"736";"0";"2";"0";"0";"0";"0";"0";"0";"0";"736";"0";"0";"736";"25";"15";"10";"0";"711";"359";"352"
"b6a9-7bb0-336f-ac91-f2a3-be69-fe84-660a";"140504";"41";"23";"wieś";"stały";"Świetlica Sołectwa we wsi Szczęsne, Szczęsne ul. Orla 51, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"1200";"1348";"216";"984";"1";"2";"0";"0";"0";"0";"0";"0";"0";"984";"0";"0";"984";"26";"6";"20";"0";"958";"566";"392"
"6fca-5247-3f7b-58aa-bc37-b395-7d47-c5aa";"140504";"41";"24";"miasto";"zakład leczniczy";"Szpital Zachodni w Grodzisku Mazowieckim, Daleka 11, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"399";"175";"341";"58";"0";"5";"0";"0";"0";"0";"0";"0";"0";"58";"0";"0";"58";"0";"0";"0";"0";"58";"40";"18"
"8ae3-2c3b-cb01-8d03-07b6-3274-b0bd-9be7";"140504";"41";"25";"miasto";"dom pomocy społecznej";"DPS w Izdebnie Kościelnym, Izdebno Kościelne ul. Ks. M. Oziębłowskiego 20, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"18";"16";"4";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"14";"0";"0";"0";"0";"14";"2";"12"
"7868-3ef3-1172-33e7-e4f0-779f-4730-b832";"140504";"41";"26";"miasto";"dom pomocy społecznej";"DPS Filia w Grodzisku Mazowieckim, 3 Maja 63, 05-825 Grodzisk Mazowiecki";"gm. Grodzisk Mazowiecki";"grodziski";"mazowieckie";"18";"18";"3";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"0";"0";"0";"0";"15";"2";"13"
"47f0-3323-c590-e447-19aa-77d9-aec7-8a12";"140505";"41";"1";"wieś";"stały";"Ochotnicza Straż Pożarna, ul. Warszawska 2, 96-313 Jaktorów";"gm. Jaktorów";"grodziski";"mazowieckie";"1480";"1651";"360";"1120";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1121";"0";"1";"1120";"41";"13";"28";"0";"1079";"547";"532"
"0152-5c54-d42e-f36c-c31f-2ccb-f863-d1c9";"140505";"41";"2";"wieś";"stały";"Gimnazjum, ul. Staszica 5, 96-316 Międzyborów";"gm. Jaktorów";"grodziski";"mazowieckie";"1560";"1729";"284";"1276";"3";"9";"0";"0";"0";"0";"0";"0";"0";"1276";"0";"1";"1275";"27";"7";"20";"0";"1248";"758";"490"
"c99d-c2d0-777c-1092-0270-408a-f121-75f7";"140505";"41";"3";"wieś";"stały";"Budy Zosine Nr 109 (była szkoła), Budy Zosine 109, 96-313 Jaktorów";"gm. Jaktorów";"grodziski";"mazowieckie";"530";"591";"163";"367";"0";"0";"0";"0";"0";"0";"0";"0";"0";"367";"0";"0";"367";"6";"2";"4";"0";"361";"133";"228"
"a318-45f4-d42b-406b-3544-1696-6509-4723";"140505";"41";"4";"wieś";"stały";"Budy Michałowskie Nr 77 (była szkoła), Budy Michałowskie 77, 96-316 Międzyborów";"gm. Jaktorów";"grodziski";"mazowieckie";"420";"466";"151";"269";"0";"2";"0";"0";"0";"0";"0";"0";"0";"269";"0";"0";"269";"15";"2";"13";"0";"254";"138";"116"
"45eb-4c51-dee5-98df-b35d-7bea-3ac6-bf02";"140505";"41";"5";"wieś";"stały";"Szkoła Podstawowa, ul. Warszawska 88, 96-313 Jaktorów";"gm. Jaktorów";"grodziski";"mazowieckie";"1679";"1846";"374";"1305";"1";"10";"0";"0";"0";"0";"0";"0";"0";"1304";"0";"0";"1304";"38";"15";"23";"0";"1266";"614";"652"
"76ff-bb6c-9838-0760-bb7b-6a0d-1099-7dd0";"140505";"41";"6";"wieś";"stały";"Sala Gimnastyczna przy Szkole Podstawowej, ul. Staszica 5, 96-316 Międzyborów";"gm. Jaktorów";"grodziski";"mazowieckie";"1720";"1901";"430";"1290";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1289";"0";"0";"1289";"44";"22";"22";"0";"1245";"707";"538"
"4021-df2c-06fb-4e6b-e866-2ba9-5d2c-b2b8";"140505";"41";"7";"wieś";"stały";"Gimnazjum, ul. Chełmońskiego 4, 96-313 Jaktorów";"gm. Jaktorów";"grodziski";"mazowieckie";"1189";"1319";"334";"856";"0";"3";"0";"0";"0";"0";"0";"0";"0";"853";"0";"0";"853";"19";"2";"17";"0";"834";"408";"426"
"ffa2-352c-30cc-216c-18eb-b8d9-6987-1209";"140506";"41";"1";"wieś";"stały";"Szkoła Podstawowa im. Stefanii Dziewulskiej, Ojrzanów ul. Szkolna 1, 96-321 Żabia Wola";"gm. Żabia Wola";"grodziski";"mazowieckie";"1620";"1824";"371";"1249";"1";"7";"0";"0";"0";"0";"0";"0";"0";"1244";"0";"0";"1244";"28";"7";"21";"0";"1216";"681";"535"
"19aa-1ab9-ff58-1286-1d21-9f13-20a4-7324";"140506";"41";"2";"wieś";"stały";"Szkoła Podstawowa im. Marii Kownackiej, Skuły ul. Mszczonowska 3, 96-321 Żabia Wola";"gm. Żabia Wola";"grodziski";"mazowieckie";"1288";"1441";"437";"851";"0";"18";"0";"0";"0";"0";"0";"0";"0";"851";"0";"0";"851";"30";"7";"23";"0";"821";"368";"453"
"00e7-674b-f78a-4914-79f9-2649-879d-3bfe";"140506";"41";"3";"wieś";"stały";"Dawny budynek Szkoły Podstawowej, Słubica Dobra ul. Słoneczna 36, 96-321 Żabia Wola";"gm. Żabia Wola";"grodziski";"mazowieckie";"574";"639";"141";"433";"0";"4";"0";"0";"0";"0";"0";"0";"0";"433";"0";"0";"433";"15";"3";"12";"0";"418";"185";"233"
"1fd1-9c23-aed3-9b7f-3283-6b78-647e-4ba7";"140506";"41";"4";"wieś";"stały";"Szkoła Podstawowa im Kawalerów Orderu Uśmiechu, Józefina ul. Mazowiecka 1, 96-321 Żabia Wola";"gm. Żabia Wola";"grodziski";"mazowieckie";"1791";"1907";"397";"1394";"0";"16";"1";"1";"0";"0";"0";"0";"1";"1395";"1";"0";"1395";"43";"13";"30";"0";"1352";"860";"492"
"20e6-ab8a-da72-d981-f0f4-c2fb-a04b-a8b4";"140506";"41";"5";"wieś";"stały";"Dom Kultury, ul. Warszawska 27, 96-321 Żabia Wola";"gm. Żabia Wola";"grodziski";"mazowieckie";"1099";"1140";"297";"802";"1";"5";"0";"0";"0";"0";"0";"0";"0";"801";"0";"0";"801";"29";"11";"18";"0";"772";"422";"350"
"e5b2-68c6-ce7d-def0-6976-8d67-1de6-11b4";"141701";"41";"1";"miasto";"stały";"Hala Sportowa przy Szkole Podstawowej Nr 2, ul. Sienkiewicza 2, 05-410 Józefów";"m. Józefów";"otwocki";"mazowieckie";"2017";"2173";"314";"1703";"4";"14";"0";"0";"0";"0";"0";"0";"0";"1703";"0";"0";"1703";"70";"14";"56";"0";"1633";"1003";"630"
"7e8c-63aa-3bdd-541b-b8b0-9b9e-607a-c6e6";"141701";"41";"2";"miasto";"stały";"Szkoła Podstawowa Nr 3, ul. Leśna 39, 05-420 Józefów";"m. Józefów";"otwocki";"mazowieckie";"981";"1110";"103";"878";"0";"11";"0";"0";"0";"0";"0";"0";"0";"878";"0";"0";"878";"43";"10";"33";"0";"835";"480";"355"
"82ad-e20f-8315-9b1f-fa31-8384-66ae-c79c";"141701";"41";"3";"miasto";"stały";"Miejski Ośrodek Kultury, ul. Kardynała Wyszyńskiego 1, 05-420 Józefów";"m. Józefów";"otwocki";"mazowieckie";"1619";"1796";"244";"1375";"0";"29";"0";"0";"0";"0";"0";"0";"0";"1375";"0";"0";"1375";"65";"16";"49";"0";"1310";"745";"565"
"9d65-cea1-1fb2-104f-b6a5-5b65-0858-691b";"141701";"41";"4";"miasto";"stały";"Szkoła Podstawowa Nr 1 (sala Nr 1), ul. Mickiewicza 11, 05-420 Józefów";"m. Józefów";"otwocki";"mazowieckie";"1667";"1859";"284";"1383";"1";"13";"0";"0";"0";"0";"0";"0";"0";"1382";"0";"0";"1382";"47";"16";"31";"0";"1335";"725";"610"
"2461-18be-8ad2-2e58-2f3a-7286-57ff-e04c";"141701";"41";"5";"miasto";"stały";"Szkoła Podstawowa Nr 1 (sala Nr 6), ul. Mickiewicza 11, 05-420 Józefów";"m. Józefów";"otwocki";"mazowieckie";"839";"928";"94";"745";"0";"4";"0";"0";"0";"0";"0";"0";"0";"744";"0";"0";"744";"33";"11";"22";"0";"711";"446";"265"
"580c-9a74-15c3-87aa-62ee-fec0-7e35-1984";"141701";"41";"6";"miasto";"stały";"Ochotnicza Straż Pożarna ""Świdry Małe"", ul. Nadwiślańska 132, 05-420 Józefów";"m. Józefów";"otwocki";"mazowieckie";"2080";"2357";"264";"1816";"0";"23";"0";"0";"0";"0";"0";"0";"0";"1814";"0";"0";"1814";"50";"13";"37";"0";"1764";"1088";"676"
"408f-8d1e-ad55-5cd8-4cd8-ab31-08d5-9c14";"141701";"41";"7";"miasto";"stały";"Przedszkole Miejskie Nr 1, ul. Sobieskiego 21, 05-410 Józefów";"m. Józefów";"otwocki";"mazowieckie";"770";"838";"95";"675";"2";"4";"0";"0";"0";"0";"0";"0";"0";"675";"0";"0";"675";"22";"10";"12";"0";"653";"382";"271"
"6536-7172-1eda-8879-b56f-cfb1-d4bf-25d8";"141701";"41";"8";"miasto";"stały";"Młodzieżowy Ośrodek Socjoterapii ""Jędruś"", ul. Główna 10, 05-410 Józefów";"m. Józefów";"otwocki";"mazowieckie";"1518";"1674";"308";"1210";"2";"5";"0";"0";"0";"0";"0";"0";"0";"1210";"0";"0";"1210";"55";"16";"39";"0";"1155";"687";"468"
"c63d-50e6-fc5e-459d-dba6-3f35-cbff-ef2d";"141701";"41";"9";"miasto";"stały";"Szkoła Podstawowa nr 2 (stołówka), ul. Graniczna 26, 05-410 Józefów";"m. Józefów";"otwocki";"mazowieckie";"2087";"2339";"305";"1782";"2";"26";"0";"0";"0";"0";"0";"0";"0";"1782";"0";"0";"1782";"65";"27";"38";"0";"1717";"997";"720"
"5c7a-b5c9-36a7-8b78-ed41-55c1-f594-0cb3";"141702";"41";"1";"miasto";"stały";"Szkoła Podstawowa Nr 2, ul. Poniatowskiego 47/49, 05-400 Otwock";"m. Otwock";"otwocki";"mazowieckie";"1340";"1482";"263";"1077";"0";"4";"0";"0";"0";"0";"0";"0";"0";"1077";"0";"0";"1077";"34";"7";"27";"0";"1043";"671";"372"
