"Symbol kontrolny";"Kod TERYT";"Okręg";"Numer";"Typ obszaru";"Typ obwodu";"Siedziba";"Gmina";"Powiat";"Województwo";"Komisja otrzymała kart do głosowania";"Liczba wyborców uprawnionych do głosowania";"Nie wykorzystano kart do głosowania";"Liczba wyborców, którym wydano karty do głosowania";"Liczba wyborców głosujących przez pełnomocnika";"Liczba wyborców głosujących na podstawie zaświadczenia o prawie do głosowania";"Liczba wyborców, którym wysłano pakiety wyborcze";"Liczba otrzymanych kopert zwrotnych";"Liczba kopert zwrotnych, w których nie było oświadczenia o osobistym i tajnym oddaniu głosu";"Liczba kopert zwrotnych, w których oświadczenie nie było podpisane";"Liczba kopert zwrotnych, w których nie było koperty na kartę do głosowania";"Liczba kopert zwrotnych, w których znajdowała się niezaklejona koperta na kartę do głosowania";"Liczba kopert na kartę do głosowania wrzuconych do urny";"Liczba kart wyjętych z urny";"W tym liczba kart wyjętych z kopert na kartę do głosowania";"Liczba kart nieważnych";"Liczba kart ważnych";"Liczba głosów nieważnych";"W tym z powodu postawienia znaku „X” obok nazwiska dwóch lub większej liczby kandydatów";"W tym z powodu niepostawienia znaku „X” obok nazwiska żadnego kandydata";"W tym z powodu postawienia znaku „X” wyłącznie obok skreślonego nazwiska kandydata";"Liczba głosów ważnych oddanych łącznie na wszystkich kandydatów";"Patryk Damian HAŁACZKIEWICZ";"Stanisław JURCEWICZ";"Aleksander Jakub SZWED"
"bc8b-37aa-7754-e47b-482f-3a72-ba26-3f54";"020201";"5";"11";"miasto";"stały";"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"960";"1043";"362";"598";"0";"0";"0";"0";"0";"0";"0";"0";"0";"597";"0";"0";"597";"6";"3";"3";"0";"591";"190";"171";"230"
"9b5b-198f-bc55-3368-bb13-d053-20a1-8bfe";"020201";"5";"12";"miasto";"stały";"Szkoła Podstawowa nr 10 z Oddziałami Sportowymi, ul. Generała Grota Roweckiego 6, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"940";"1017";"347";"593";"1";"0";"0";"0";"0";"0";"0";"0";"0";"593";"0";"0";"593";"12";"8";"4";"0";"581";"201";"140";"240"
"e533-852e-f803-4c17-86a4-09eb-5095-12a6";"020201";"5";"13";"miasto";"stały";"Przedszkole Publiczne nr 3, ul. 3 Maja 22, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"900";"994";"414";"486";"0";"1";"0";"0";"0";"0";"0";"0";"0";"486";"0";"0";"486";"12";"2";"10";"0";"474";"164";"120";"190"
"5761-8691-d251-ff7d-c202-d1a8-8b9d-4da2";"020201";"5";"14";"miasto";"stały";"Zespół Szkół Ogólnokształcących, ul. Szkolna 5, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1109";"1233";"362";"747";"1";"9";"0";"0";"0";"0";"0";"0";"0";"747";"0";"0";"747";"13";"3";"10";"0";"734";"249";"269";"216"
"2725-db77-d7ea-7179-aa2c-f5fc-39f5-d1a5";"020201";"5";"15";"miasto";"stały";"Miejski Zarząd Budynków Mieszkalnych Sp. z o. o., ul. 3 Maja 48, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1070";"1155";"469";"601";"0";"5";"0";"0";"0";"0";"0";"0";"0";"601";"0";"0";"601";"8";"1";"7";"0";"593";"220";"159";"214"
"a436-276a-814a-a264-c674-4872-db5c-60d4";"020201";"5";"16";"miasto";"stały";"Zespół Ośrodków Wsparcia, ul. Lotnicza 5, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"930";"1015";"427";"503";"0";"0";"0";"0";"0";"0";"0";"0";"0";"503";"0";"0";"503";"5";"0";"5";"0";"498";"154";"156";"188"
"04d4-c3b5-38f9-c0e0-c29b-d6b6-e7eb-3222";"020201";"5";"17";"miasto";"stały";"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"890";"983";"459";"431";"0";"2";"0";"0";"0";"0";"0";"0";"0";"430";"0";"0";"430";"9";"3";"6";"0";"421";"160";"102";"159"
"0cf5-bd32-28a7-d69f-0395-18f7-971b-5a95";"020201";"5";"18";"miasto";"stały";"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludowa 11, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1080";"1174";"531";"549";"1";"1";"0";"0";"0";"0";"0";"0";"0";"549";"0";"0";"549";"7";"1";"6";"0";"542";"185";"170";"187"
"22d6-a62c-8a72-7280-75c5-094d-cdef-9257";"020201";"5";"19";"miasto";"stały";"Zespół Szkół Cechu Rzemiosł Różnych Zasadnicza Szkoła Zawodowa Cechu Rzemiosł Różnych i Małej Przedsiębiorczości, ul. Polna 2, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1070";"1156";"480";"590";"0";"4";"0";"0";"0";"0";"0";"0";"0";"589";"0";"0";"589";"14";"3";"11";"0";"575";"153";"184";"238"
"56d9-9844-0470-cd7b-eec2-84fc-a22e-1d03";"020201";"5";"20";"miasto";"stały";"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"1109";"1224";"396";"713";"1";"11";"0";"0";"0";"0";"0";"0";"0";"713";"0";"0";"713";"11";"0";"11";"0";"702";"203";"258";"241"
"7529-6c25-e23a-551c-930a-af9f-0e92-afbf";"020201";"5";"21";"miasto";"stały";"Szkoła Podstawowa nr 4 z Oddziałami Integracyjnymi, ul. Ludwika Waryńskiego 50, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"830";"912";"422";"408";"2";"0";"0";"0";"0";"0";"0";"0";"0";"408";"0";"0";"408";"8";"0";"8";"0";"400";"138";"109";"153"
"3f0c-9a2d-5092-c2d0-9e27-9f8e-684d-a56e";"020201";"5";"22";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej, Stefana Żeromskiego 2, 58-260 Bielawa";"m. Bielawa";"dzierżoniowski";"dolnośląskie";"45";"43";"30";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"15";"0";"0";"0";"0";"15";"4";"4";"7"
"60d9-b159-205b-6edd-f926-a6b4-72ac-e782";"020202";"5";"1";"miasto";"stały";"Pracownicze Ogródki Działkowe ""Jar"", ul. Złota 10, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1110";"1195";"265";"845";"3";"5";"0";"0";"0";"0";"0";"0";"0";"845";"0";"0";"845";"12";"2";"10";"0";"833";"139";"452";"242"
"d7dd-5d81-bc19-021a-d912-9bbd-0135-5fdd";"020202";"5";"2";"miasto";"stały";"Przedszkole Publiczne nr 7, Osiedle Tęczowe 3, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1450";"1557";"372";"1078";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1078";"0";"0";"1078";"17";"7";"10";"0";"1061";"171";"516";"374"
"79f2-ae5b-f9d0-e3f1-3c99-5d72-ea11-ba72";"020202";"5";"3";"miasto";"stały";"dawna siedziba Ośrodka Pomocy Społecznej, ul. Złota 8, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"950";"1051";"315";"635";"1";"2";"0";"0";"0";"0";"0";"0";"0";"635";"0";"0";"635";"6";"2";"4";"0";"629";"100";"254";"275"
"481e-c027-54e5-48b5-d225-8e38-39f9-a24e";"020202";"5";"4";"miasto";"stały";"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"940";"1020";"290";"650";"1";"4";"0";"0";"0";"0";"0";"0";"0";"650";"0";"0";"650";"6";"3";"3";"0";"644";"96";"275";"273"
"e2dc-45fe-5ba0-971f-a9cd-194d-bbdc-478b";"020202";"5";"5";"miasto";"stały";"Przedszkole Niepubliczne nr 3 ""Pod Topolą"", Osiedle Błękitne 26, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1090";"1196";"339";"751";"3";"1";"0";"0";"0";"0";"0";"0";"0";"751";"0";"0";"751";"21";"10";"11";"0";"730";"114";"345";"271"
"1095-f051-5b88-6c48-8fe7-7fdb-80d3-6f80";"020202";"5";"6";"miasto";"stały";"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, Osiedle Błękitne 25, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1170";"1293";"342";"828";"3";"4";"0";"0";"0";"0";"0";"0";"0";"828";"0";"0";"828";"10";"2";"8";"0";"818";"145";"356";"317"
"b5e8-46ec-71ee-5567-4e28-e6b7-3594-4f79";"020202";"5";"7";"miasto";"stały";"Szkoła Podstawowa nr 1, ul. Sikorskiego 2, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1060";"1142";"363";"697";"1";"3";"0";"0";"0";"0";"0";"0";"0";"697";"0";"0";"697";"16";"8";"8";"0";"681";"95";"330";"256"
"5583-fdab-89e8-c1ee-bcf3-ac88-b5a2-5b35";"020202";"5";"8";"miasto";"stały";"Filia Miejsko-Powiatowej Biblioteki Publicznej im. K. K. Baczyńskiego w Dzierżoniowie, ul. Sikorskiego 2, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1070";"1192";"299";"771";"1";"2";"0";"0";"0";"0";"0";"0";"0";"771";"0";"0";"771";"16";"5";"11";"0";"755";"106";"332";"317"
"c028-f05e-31dd-fca7-3b46-95bf-e6a8-1e40";"020202";"5";"9";"miasto";"stały";"Przedszkole Niepubliczne nr 4, Osiedle Jasne 21, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1020";"1124";"275";"745";"3";"0";"0";"0";"0";"0";"0";"0";"0";"745";"0";"0";"745";"11";"3";"8";"0";"734";"111";"370";"253"
"3760-95b3-4ff5-85fe-bb2e-6839-45ac-a271";"020202";"5";"10";"miasto";"stały";"Niepubliczny Żłobek ""Sówka"" (dawny budynek po byłej Szkole Podstawowej nr 6), Osiedle Jasne 22, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"779";"845";"230";"549";"1";"4";"0";"0";"0";"0";"0";"0";"0";"549";"0";"0";"549";"2";"0";"2";"0";"547";"67";"270";"210"
"fc97-8ee7-37a2-b730-9a94-e32b-7ac6-c15f";"020202";"5";"11";"miasto";"stały";"Niepubliczna Szkoła Podstawowa Sióstr Salezjanek, ul. Wrocławska 51, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1140";"1248";"303";"837";"2";"2";"0";"0";"0";"0";"0";"0";"0";"835";"0";"0";"835";"10";"6";"4";"0";"825";"153";"386";"286"
"41e4-b47a-0b76-1558-8aa4-7162-f8b5-4ed8";"020202";"5";"12";"miasto";"stały";"Dzienny Dom Senior +, ul. Krasickiego 25, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1110";"1227";"510";"600";"0";"4";"0";"0";"0";"0";"0";"0";"0";"600";"0";"0";"600";"12";"2";"10";"0";"588";"96";"235";"257"
"711a-72ac-c67a-8ad8-b323-1f54-b1ac-5874";"020202";"5";"13";"miasto";"stały";"I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. Piłsudskiego 10, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1070";"1177";"516";"554";"0";"6";"0";"0";"0";"0";"0";"0";"0";"554";"0";"0";"554";"11";"2";"9";"0";"543";"93";"191";"259"
"71cf-2180-f5a7-9830-f49d-f94b-a1e0-2d75";"020202";"5";"14";"miasto";"stały";"Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. Słowiańska 6, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1120";"1214";"400";"720";"1";"0";"0";"0";"0";"0";"0";"0";"0";"720";"0";"0";"720";"7";"4";"3";"0";"713";"134";"271";"308"
"d7a3-a1b5-3f3a-4465-069f-cb6f-8fb9-f0c2";"020202";"5";"15";"miasto";"stały";"dawny Biurowiec ""Silesiany"", ul. Batalionów Chłopskich 19, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1230";"1342";"402";"828";"1";"1";"0";"0";"0";"0";"0";"0";"0";"828";"0";"0";"828";"20";"3";"17";"0";"808";"133";"359";"316"
"5cc6-7b62-0464-9e44-0248-9c6e-ce05-d450";"020202";"5";"16";"miasto";"stały";"Przedszkole Publiczne nr 1, ul. Batalionów Chłopskich 20, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1200";"1295";"377";"823";"2";"6";"1";"1";"0";"0";"0";"0";"1";"824";"1";"0";"824";"9";"2";"7";"0";"815";"133";"424";"258"
"a715-cf75-7939-ddb0-bbf8-a276-5001-5cc5";"020202";"5";"17";"miasto";"stały";"Szkoła Podstawowa nr 9, ul. Mikołaja Kopernika 7, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1030";"1121";"444";"586";"0";"3";"0";"0";"0";"0";"0";"0";"0";"586";"0";"0";"586";"16";"4";"12";"0";"570";"96";"236";"238"
"1be5-1eba-7ac1-55e2-309c-9337-457e-502f";"020202";"5";"18";"miasto";"stały";"Dzierżoniowski Ośrodek Kultury, ul. Świdnicka 23, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1280";"1385";"538";"742";"1";"5";"2";"2";"0";"0";"0";"0";"2";"744";"2";"0";"744";"7";"3";"4";"0";"737";"135";"320";"282"
"eb06-df1c-8d6a-bd4f-9871-2e04-3f03-f8fd";"020202";"5";"19";"miasto";"stały";"Przedszkole Niepubliczne ""Słoneczna Piątka"", ul. Świdnicka 41, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1140";"1249";"435";"705";"0";"2";"0";"0";"0";"0";"0";"0";"0";"705";"0";"0";"705";"21";"3";"18";"0";"684";"98";"307";"279"
"9bfa-c70c-dd08-7cea-16bf-9e97-d26f-6f99";"020202";"5";"20";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Szkolna 24, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1440";"1567";"649";"791";"1";"1";"0";"0";"0";"0";"0";"0";"0";"791";"0";"0";"791";"15";"4";"11";"0";"776";"122";"348";"306"
"3869-a674-0a5e-70f4-2563-c81e-a98a-ede7";"020202";"5";"21";"miasto";"stały";"Szkoła Podstawowa nr 3, ul. Nowowiejska 64, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"1190";"1338";"572";"618";"1";"6";"0";"0";"0";"0";"0";"0";"0";"618";"0";"0";"618";"10";"0";"10";"0";"608";"94";"218";"296"
"c47e-ac18-f0fd-6eda-2030-69bc-1ea3-e796";"020202";"5";"22";"miasto";"areszt śledczy";"Areszt Śledczy, ul. Ząbkowicka 53, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"200";"192";"75";"125";"0";"0";"0";"0";"0";"0";"0";"0";"0";"125";"0";"0";"125";"6";"0";"6";"0";"119";"23";"67";"29"
"e59a-0fb1-d3d9-cb2a-1b04-db12-d741-61ed";"020202";"5";"23";"miasto";"zakład leczniczy";"Niepubliczny Zakład Opieki Zdrowotnej Szpital Powiatowy Spółka z o. o., ul. Cicha 1, 58-200 Dzierżoniów";"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"60";"52";"41";"19";"0";"1";"0";"0";"0";"0";"0";"0";"0";"19";"0";"0";"19";"0";"0";"0";"0";"19";"3";"7";"9"
"bb2a-c443-2509-e457-9369-1d96-f5aa-b585";"020203";"5";"1";"miasto";"stały";"Niepubliczna Szkoła Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Świdnicka 53, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"890";"961";"385";"505";"1";"0";"0";"0";"0";"0";"0";"0";"0";"505";"0";"0";"505";"4";"0";"4";"0";"501";"74";"182";"245"
"8d44-59fa-288a-47dc-d0d7-05f4-6730-9637";"020203";"5";"2";"miasto";"stały";"Zespół Szkół im Ks. Dzierżonia, Budynek B (łącznik), ul. Mickiewicza 1, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"1710";"1870";"848";"862";"2";"6";"0";"0";"0";"0";"0";"0";"0";"862";"0";"0";"862";"30";"7";"23";"0";"832";"133";"359";"340"
"6424-1af8-bb79-b8bd-337d-8c6c-3c42-6a3b";"020203";"5";"3";"miasto";"stały";"Szkoła Podstawowa Nr 1, ul. Ogrodowa 23, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"1340";"1467";"477";"863";"1";"4";"0";"0";"0";"0";"0";"0";"0";"863";"0";"0";"863";"11";"2";"9";"0";"852";"133";"329";"390"
"fe04-d049-2982-4d6e-f23b-efd2-7867-69d6";"020203";"5";"4";"miasto";"stały";"Ośrodek Pomocy Społecznej, ul. Kopernika 124, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"1281";"1389";"608";"673";"1";"6";"0";"0";"0";"0";"0";"0";"0";"673";"0";"0";"673";"16";"1";"15";"0";"657";"119";"238";"300"
"62db-22a2-8470-d097-3647-c2a9-d3a8-3e5f";"020203";"5";"5";"miasto";"stały";"Sala Sołecka, Kamionki 60, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"370";"404";"141";"229";"0";"2";"0";"0";"0";"0";"0";"0";"0";"229";"0";"0";"229";"5";"1";"4";"0";"224";"34";"61";"129"
"c605-1379-8031-24cd-0fb7-c077-79d6-23f2";"020203";"5";"6";"miasto";"stały";"Świetlica Remizy Strażackiej OSP Piskorzów, Piskorzów 45a, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"631";"700";"245";"386";"1";"2";"0";"0";"0";"0";"0";"0";"0";"386";"0";"0";"386";"8";"3";"5";"0";"378";"40";"169";"169"
"b7db-838a-deeb-ee8b-5556-a63d-1ffd-bb03";"020203";"5";"7";"miasto";"stały";"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Rościszów 51a, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"540";"594";"231";"309";"1";"2";"0";"0";"0";"0";"0";"0";"0";"309";"0";"0";"309";"10";"0";"10";"0";"299";"59";"116";"124"
"637b-4aba-095e-2326-ea09-bb8a-6360-960e";"020203";"5";"8";"miasto";"zakład leczniczy";"Specjalistyczny Szpital Chorób Płuc w Rościszowie, Rościszów 11, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"100";"53";"71";"29";"0";"3";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"29";"0";"0";"0";"0";"29";"4";"10";"15"
"6bec-9a3e-dda7-2646-188a-f215-ca0d-a32b";"020203";"5";"9";"miasto";"dom pomocy społecznej";"Dom Pomocy Społecznej ""Zielone Wzgórza"" (budynek 2), Rościszów 84, 58-250 Pieszyce";"m. Pieszyce";"dzierżoniowski";"dolnośląskie";"40";"47";"20";"20";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"20";"0";"0";"0";"0";"20";"6";"3";"11"
"ad8e-7fd4-c78a-9a0e-9979-96d1-d5a8-9daf";"020204";"5";"1";"miasto";"stały";"Szkoła Podstawowa, ul. Tedeusza Kościuszki 1, 58-240 Piława Górna";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"1480";"1615";"671";"809";"0";"0";"0";"0";"0";"0";"0";"0";"0";"808";"0";"0";"808";"17";"5";"12";"0";"791";"127";"325";"339"
"bee4-c218-7a13-b7db-e226-437f-39e6-fc69";"020204";"5";"2";"miasto";"stały";"Szkoła Podstawowa, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"1610";"1741";"688";"922";"2";"2";"1";"1";"0";"0";"0";"0";"1";"921";"1";"0";"921";"18";"3";"15";"0";"903";"149";"310";"444"
"4f66-9a58-f26a-5304-350a-f0fb-0c91-921e";"020204";"5";"3";"miasto";"stały";"Świetlica Ochotniczej Straży Pożarnej, ul. Bolesława Limanowskiego 3, 58-240 Piława Górna";"m. Piława Górna";"dzierżoniowski";"dolnośląskie";"1460";"1607";"661";"799";"2";"3";"0";"0";"0";"0";"0";"0";"0";"799";"0";"0";"799";"11";"2";"9";"0";"788";"129";"293";"366"
"5c20-6805-f2d6-9c53-9f02-c3b2-3966-f464";"020205";"5";"1";"wieś";"stały";"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"570";"619";"273";"297";"0";"5";"0";"0";"0";"0";"0";"0";"0";"297";"0";"0";"297";"3";"1";"2";"0";"294";"39";"103";"152"
"d73a-a0b7-421e-cc28-ac9b-f56f-f07e-98ca";"020205";"5";"2";"wieś";"stały";"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko";"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";"500";"548";"187";"313";"0";"1";"0";"0";"0";"0";"0";"0";"0";"313";"0";"0";"313";"12";"1";"11";"0";"301";"63";"125";"113"
