"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"MICHALSKA-WIERUSZ Iwona Ewa - KW BEZPARTYJNI SAMORZĄDOWCY";"SOCHA Jerzy Wojciech - KW BEZPARTYJNI SAMORZĄDOWCY";"KOŚCIAŃSKI Dominik Mirosław - KW BEZPARTYJNI SAMORZĄDOWCY";"KUKUŁKA Elżbieta Karolina - KW BEZPARTYJNI SAMORZĄDOWCY";"SAMBORSKI Wojciech Patryk - KW BEZPARTYJNI SAMORZĄDOWCY";"BIERNACKI Norbert Piotr - KW BEZPARTYJNI SAMORZĄDOWCY";"BOGUS Beata - KW BEZPARTYJNI SAMORZĄDOWCY";"DUTKIEWICZ Tomasz Jerzy - KW BEZPARTYJNI SAMORZĄDOWCY";"MIELCZAREK Magdalena Amelia - KW BEZPARTYJNI SAMORZĄDOWCY";"ZABAWA Marek Jan - KW BEZPARTYJNI SAMORZĄDOWCY";"STEFANIAK Zuzanna Dorota - KW BEZPARTYJNI SAMORZĄDOWCY";"ANZORGE Damian Jan - KW BEZPARTYJNI SAMORZĄDOWCY";"MARANDA Martyna Maria - KW BEZPARTYJNI SAMORZĄDOWCY";"SZTAJNER Dawid Mariusz - KW BEZPARTYJNI SAMORZĄDOWCY";"KIEPURA Henryk - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"IMIOLCZYK Małgorzata - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BOSKI Grzegorz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"ŚWIERCZYŃSKI Krzysztof Łukasz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SOCHA-KORENDO Anna Marta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"PERYGA Joanna Zofia - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"BRZEZOWSKA Iwona Elżbieta - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SŁAWEK Łukasz Mateusz - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"DZIEWIOR Anna Maria - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"KULIŃSKI Marek - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"CYRULIK Jerzy Józef - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"OKULARCZYK Joanna Katarzyna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"JARUGA Adam Norbert - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"LIZOŃ-KLAMA Arleta Anna - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"WOLSKI Zdzisław - KW NOWA LEWICA";"NIESMACZNY Zbigniew Paweł - KW NOWA LEWICA";"KĘPSKI Rafał Tadeusz - KW NOWA LEWICA";"KOTKOWSKA Ewelina Tacjana - KW NOWA LEWICA";"IŻYŃSKA Małgorzata - KW NOWA LEWICA";"KSIĄŻEK Edyta Barbara - KW NOWA LEWICA";"TROMCZYŃSKA Jolanta Pelagia - KW NOWA LEWICA";"NOWAK Krzysztof Wiesław - KW NOWA LEWICA";"LEWANDOWSKA Ewa - KW NOWA LEWICA";"MNICH Eugeniusz Alojzy - KW NOWA LEWICA";"URBAŃSKA Jolanta Małgorzata - KW NOWA LEWICA";"MARCOLA Marek Stanisław - KW NOWA LEWICA";"SKRZYPCZYŃSKA Emilia Maria - KW NOWA LEWICA";"OGOŃCZYK Mariusz Dominik - KW NOWA LEWICA";"BURZYŃSKA Lidia Ewa - KW PRAWO I SPRAWIEDLIWOŚĆ";"GIŻYŃSKI Szymon Stanisław - KW PRAWO I SPRAWIEDLIWOŚĆ";"GAWRON Andrzej Janusz - KW PRAWO I SPRAWIEDLIWOŚĆ";"TREPKA Mariusz Wiesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"WARZOCHA Artur Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"KOCIK Beata Dorota - KW PRAWO I SPRAWIEDLIWOŚĆ";"WOJNOWSKI Dariusz Ryszard - KW PRAWO I SPRAWIEDLIWOŚĆ";"MIKULSKA Ewelina Katarzyna - KW PRAWO I SPRAWIEDLIWOŚĆ";"WIERZBIŃSKA Edyta Maria - KW PRAWO I SPRAWIEDLIWOŚĆ";"OCZKOWSKI Wojciech Bolesław - KW PRAWO I SPRAWIEDLIWOŚĆ";"DOROSZ Karolina Agnieszka - KW PRAWO I SPRAWIEDLIWOŚĆ";"ZALESKA Urszula - KW PRAWO I SPRAWIEDLIWOŚĆ";"DEREJCZYK Piotr - KW PRAWO I SPRAWIEDLIWOŚĆ";"WRONA Piotr Artur - KW PRAWO I SPRAWIEDLIWOŚĆ";"STALA Tomasz Grzegorz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MIERZEJEWSKI Jakub Piotr - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ADAMOWICZ Bogusław Józef - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JEZIERSKA Kamila Danuta - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"TELENGA Ireneusz Bogumił - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"SOJKA Paulina Maja - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"BARCZYŃSKI Marcin Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"ZAKŁADA-SZETTEL Małgorzata Maria - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"MICHALCZYK Dorota Katarzyna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"PASOŃ Robert Wojciech - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"KORPYŚ Józefina Anna - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"RACŁAWSKI Marcin - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"WEINTRITT Anna Klaudia - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"JANAS Sławomir Stanisław - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"LESZCZYNA Izabela Dorota - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SZEWIŃSKI Andrzej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"SALWIERAK Marta Maria - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"PODLEJSKI Klemens Stanisław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"POCHODNIA Beata Magdalena - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WITEK Przemysław Jarosław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BELKA-DOMIŃCZYK Judyta - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KORZENIEC Marcin Bogdan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"REKWIREWICZ Joanna Ewa - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BĄK Przemysław - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"WŁUKA Czesława Leokadia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"IGNACYK Łukasz Bartłomiej - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"KARDAS-BERNAŚ Ewa Emilia - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"BANAŚ Łukasz Jan - KKW KOALICJA OBYWATELSKA PO .N IPL ZIELONI";"CICHOŃ Sebastian Krzysztof - KW POLSKA JEST JEDNA";"PIECH Alicja Aniela - KW POLSKA JEST JEDNA";"WARZECHA Andrzej Paweł - KW POLSKA JEST JEDNA";"KAŃTOCH Małgorzata Anita - KW POLSKA JEST JEDNA";"CIURA Paweł Ryszard - KW POLSKA JEST JEDNA";"JUCHNOWICZ Michalina Joanna - KW POLSKA JEST JEDNA";"KAŁUŻNY Józef Henryk - KW POLSKA JEST JEDNA";"OZÓG Łukasz Andrzej - KW POLSKA JEST JEDNA"
240604;"gm. Miedźno";"kłobucki";"śląskie";8;8;22;9;1;4;2;3;4;0;6;4;1;5;7;8;588;59;46;22;14;5;11;6;16;8;3;7;7;13;66;30;9;22;19;18;5;19;17;0;6;1;9;4;574;137;22;27;71;18;86;12;5;22;8;17;1229;21;118;24;10;13;93;16;5;3;6;2;3;4;1;8;417;48;49;7;7;7;9;6;4;9;0;0;11;27;28;34;4;1;3;0;1;4
240605;"gm. Opatów";"kłobucki";"śląskie";7;7;25;4;3;8;1;5;8;2;4;0;2;1;4;5;1073;25;17;7;5;4;4;4;2;2;0;2;3;6;57;18;7;46;12;8;2;15;20;2;6;3;1;5;680;362;41;18;56;28;41;14;8;36;8;16;37;26;111;22;8;9;85;6;6;0;3;3;2;2;3;14;358;39;22;4;15;14;10;5;2;4;2;2;10;21;13;51;2;1;0;1;1;0
240606;"gm. Panki";"kłobucki";"śląskie";4;4;14;1;6;5;2;2;5;1;2;4;0;1;1;3;727;18;16;7;3;3;8;2;1;1;0;9;1;2;63;8;7;26;16;7;2;2;16;0;5;1;5;1;507;209;28;17;73;24;8;14;3;70;8;12;7;30;82;21;15;10;43;9;10;3;3;1;1;3;1;2;388;36;16;5;15;10;7;5;2;6;3;1;4;29;10;32;5;0;1;0;0;0
240607;"gm. Popów";"kłobucki";"śląskie";7;7;17;4;2;7;3;3;3;5;5;0;4;3;1;2;597;30;18;10;4;9;9;8;6;4;38;5;3;13;63;15;9;36;18;9;3;9;28;1;7;0;9;1;523;266;125;31;107;57;32;15;10;30;8;6;144;27;105;15;4;12;45;14;7;3;3;9;1;1;0;6;381;66;40;8;5;13;7;4;4;2;0;4;47;17;22;16;2;0;3;0;3;0
240608;"gm. Przystajń";"kłobucki";"śląskie";6;6;16;5;3;7;2;4;8;3;2;12;0;0;2;0;681;34;23;7;8;2;9;4;5;4;1;2;0;2;70;13;3;33;15;15;3;6;18;4;7;0;6;4;665;186;66;39;84;33;17;30;10;40;9;22;43;30;97;15;6;12;14;15;2;1;10;1;1;4;3;5;419;35;16;4;8;52;5;8;5;17;6;0;8;16;10;44;1;0;0;2;1;1
240609;"gm. Wręczyca Wielka";"kłobucki";"śląskie";11;11;53;13;2;17;2;5;27;2;11;16;3;5;8;9;2201;79;146;34;17;18;15;11;23;4;11;6;6;29;212;65;20;96;91;36;8;22;60;3;27;9;19;5;1062;454;77;29;112;44;48;30;9;1617;6;16;31;36;334;66;34;39;92;45;11;4;8;10;2;6;4;18;1443;223;70;19;37;34;21;15;9;16;5;16;17;97;59;125;9;3;4;2;2;7
240701;"m. Lubliniec";"lubliniecki";"śląskie";19;19;81;17;9;24;7;24;28;8;16;10;7;6;5;14;452;716;119;39;37;40;29;32;28;36;95;14;16;38;210;28;25;101;57;39;9;9;67;92;21;3;29;13;377;122;2839;28;36;36;16;539;17;13;18;18;9;32;393;78;55;45;16;54;19;8;21;17;8;7;40;179;1349;112;21;17;33;2163;17;7;8;19;985;8;9;58;93;186;18;11;7;5;9;1
240702;"gm. Boronów";"lubliniecki";"śląskie";2;2;8;9;2;3;1;1;4;1;0;0;0;2;1;2;103;52;27;7;4;4;7;3;4;2;85;3;0;6;30;5;5;7;5;6;1;2;7;5;2;2;3;4;82;15;607;6;15;9;7;11;4;3;4;10;1;18;57;10;13;6;4;8;2;1;1;2;1;1;2;13;208;23;5;4;6;125;9;5;0;4;15;2;5;17;17;30;1;2;0;0;0;2
240703;"gm. Ciasna";"lubliniecki";"śląskie";10;10;33;15;9;4;2;8;5;1;5;10;3;6;3;6;199;130;32;8;14;34;13;4;4;5;17;2;0;6;46;7;9;14;11;17;4;8;12;9;5;3;5;3;180;47;730;17;40;27;5;117;10;7;8;8;6;22;121;27;16;21;11;30;4;4;2;7;4;2;10;34;285;33;16;14;23;629;12;5;4;11;92;3;6;19;54;51;4;1;0;2;4;4
240704;"gm. Herby";"lubliniecki";"śląskie";6;6;22;6;6;5;3;17;9;0;4;4;5;0;2;4;178;113;30;10;7;9;6;6;3;7;294;3;4;10;63;12;14;28;25;12;4;2;22;19;7;4;9;4;163;34;977;12;19;17;10;48;9;18;2;7;4;23;142;32;17;20;11;32;4;2;0;1;2;5;15;18;613;92;23;11;14;148;10;3;6;13;90;5;4;40;8;63;3;2;2;0;1;1
240705;"gm. Kochanowice";"lubliniecki";"śląskie";9;9;20;11;10;7;2;2;13;3;4;3;2;1;1;3;142;201;36;7;8;9;8;4;5;4;36;2;4;14;48;4;5;15;6;10;5;4;16;23;2;3;6;0;73;27;1322;4;8;13;3;69;3;7;4;3;2;3;115;23;19;28;15;31;5;3;8;4;2;2;16;54;257;34;9;5;13;331;3;3;2;10;118;2;2;10;24;62;1;8;4;1;3;1
240706;"gm. Koszęcin";"lubliniecki";"śląskie";6;6;43;16;6;13;7;5;12;6;10;5;6;4;8;6;234;389;76;14;16;10;16;13;20;14;30;8;11;27;82;15;14;30;26;13;6;10;25;22;25;0;10;11;380;111;1755;32;58;45;25;180;24;8;11;22;9;54;175;56;27;32;16;34;15;11;4;11;2;4;13;62;680;96;17;9;31;472;20;5;16;18;184;9;15;41;63;111;7;10;5;5;3;5
240707;"gm. Pawonków";"lubliniecki";"śląskie";9;9;23;10;1;10;1;5;7;4;4;4;5;1;3;6;143;109;45;15;12;10;6;6;5;8;10;3;3;6;35;7;6;9;10;5;3;4;22;6;7;0;3;0;111;31;896;14;22;14;4;76;7;4;6;17;5;14;125;31;15;16;7;24;7;3;6;9;0;3;38;52;233;27;10;5;11;328;3;3;3;7;132;5;5;20;40;50;8;5;0;1;3;1
240708;"gm. Woźniki";"lubliniecki";"śląskie";10;10;33;13;5;10;9;11;10;4;4;1;8;4;5;9;252;193;82;26;21;26;14;13;11;5;22;10;10;15;73;15;7;24;27;12;8;3;31;16;9;0;9;5;224;62;1645;37;48;34;19;84;7;11;11;13;9;39;182;46;28;12;20;28;9;4;6;9;1;2;4;22;715;86;33;17;20;216;10;10;2;23;16;6;8;49;73;118;4;3;4;1;2;2
240901;"m. Myszków";"myszkowski";"śląskie";23;23;64;29;4;24;14;9;18;5;11;13;4;4;13;25;400;233;187;56;600;34;34;34;23;12;6;61;24;34;189;30;1527;68;43;49;12;14;53;8;32;1;33;12;1318;326;151;3382;87;109;52;133;43;15;41;98;84;211;632;119;58;65;18;80;26;10;16;13;8;5;9;55;2119;146;43;976;1596;20;28;8;25;64;2;8;16;55;80;119;12;3;6;6;5;10
240902;"gm. Koziegłowy";"myszkowski";"śląskie";16;16;60;30;10;13;4;16;10;4;10;8;5;2;3;12;355;116;119;30;315;13;21;29;17;8;3;48;12;25;158;26;210;35;36;24;9;11;53;2;13;4;14;16;903;161;126;1932;102;58;26;58;17;11;30;46;74;83;340;79;43;36;12;58;19;5;9;5;6;5;3;18;907;100;56;309;159;32;11;2;7;110;5;4;16;50;55;96;12;10;7;2;6;8
240903;"gm. Niegowa";"myszkowski";"śląskie";6;6;10;9;1;4;5;1;3;0;1;2;2;0;1;7;102;30;35;8;98;6;7;8;1;4;1;7;2;6;20;5;87;5;2;4;1;2;8;1;1;0;9;1;297;61;18;1443;15;11;8;26;7;2;11;11;18;37;142;17;5;4;2;11;9;1;2;1;3;3;1;10;159;12;4;178;27;2;9;0;3;13;0;0;0;9;25;28;4;2;0;1;0;1
240904;"gm. Poraj";"myszkowski";"śląskie";7;7;20;11;4;11;7;9;3;1;3;4;1;1;4;6;136;89;34;19;819;8;3;11;7;5;1;14;4;14;128;32;134;33;25;14;8;7;29;0;13;5;75;9;620;205;60;653;104;28;29;62;10;13;34;23;79;57;225;39;17;20;3;33;16;4;7;4;5;4;3;8;1272;122;24;183;45;8;38;2;1;299;1;5;10;45;42;31;11;3;0;0;1;4
240905;"gm. Żarki";"myszkowski";"śląskie";9;9;41;7;3;10;1;3;3;5;6;4;4;0;9;16;91;57;34;16;110;8;11;5;11;8;4;10;6;12;49;12;147;10;19;11;4;5;17;1;5;0;28;2;386;84;31;1264;27;20;18;20;13;6;18;20;16;33;183;27;15;16;8;28;7;4;7;5;1;5;4;10;343;20;10;1102;49;6;4;2;5;13;0;0;3;11;23;37;6;4;2;5;1;0
246401;"Częstochowa";"Częstochowa";"śląskie";136;136;687;184;62;184;46;90;108;65;91;76;57;122;385;269;4189;2356;2057;2513;385;369;291;242;372;187;71;208;328;497;5586;1633;258;643;3225;564;173;102;831;42;633;129;867;319;17858;5715;691;945;7076;715;276;475;239;200;230;540;354;2234;4165;897;317;404;171;349;240;73;122;67;46;69;67;193;32540;5749;1374;178;278;243;245;347;107;199;45;223;163;1857;539;834;162;32;57;37;44;39
