"Nr komisji";"Siedziba komisji";"TERYT Gminy";"Gmina";"Powiat";"Województwo";"Liczba komisji";"Liczba uwzględnionych komisji";"GANCARZ Paweł Jarosław - KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";"SZWED Aleksander Jakub - KW PRAWO I SPRAWIEDLIWOŚĆ";"POKRYWKA Jan Tadeusz - KW KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ";"GRZYB Sebastian Mariusz - KW POLSKA 2050";"DYSZEWSKI Andrzej - KWW POROZUMIENIE OBYWATELSKIE"
4;"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi im. Bohaterów Westerplatte, os. Osiedle Błękitne 25, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;199;261;34;17;132
5;"Przedszkole Publiczne nr 3, os. Osiedle Błękitne 26, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;227;247;66;29;150
6;"Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi im. Bohaterów Westerplatte, os. Osiedle Błękitne 25, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;242;284;74;34;220
7;"Szkoła Podstawowa nr 1 im. Noblistów Polskich, ul. gen. Władysława Sikorskiego 2, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;254;261;51;18;152
8;"Filia Miejsko-Powiatowej Biblioteki Publicznej im. Krzysztofa Kamila Baczyńskiego w Dzierżoniowie, ul. gen. Władysława Sikorskiego 2, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;236;265;42;20;151
9;"Przedszkole Niepubliczne nr 4, os. Osiedle Jasne 21, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;252;236;36;24;160
10;"Niepubliczny Żłobek ""Sówka"", os. Osiedle Jasne 22, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;153;190;43;8;126
11;"Niepubliczna Szkoła Podstawowa „Edukacja i Rodzina”, ul. Wrocławska 51, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;373;264;79;16;212
12;"była siedziba Dziennego Domu Senior+, ul. Ignacego Krasickiego 25, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;185;240;72;18;160
13;"I Liceum Ogólnokształcące im. Jędrzeja Śniadeckiego, ul. marsz. Józefa Piłsudskiego 10, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;188;237;53;22;109
14;"Zespół Szkół Nr 3 im. Kombatantów Rzeczypospolitej Polskiej, ul. Słowiańska 6, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;234;255;69;11;186
15;"dawny Biurowiec ""Silesiany"", ul. Batalionów Chłopskich 19, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;279;331;77;30;224
16;"Przedszkole Publiczne nr 1 im. Jana Brzechwy, ul. Batalionów Chłopskich 20, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;352;216;57;17;211
17;"Szkoła Podstawowa nr 9 im. Mikołaja Kopernika, ul. Mikołaja Kopernika 7, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;185;203;64;14;126
18;"Dzierżoniowski Ośrodek Kultury, ul. Świdnicka 23, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;253;263;94;34;186
19;"Dzienny Dom Senior+, ul. Świdnicka 35, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;226;261;54;18;165
20;"Ośrodek Pomocy Społecznej, ul. Szkolna 24, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;271;277;74;23;203
21;"Szkoła Podstawowa nr 3 im. Komisji Edukacji Narodowej, ul. Nowowiejska 64, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;221;277;88;19;151
22;"Areszt Śledczy, ul. Ząbkowicka 53, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;45;18;19;7;52
23;"Niepubliczny Zakład Opieki Zdrowotnej Szpital Powiatowy Sp. z o. o., ul. Cicha 1, 58-200 Dzierżoniów";20202;"m. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;4;4;1;0;7
1;"Niepubliczna Szkoła Podstawowa-Stowarzyszenie Nauczyciele Dzieciom, ul. Świdnicka 53, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;152;233;34;13;108
2;"Szkoła Podstawowa nr 1 im. Pieszyckiej Harcerskiej Organizacji Podziemnej w Pieszycach-budynek D (hala sportowa), ul. Adama Mickiewicza 8, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;288;328;84;39;197
3;"Szkoła Podstawowa nr 1 im. Pieszyckiej Harcerskiej Organizacji Podziemnej w Pieszycach, ul. Ogrodowa 23, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;284;328;77;29;216
4;"Centrum Usług Społecznych w Pieszycach, ul. Mikołaja Kopernika 124, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;200;267;80;33;129
5;"Sala Sołecka, Kamionki 60, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;59;104;27;9;51
6;"Sala Sołecka, Piskorzów 48d, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;104;123;45;12;67
7;"Filia Miejskiej Biblioteki Publicznej-Centrum Kultury w Pieszycach, Rościszów 51a, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;123;117;39;11;76
8;"Sala wiejska w Bratoszowie, Bratoszów 52, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;32;33;18;9;18
9;"Specjalistyczny Szpital Chorób Płuc w Rościszowie, Rościszów 11, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;3;12;2;0;2
10;"Dom Pomocy Społecznej ""Zielone Wzgórza"" (budynek 2), Rościszów 84, 58-250 Pieszyce";20203;"gm. Pieszyce";"dzierżoniowski";"dolnośląskie";1;1;2;16;1;4;3
1;"Szkoła Podstawowa im. Krzysztofa Kamila Baczyńskiego, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna";20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";1;1;318;325;107;29;165
2;"Szkoła Podstawowa im. Krzysztofa Kamila Baczyńskiego, ul. Tadeusza Kościuszki 1, 58-240 Piława Górna";20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";1;1;322;386;92;15;170
3;"Świetlica Ochotniczej Straży Pożarnej, ul. Bolesława Limanowskiego 3, 58-240 Piława Górna";20204;"m. Piława Górna";"dzierżoniowski";"dolnośląskie";1;1;267;340;98;23;147
1;"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;50;59;15;10;42
2;"Centrum Biblioteczno-Kulturalne, ul. Kolejowa 12B, 58-116 Mościsko";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;133;109;37;8;72
3;"Sala Integracji Społecznej, Włóki 78, 58-207 Tuszyn";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;115;86;32;7;71
4;"Szkoła Podstawowa im. Jana Pawła II, Tuszyn 47, 58-207 Tuszyn";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;67;85;26;7;31
5;"Budynek integracji społecznej w Książnicy, Książnica 5B, 58-207 Tuszyn";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;70;103;40;3;34
6;"Filia Nr 2 Biblioteki Publicznej, ul. Piastowska 1, 58-211 Uciechów";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;179;244;55;17;80
7;"Centrum Kulturalno-Sportowo-Oświatowe, Dobrocin ul. Kościuszki 14A, 58-200 Dzierżoniów";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;93;140;25;6;38
8;"Budynek wielofunkcyjny, Roztocznik 41A, 58-217 Gilów";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;45;134;31;8;30
9;"Zespół Szkolno-Przedszkolny, ul. Główna 50, 58-241 Piława Dolna";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;236;313;80;20;117
10;"Świetlica wiejska, Owiesno 88, 58-262 Ostroszowice";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;109;104;37;7;55
11;"Zespół Szkolno-Przedszkolny, ul. Bielawska 58, 58-262 Ostroszowice";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;279;226;27;20;87
12;"Domek Myśliwski, Jodłownik 40, 58-262 Ostroszowice";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;66;111;16;7;22
13;"Sala Wiejska w Nowiźnie, ul. Długa 12, 58-116 Nowizna";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;50;98;21;9;39
14;"Pałac w Kiełczynie, Kiełczyn 13, 58-207 Kiełczyn";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;29;65;6;7;17
15;"Biuro Wychowawcy, ul. Błotnista 12, 58-241 Piława Dolna";20205;"gm. Dzierżoniów";"dzierżoniowski";"dolnośląskie";1;1;30;4;8;4;25
1;"Oddział przedszkolny Szkoły Podstawowej im. Jana Pawła II w Łagiewnikach, Jaźwina 79, 58-212 Jaźwina";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;120;228;47;13;88
2;"Sala Wiejska, Ratajno 55, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;89;178;24;5;61
3;"Sala Wiejska, ul. Wesoła 9, 58-214 Oleszna";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;100;230;51;8;62
4;"Sala Wiejska, Radzików 56, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;71;87;19;9;34
5;"Szkoła Podstawowa im. Jana Pawła II w Łagiewnikach, ul. Jedności Narodowej 38, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;258;331;90;35;148
6;"Szkoła Podstawowa im. Jana Pawła II w Łagiewnikach, ul. Jedności Narodowej 38, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;181;231;50;19;105
7;"Sala Wiejska, Ligota Wielka 57, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;52;135;23;4;25
8;"Sala Wiejska, Słupice 89, 58-212 Jaźwina";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;59;162;20;5;31
9;"Sala Wiejska, Sienice 47, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;44;98;18;4;10
10;"Świetlica Wiejska, Sokolniki 28, 58-210 Łagiewniki";20206;"gm. Łagiewniki";"dzierżoniowski";"dolnośląskie";1;1;25;86;13;5;17
1;"„Klub Senior+"", ul. Ogrodowa 1, 58-230 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;141;194;30;12;108
2;"Niemczański Ośrodek Kultury, rynek Rynek 32, 58-230 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;78;131;39;13;65
3;"Dom Pomocy Społecznej-filia w Niemczy, ul. Kolejowa 14 - 16, 58-230 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;131;200;39;12;71
4;"Niepubliczna Szkoła Podstawowa, Przerzeczyn-Zdrój ul. Zdrojowa 14, 58-231 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;95;137;28;14;76
5;"Budynek gminny, Wilków Wielki 26, 58-230 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;85;133;39;2;43
6;"Niepubliczna Szkoła Podstawowa, Gilów 49, 58-217 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;113;171;40;13;63
7;"Świetlica wiejska, Nowa Wieś Niemczańska 24/1, 58-231 Niemcza";20207;"gm. Niemcza";"dzierżoniowski";"dolnośląskie";1;1;65;61;16;7;12
1;"Ośrodek Pomocy Społecznej, ul. Juliusza Słowackiego 16, 57-340 Duszniki-Zdrój";20801;"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";1;1;120;111;37;11;68
2;"Miejski Zespół Szkół, ul. Józefa Wybickiego 2a, 57-340 Duszniki-Zdrój";20801;"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";1;1;219;210;64;29;134
3;"Miejski Zespół Szkół, ul. Sportowa 6, 57-340 Duszniki-Zdrój";20801;"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";1;1;221;231;62;23;154
4;"Dworek Chopina, ul. Zielona 7, 57-340 Duszniki-Zdrój";20801;"m. Duszniki-Zdrój";"kłodzki";"dolnośląskie";1;1;357;362;62;34;275
1;"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Zamiejska 24, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;248;190;52;18;93
2;"Przedszkole nr 3 w Kłodzku, ul. Warty 6, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;297;179;40;15;143
3;"Szkoła Podstawowa nr 7 w Kłodzku im. T. Kościuszki, ul. H. Sienkiewicza 61, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;301;202;57;26;165
4;"ZAMG GM Kłodzko Sp. z o. o., ul. Grunwaldzka 29, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;173;175;50;17;94
5;"Przedszkole nr 1 w Kłodzku, ul. Grunwaldzka 4, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;280;203;59;29;124
6;"Ośrodek Pomocy Społecznej w Kłodzku, ul. Stanisława Wyspiańskiego 2d, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;256;189;62;18;129
7;"Urząd Miasta, pl. Bolesława Chrobrego 1, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;219;281;57;19;76
8;"Szkoła Podstawowa nr 1 im. Adama Mickiewicza w Kłodzku, ul. Zawiszy Czarnego 5, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;241;166;76;15;62
9;"Muzeum Ziemi Kłodzkiej w Kłodzku, ul. Ignacego Łukasiewicza 4, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;183;272;63;20;150
10;"Szkoła Podstawowa nr 3 im. kpt. Stanisława Betleja w Kłodzku, ul. Jana Pawła II 4, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;324;243;61;28;173
11;"Kłodzki Ośrodek Kultury, pomieszczenie galerii, pl. Władysława Jagiełły 1, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;262;231;59;24;141
12;"Przedszkole nr 4 z Oddziałami Integracyjnymi i Oddziałami Specjalnymi im. Jana Brzechwy w Kłodzku, ul. Bohaterów Getta 9, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;223;240;67;23;150
13;"Szkoła Podstawowa nr 6 im. Unii Europejskiej w Kłodzku, ul. Bohaterów Getta 22, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;267;257;40;21;139
14;"Hala sportowa w Kłodzku, ul. Janusza Kusocińskiego 2, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;267;257;50;14;118
15;"Dom Działkowca ROD w Kłodzku ""Perła"", ul. Łąkowa 7, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;380;362;81;20;208
16;"Kryta Pływalnia, ul. Jana Pawła II 4, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;381;362;88;36;166
17;"Szkoła Podstawowa nr 3 im. kpt. Stanisława Betleja w Kłodzku, Sala Gimnastyczna, ul. Jana Pawła II 4, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;483;339;86;28;202
18;"Samodzielny Publiczny Zespół Opieki Zdrowotnej w Kłodzku, ul. Szpitalna 1, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;17;29;4;2;14
19;"Zakład Karny w Kłodzku, ul. Bohaterów Getta 16, 57-300 Kłodzko";20802;"m. Kłodzko";"kłodzki";"dolnośląskie";1;1;108;38;35;14;165
1;"Kudowskie Centrum Kultury i Sportu, ul. Główna 43, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;308;381;94;39;194
2;"Zespół Szkół Publicznych im. Jana Pawła II, ul. Szkolna 8, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;236;260;52;24;180
3;"Punkt Informacyjno-Konsultacyjny GKRPA, ul. Poznańska 2, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;382;359;66;38;294
4;"Szkoła Podstawowa Nr 3 im. ""100-lecia Odzyskania Niepodległości"", ul. Tadeusza Kościuszki 58, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;264;269;75;27;190
5;"Społeczny Zespół Szkolno-Przedszkolny, ul. Słone 72, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;176;211;46;18;77
6;"Kudowski Zakład Wodociągów i Kanalizacji, ul. Aleksandra Fredry 8, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;111;177;37;9;66
7;"Zespół Szkół Publicznych im. Jana Pawła II, ul. Szkolna 8, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;360;313;55;28;208
8;"Szpital Uzdrowiskowo-Rehabilitacyjny w Kudowie-Zdroju, ul. Zdrojowa 36c, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;29;74;7;5;43
9;"Samodzielny Publiczny Zakład Opieki Zdrowotnej Sanatorium Uzdrowiskowe ""Bristol"" Ministerstwa Spraw Wewnętrznych i Administracji w Kudowie-Zdroju, ul. Stefana Okrzei 1, 57-350 Kudowa-Zdrój";20803;"m. Kudowa-Zdrój";"kłodzki";"dolnośląskie";1;1;34;90;8;4;35
1;"Miejska Biblioteka Publiczna w Nowej Rudzie, ul. Bohaterów Getta 10, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;230;230;50;26;126
2;"Miejski Ośrodek Kultury w Nowej Rudzie, ul. Strzelecka 2a, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;421;289;74;42;240
3;"Liceum Ogólnokształcące im. Henryka Sienkiewicza, os. Osiedle Piastowskie 17, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;366;381;56;33;221
4;"Liceum Ogólnokształcące im. Henryka Sienkiewicza, os. Osiedle Piastowskie 17, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;140;175;26;13;120
5;"Noworudzka Szkoła Techniczna w Nowej Rudzie, ul. Obozowa 9, 57-401 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;122;149;56;13;93
6;"Zespół Szkolno-Przedszkolny nr 1 w Nowej Rudzie, ul. Stara Droga 39, 57-401 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;134;123;46;18;92
7;"Zespół Szkolno-Przedszkolny nr 1 w Nowej Rudzie, ul. Stara Droga 39, 57-401 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;203;206;62;19;131
8;"Filia Szkoły Podstawowej nr 2 im. Janusza Korczaka w Nowej Rudzie, ul. Srebrna 11, 57-400 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;145;153;33;12;86
9;"Szkoła Podstawowa nr 7 im. Tadeusza Kościuszki w Nowej Rudzie, ul. Szkolna 3, 57-402 Nowa Ruda";20804;"m. Nowa Ruda";"kłodzki";"dolnośląskie";1;1;325;278;84;27;226
